_id,mnoname,smartwifirssia,smartwifirssib,smartwifirssic,smartwifirssiroveinwifionly,smartwifirssiroveoutwifionly,smartwifirssiroveinvoice,smartwifirsrp1,smartwifirsrp2,smartwifirsrp3,smartwifirsrqroveout,smartwifirsrqroveinweak,smartwifirsrqrovein,smartwificdmarssi,smartwifisnrrovein,smartwifisnrroveout,smartwifigsmeciorovein,smartwifigsmecioroveout,smartwifipingaddress,smartpktlosspercentl2w,smartpktlosspercentw2l,thresholdpingrttw2l,pingpacketcount,pingpackettimeout,rtprtcplossratepercent,rtprtcplossmaxcnt,thresholddpdlatency,threshold4grovein,threshold4groveout,threshold3grovein,threshold3groveout,threshold2grovein,threshold2groveout,sysseltimer,tepdgltetimer,tepdg1xtimer,tepdg1xscantimer,hodelaytimer,wifiipconfigtimer,tepdgqualitychecktimer,tepdgltemeasurementtimer,tepdgltemeasurementcount,tepdgwifimeasurementtimer,tepdgwifimeasurementcount,idimac,idiimsi,retry_enabled_for_always_on_apn,smartwifitimer,internet_pdn_keep_alive_timer,epdgserverip,dynamic_fqdn,dynamic_userfqdn,smart_wifi_ans_integration,smart_wifi_rtcp_integration,broadcast_ho_result,attach_pdn,alwayson_apntype,vowifi_pref,ondemand_pdn_handoff,is_throttle_enabled,pcscfv4vendorattr,pcscfv6vendorattr,imeivendorattr,netinterfacenum,epdgenable,emergency_apntype,is_dpd_allowed_in_connected_mode,is_ipv6_enabled,is_ipv6_preferred,certi_path,is_using_certi,handover_support,airplane_mode_support,roaming_support,wfc_call_menu,wfc_setting_menu,wfc_quicksetting_menu
1,default,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,30,30,0,0,0,10,10,0,0,0,0,0,1,1,0,5400000,epdg.epc.mnc000.mcc000.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,off,emergency,0,0,0,none,0,1,1,1,0,0,0
2,GCF,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,30,30,0,0,0,10,10,0,0,0,0,0,1,1,0,5400000,epdg.epc.mnc001.mcc001.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,emergency,0,0,0,none,0,1,1,1,1,0,0
3,TMobile_GR,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc001.mcc202.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
4,MOBILY_SA,-74,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.mobily.com.sa,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,0,0,0,none,0,1,1,1,1,1,1
5,Vodafone_GR,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,106,94,100,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc005.mcc202.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16384,16386,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
6,Vodafone_QA,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,30,30,0,0,0,10,10,0,0,0,0,0,1,1,0,5400000,epdg.epc.mnc002.mcc427.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,1,1,1,1
7,MOI_QA,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,30,30,0,0,0,10,10,0,0,0,0,0,1,1,0,5400000,epdg.epc.mnc006.mcc427.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,emergency,0,0,0,none,0,1,1,1,1,1,1
8,Ooredoo_QA,-74,-85,0,0,0,0,-112,0,-108,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,108,112,100,110,95,105,30,30,0,0,0,10,10,0,0,0,0,0,1,1,0,5400000,epdg.epc.mnc001.mcc427.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,1,0,none,0,1,1,1,1,1,1
9,Tele2_NL,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc002.mcc204.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,0,1,0,1
10,Vodafone_NL,-75,-82,0,0,0,0,-118,0,-104,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,104,118,104,112,94,102,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc004.mcc204.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,ca.crt,0,1,1,1,1,0,1
11,TMobile_NL,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc016.mcc204.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
12,KPN_NL,-74,-85,0,0,0,0,-122,0,-114,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,114,122,105,110,100,104,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc008.mcc204.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
