_id,mnoname,connname,apnname,authtype,subnettype,userauthtype,pfs,ownuritype,ownidentity,remoteuritype,remoteidentity,tunneltype,ipsecencryption,ipsecintegrity,ipsecgroup,ipseclifetime,ipseclifevalue,ikeversion,ikeintegrity,ikeencryption,ikegroup,ikeeaptype,ikelife,ikewindowsize,ikedpdtimeout,ikeconnectiontimeout,ikenatvalue,ikevirtualadaptername,vendorattribute,periodicdpdtimer,mobike,imei,fastreauth,deviceidentity,mtu
1,default,imsApn,ims,EAP,IPV6,false,false,USER_FQDN,023430123456701@nai.epc.mnc000.mcc000.3gppnetwork.org,KEY_ID,ims,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_128,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_AES_CBC_128,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V6,120,false,NONE,false,false,0
2,GCF,imsApn,ims,EAP,IPV6,false,false,USER_FQDN,023430123456701@nai.epc.mnc001.mcc001.3gppnetwork.org,KEY_ID,ims,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_128,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_AES_CBC_128,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V6,120,false,NONE,false,false,0
3,TMobile_GR,imsApn,ims,EAP,IPV4V6,false,true,USER_FQDN,023430123456701@nai.epc.mnc001.mcc202.3gppnetwork.org,KEY_ID,ims,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_256,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_AES_CBC_128,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,64800,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,1280
4,TMobile_GR,mmsApn,mms,EAP,IPV4V6,false,true,USER_FQDN,023430123456701@nai.epc.mnc001.mcc202.3gppnetwork.org,KEY_ID,HOS,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_256,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_AES_CBC_128,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,1280
5,TMobile_GR,xcapApn,xcap,EAP,IPV4V6,false,true,USER_FQDN,023430123456701@nai.epc.mnc001.mcc202.3gppnetwork.org,KEY_ID,HOS,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_256,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_AES_CBC_128,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,1280
6,MOBILY_SA,imsApn,ims,EAP,IPV4V6,false,true,USER_FQDN,023430123456701@nai.epc.mnc003.mcc420.3gppnetwork.org,KEY_ID,ims,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_128,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_AES_CBC_128,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,0
7,MOBILY_SA,xcapApn,xcap,EAP,IPV4V6,false,true,USER_FQDN,023430123456701@nai.epc.mnc003.mcc420.3gppnetwork.org,KEY_ID,xcap,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_128,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_AES_CBC_128,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,0
8,Vodafone_GR,imsApn,ims,EAP,IPV4,false,true,USER_FQDN,023430123456701@nai.epc.mnc005.mcc202.3gppnetwork.org,KEY_ID,ims,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_256,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,3600,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA_256_128,IKE_ENCRYPTION_AES_CBC_256,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,3600,1,60,10,30,tap0,P-CSCF-V4,120,false,NONE,false,false,1390
9,Vodafone_GR,mmsApn,mms,EAP,IPV4,false,true,USER_FQDN,023430123456701@nai.epc.mnc005.mcc202.3gppnetwork.org,KEY_ID,mms.vodafone.net,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_256,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,3600,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA_256_128,IKE_ENCRYPTION_AES_CBC_256,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,3600,1,60,10,30,tap0,P-CSCF-V4,120,false,NONE,false,false,1390
10,Vodafone_GR,xcapApn,xcap,EAP,IPV4,false,true,USER_FQDN,023430123456701@nai.epc.mnc005.mcc202.3gppnetwork.org,KEY_ID,internet.vodafone.gr,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_256,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,3600,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA_256_128,IKE_ENCRYPTION_AES_CBC_256,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,3600,1,60,10,30,tap0,P-CSCF-V4,120,false,NONE,false,false,1390
11,Vodafone_QA,imsApn,ims,EAP,IPV4,false,false,USER_FQDN,023430123456701@nai.epc.mnc002.mcc427.3gppnetwork.org,KEY_ID,ims,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_256,"IPSEC_INTEGRITY_AES_XCBC_MAC_96,IPSEC_INTEGRITY_HMAC_SHA_512_256",IPSEC_GROUP_MODP_2048,IPSEC_LIFE_TYPE_SECONDS,7200,IKE_VERSION_2,"IKE_INTEGRITY_HMAC_SHA1_96,IKE_INTEGRITY_HMAC_SHA_512_256","IKE_ENCRYPTION_AES_CBC_128,IKE_ENCRYPTION_AES_CBC_256",IKE_GROUP_MODP_2048,EAP_METHOD_AKA,43200,1,60,10,30,tap0,P-CSCF-V4,120,false,NONE,false,false,0
12,Vodafone_QA,xcapApn,xcap,EAP,IPV4,false,false,USER_FQDN,023430123456701@nai.epc.mnc002.mcc427.3gppnetwork.org,KEY_ID,xcap,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_256,"IPSEC_INTEGRITY_AES_XCBC_MAC_96,IPSEC_INTEGRITY_HMAC_SHA_512_256",IPSEC_GROUP_MODP_2048,IPSEC_LIFE_TYPE_SECONDS,7200,IKE_VERSION_2,"IKE_INTEGRITY_HMAC_SHA1_96,IKE_INTEGRITY_HMAC_SHA_512_256","IKE_ENCRYPTION_AES_CBC_128,IKE_ENCRYPTION_AES_CBC_256",IKE_GROUP_MODP_2048,EAP_METHOD_AKA,43200,1,60,10,30,tap0,P-CSCF-V4,120,false,NONE,false,false,0
13,MOI_QA,imsApn,ims,EAP,IPV4,false,false,USER_FQDN,023430123456701@nai.epc.mnc006.mcc427.3gppnetwork.org,KEY_ID,ims,IPSEC_RAC,IPSEC_ENCRYPTION_ANY,IPSEC_INTEGRITY_ANY,IPSEC_GROUP_ANY,IPSEC_LIFE_TYPE_SECONDS,43200,IKE_VERSION_2,IKE_INTEGRITY_ANY,IKE_ENCRYPTION_ANY,IKE_GROUP_ANY,EAP_METHOD_AKA,43200,1,60,10,30,tap0,P-CSCF-V4,120,false,NONE,false,false,0
14,MOI_QA,mmsApn,mms,EAP,IPV4,false,false,USER_FQDN,023430123456701@nai.epc.mnc006.mcc427.3gppnetwork.org,KEY_ID,mms,IPSEC_RAC,IPSEC_ENCRYPTION_ANY,IPSEC_INTEGRITY_ANY,IPSEC_GROUP_ANY,IPSEC_LIFE_TYPE_SECONDS,43200,IKE_VERSION_2,IKE_INTEGRITY_ANY,IKE_ENCRYPTION_ANY,IKE_GROUP_ANY,EAP_METHOD_AKA,43200,1,60,10,30,tap0,P-CSCF-V4,120,false,NONE,false,false,0
15,MOI_QA,xcapApn,xcap,EAP,IPV4,false,false,USER_FQDN,023430123456701@nai.epc.mnc006.mcc427.3gppnetwork.org,KEY_ID,xcap,IPSEC_RAC,IPSEC_ENCRYPTION_ANY,IPSEC_INTEGRITY_ANY,IPSEC_GROUP_ANY,IPSEC_LIFE_TYPE_SECONDS,43200,IKE_VERSION_2,IKE_INTEGRITY_ANY,IKE_ENCRYPTION_ANY,IKE_GROUP_ANY,EAP_METHOD_AKA,43200,1,60,10,30,tap0,P-CSCF-V4,120,false,NONE,false,false,0
16,MOI_QA,emergencyApn,emergency,EAP,IPV4,false,false,USER_FQDN,023430123456701@nai.epc.mnc006.mcc427.3gppnetwork.org,KEY_ID,sos,IPSEC_RAC,IPSEC_ENCRYPTION_ANY,IPSEC_INTEGRITY_ANY,IPSEC_GROUP_ANY,IPSEC_LIFE_TYPE_SECONDS,43200,IKE_VERSION_2,IKE_INTEGRITY_ANY,IKE_ENCRYPTION_ANY,IKE_GROUP_ANY,EAP_METHOD_AKA,43200,1,60,10,30,tap0,P-CSCF-V4,120,false,NONE,false,false,0
17,Ooredoo_QA,imsApn,ims,EAP,IPV4V6,false,false,USER_FQDN,023430123456701@nai.epc.mnc001.mcc427.3gppnetwork.org,KEY_ID,ims,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_128,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_AES_CBC_128,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,0
18,Ooredoo_QA,xcapApn,xcap,EAP,IPV4V6,false,false,USER_FQDN,023430123456701@nai.epc.mnc001.mcc427.3gppnetwork.org,KEY_ID,data,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_128,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_AES_CBC_128,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,0
19,Tele2_NL,imsApn,ims,EAP,IPV4V6,false,false,USER_FQDN,023430123456701@nai.epc.mnc002.mcc204.3gppnetwork.org,KEY_ID,ims,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_128,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_AES_CBC_128,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,1300
20,Tele2_NL,xcapApn,xcap,EAP,IPV4V6,false,false,USER_FQDN,023430123456701@nai.epc.mnc002.mcc204.3gppnetwork.org,KEY_ID,internet.tele2.nl,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_128,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_AES_CBC_128,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,1300
21,Tele2_NL,emergencyApn,emergency,EAP,IPV4V6,false,false,USER_FQDN,023430123456701@nai.epc.mnc002.mcc204.3gppnetwork.org,KEY_ID,sos,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_128,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_AES_CBC_128,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,1300
22,Vodafone_NL,imsApn,ims,EAP,IPV4V6,false,false,USER_FQDN,023430123456701@nai.epc.mnc004.mcc204.3gppnetwork.org,KEY_ID,ims,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_128,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_AES_CBC_128,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,1280
23,TMobile_NL,imsApn,ims,EAP,IPV4V6,false,false,USER_FQDN,023430123456701@nai.epc.mnc016.mcc204.3gppnetwork.org,KEY_ID,ims,IPSEC_RAC,IPSEC_ENCRYPTION_BASIC,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_BASIC,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,64800,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,0
24,TMobile_NL,mmsApn,mms,EAP,IPV4V6,false,false,USER_FQDN,023430123456701@nai.epc.mnc016.mcc204.3gppnetwork.org,KEY_ID,HOS,IPSEC_RAC,IPSEC_ENCRYPTION_BASIC,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_BASIC,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,0
25,TMobile_NL,xcapApn,xcap,EAP,IPV4V6,false,false,USER_FQDN,023430123456701@nai.epc.mnc016.mcc204.3gppnetwork.org,KEY_ID,HOS,IPSEC_RAC,IPSEC_ENCRYPTION_BASIC,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_1024,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_BASIC,IKE_GROUP_MODP_1024,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,0
26,KPN_NL,imsApn,ims,EAP,IPV4V6,false,false,USER_FQDN,023430123456701@nai.epc.mnc008.mcc204.3gppnetwork.org,KEY_ID,ims,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_256,IPSEC_INTEGRITY_HMAC_SHA_256_128,IPSEC_GROUP_MODP_2048,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA_256_128,IKE_ENCRYPTION_AES_CBC_256,IKE_GROUP_MODP_2048,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,true,NONE,false,false,0
27,KPN_NL,xcapApn,xcap,EAP,IPV4V6,false,false,USER_FQDN,023430123456701@nai.epc.mnc008.mcc204.3gppnetwork.org,KEY_ID,ut,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_256,IPSEC_INTEGRITY_HMAC_SHA_256_128,IPSEC_GROUP_MODP_2048,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA_256_128,IKE_ENCRYPTION_AES_CBC_256,IKE_GROUP_MODP_2048,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,true,NONE,false,false,0
28,Telenet_BE,imsApn,ims,EAP,IPV6,false,false,USER_FQDN,023430123456701@nai.epc.mnc005.mcc206.3gppnetwork.org,KEY_ID,ims,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_256,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_2048,IPSEC_LIFE_TYPE_SECONDS,900,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_AES_CBC_256,IKE_GROUP_MODP_2048,EAP_METHOD_AKA,900,1,60,10,30,tap0,P-CSCF-V6,60,false,NONE,false,false,1300
29,Telenet_BE,xcapApn,xcap,EAP,IPV4,false,false,USER_FQDN,023430123456701@nai.epc.mnc005.mcc206.3gppnetwork.org,KEY_ID,xcap,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_256,IPSEC_INTEGRITY_HMAC_SHA1_96,IPSEC_GROUP_MODP_2048,IPSEC_LIFE_TYPE_SECONDS,900,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA1_96,IKE_ENCRYPTION_AES_CBC_256,IKE_GROUP_MODP_2048,EAP_METHOD_AKA,900,1,60,10,30,tap0,P-CSCF-V6,60,false,NONE,false,false,1300
30,Proximus_BE,imsApn,ims,EAP,IPV4V6,false,false,USER_FQDN,023430123456701@nai.epc.mnc001.mcc206.3gppnetwork.org,KEY_ID,ims,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_256,IPSEC_INTEGRITY_HMAC_SHA_256_128,IPSEC_GROUP_MODP_1536,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA_256_128,IKE_ENCRYPTION_AES_CBC_256,IKE_GROUP_MODP_1536,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,0
31,Proximus_BE,emergencyApn,emergency,EAP,IPV4V6,false,false,USER_FQDN,023430123456701@nai.epc.mnc001.mcc206.3gppnetwork.org,KEY_ID,sos,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_256,IPSEC_INTEGRITY_HMAC_SHA_256_128,IPSEC_GROUP_MODP_1536,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA_256_128,IKE_ENCRYPTION_AES_CBC_256,IKE_GROUP_MODP_1536,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,0
32,Proximus_BE,xcapApn,xcap,EAP,IPV4V6,false,false,USER_FQDN,023430123456701@nai.epc.mnc001.mcc206.3gppnetwork.org,KEY_ID,hos,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_256,IPSEC_INTEGRITY_HMAC_SHA_256_128,IPSEC_GROUP_MODP_1536,IPSEC_LIFE_TYPE_SECONDS,28800,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA_256_128,IKE_ENCRYPTION_AES_CBC_256,IKE_GROUP_MODP_1536,EAP_METHOD_AKA,86400,1,60,10,30,tap0,P-CSCF-V4V6,120,false,NONE,false,false,0
33,Orange_BE,imsApn,ims,EAP,IPV4V6,false,true,USER_FQDN,023430123456701@nai.epc.mnc010.mcc206.3gppnetwork.org,KEY_ID,ims,IPSEC_RAC,IPSEC_ENCRYPTION_AES_CBC_128,IPSEC_INTEGRITY_HMAC_SHA_256_128,IPSEC_GROUP_MODP_1536,IPSEC_LIFE_TYPE_SECONDS,7200,IKE_VERSION_2,IKE_INTEGRITY_HMAC_SHA_256_128,IKE_ENCRYPTION_AES_CBC_128,IKE_GROUP_MODP_1536,EAP_METHOD_AKA,28800,1,60,10,20,tap0,P-CSCF-V4V6,60,false,NONE,false,false,1340
