type,word,wordgroup,wordvalue,flags,CultureId,numericvalue
0,version,0,0,32,10,0
1,:,0,0,0,10,1
2,invierno,25,107,0,10,0
2,primavera,25,108,0,10,0
2,verano,25,109,0,10,0
2,otoño,25,110,0,10,0
1,am,4,37,0,10,0
1,a m,4,37,0,10,0
1,a.m.,4,37,0,10,0
1,a.m,4,37,0,10,0
1,pm,4,38,0,10,0
1,p.m.,4,38,0,10,0
1,p.m,4,38,0,10,0
1,p m,4,38,0,10,0
1,en punto,9,39,0,10,0
1,horas,9,39,256,10,0
1,a la,9,39,4,10,0
1,a las,9,39,4,10,0
1,de la,9,39,4,10,0
1,de las,9,39,4,10,0
1,a la una,9,39,64,10,0
1,a las una,9,39,64,10,0
1,de la una,9,39,64,10,0
1,de las una,9,39,64,10,0
1,un'ora,9,39,320,10,0
1,un' ora,9,39,320,10,0
1,a,9,40,36,10,0
1,a los,9,40,36,10,0
1,el,9,40,36,10,0
1,la,9,40,36,10,0
1,las,9,40,36,10,0
1,los,9,40,36,10,0
1,al,9,40,36,10,0
1,y,9,40,2084,10,0
1,para,9,40,4,10,0
1,de,9,40,36,10,0
1,del,9,40,36,10,0
1,con,9,40,2081,10,0
1,esta,1,3,0,10,0
1,este,1,3,0,10,0
1,siguiente,1,2,512,10,0
1,el siguiente,1,2,512,10,0
1,la siguiente,1,2,512,10,0
1,próximo,1,2,0,10,0
1,proximo,1,2,0,10,0
1,próxima,1,2,0,10,0
1,proxima,1,2,0,10,0
1,el próximo,1,2,512,10,0
1,el proximo,1,2,512,10,0
1,la próxima,1,2,512,10,0
1,la proxima,1,2,512,10,0
1,que viene,1,2,0,10,0
1,pasado,1,1,0,10,0
1,pasada,1,1,0,10,0
1,para las,7,69,0,10,0
1,después,7,68,512,10,0
1,despues,7,68,512,10,0
1,más tarde,7,68,512,10,0
1,mas tarde,7,68,512,10,0
1,un cuarto,11,50,0,10,0
1,y cuarto,11,50,0,10,0
1,y un cuarto,11,50,0,10,0
1,con 15,11,50,0,10,0
1,falta 0.500 hora,11,51,0,10,0
1,faltan 0.750 de hora,11,52,0,10,0
1,cuarto,11,49,4,10,0
1,la una,11,49,1,10,0
1,las una,11,49,1,10,0
1,esta noche,6,21,0,10,0
1,minuto,2,64,8,10,0
1,una minuto,2,64,72,10,0
1,un minuto,2,64,72,10,0
1,minutos,2,64,8,10,0
1,hora,2,65,8,10,0
1,una hora,2,65,72,10,0
1,un hora,2,65,72,10,0
1,segundo,2,41,8,10,0
1,una segundo,2,41,72,10,0
1,un segundo,2,41,72,10,0
1,segundos,2,41,8,10,0
1,esta mañana,4,15,0,10,0
1,esta manana,4,15,0,10,0
1,la mañana,4,15,0,10,0
1,la manana,4,15,0,10,0
1,cada mañana,4,15,2,10,0
1,cada manana,4,15,2,10,0
1,matutina,4,15,0,10,0
1,matutinas,4,15,0,10,0
1,matutino,4,15,0,10,0
1,matinales,4,15,0,10,0
1,matutinos,4,15,0,10,0
1,noche,4,18,0,10,0
1,nocturno,4,18,0,10,0
1,nocturno,4,18,0,10,0
1,nocturnos,4,18,0,10,0
1,nocturnas,4,18,0,10,0
1,tarde,4,16,0,10,0
1,vespertinas,4,16,0,10,0
1,vespertinos,4,16,0,10,0
1,todo el día,4,72,0,10,0
1,todo el dia,4,72,0,10,0
1,desayuno,4,53,0,10,0
1,bien temprano,4,53,0,10,0
1,almuerzo,4,54,0,10,0
1,lunch,4,55,0,10,0
1,lonche,4,55,0,10,0
1,comida,4,55,0,10,0
1,cena,4,56,0,10,0
