id,family,width,weight,italic,version,last_accessed
1,Press Start 2P,100.0,400,0,5,2021-04-03 19:28:56
2,Roboto,100.0,400,0,16,2021-04-04 04:43:53
3,Roboto,100.0,500,0,16,2021-04-04 04:43:54
5,Noto Color Emoji Compat,100.0,400,0,23,2021-07-22 19:23:36
6,Lato,100.0,400,0,13,2021-06-02 01:58:31
7,Lato,100.0,300,0,13,2021-06-02 01:59:34
8,Poppins,100.0,600,0,5,2021-07-05 18:26:42
9,Poppins,100.0,500,0,5,2021-07-05 18:26:50
10,Poppins,100.0,700,0,5,2021-07-05 18:26:42
11,Poppins,100.0,400,0,5,2021-07-05 18:26:50
