key,type,value
/tosacceptance/reason,1,EXPLICIT_COMPONENT_STATE
/zero_rating2/clearable/current_zero_rating_status,1,disabled
/config/offlineexperiment/exposed/msgr_sso_login_profile_pic_holdout/100065791655767,2,1
/settings/analyticsmetainf_fbmeta,1,NO_FILE
/config/path_provider/eviction.v2/383861885,1,"{""size_config"":{""max_size"":20971520,""max_size_low_space_bytes"":20971520,""max_size_very_low_space_bytes"":20971520,""delete_only_on_init"":false},""staleness_config"":{""stale_age_s"":5184000},""eviction_type"":""stash"",""cache_name"":""ras_blobs"",""feature_name"":""ras_blobs"",""path"":""\/data\/user\/0\/com.facebook.orca\/app_ras_blobs""}"
/reached_neue_activity/,2,0
/settings/data_analyticstotal_bytes_received_background,4,0
/shared/device_id,1,2d7729db-7555-4066-893c-2b5eb3e26824
/config/path_provider/eviction.v2/-1725531165,1,"{""size_config"":{""max_size"":10485760,""max_size_low_space_bytes"":10485760,""max_size_very_low_space_bytes"":10485760,""delete_only_on_init"":false},""staleness_config"":{""stale_age_s"":604800},""eviction_type"":""stash"",""cache_name"":""graph_service_cache"",""feature_name"":""graph_service_cache"",""path"":""\/data\/user\/0\/com.facebook.orca\/app_graph_service_cache\/__out_of_scope__""}"
/unified_account_login/app_state_for_login_form,1,cold_start
/config/offlineexperiment/values/msgr_sso_auto_login_holdout/100065791655767,3,502
/config/neue/logged_platform_event/app_install,2,1
/settings/data_analyticstotal_bytes_received_foreground,4,0
/config/image_pipeline_mc_providerbitmap_max_size_percent,6,0.5
/installreferrer/referrer_processed,2,1
/settings/data_analyticstotal_bytes_sent_background,4,0
/config/image_pipeline_mc_providerprepare_to_draw_enabled,2,1
/config/offlineexperiment/values/msgr_login_sso_uid_holdout_v2/100065791655767,3,6905
/messenger/page_reply_first_time_init,2,1
/settings/analyticsdevice_info_oldest_known_installer,1,com.android.vending
/messenger/nux_completed,2,0
/zero_rating2/clearable/zero_unknown_state,2,1
/tosacceptance/send_tos_accept,3,5
/config/offlineexperiment/values/msgr_splash_sso_v2,3,4730
/config/image_pipeline_mc_providerprepare_bitmap_not_more_than_bytes,3,67108864
/config/offlineexperiment/values/msgr_sso_login_profile_pic_holdout/100065791655767,3,227
/config/image_pipeline_mc_providerprepare_bitmap_at_least_bytes,3,0
/config/offlineexperiment/values/m4a_aa_test,3,9959
/settings/data_analyticstotal_bytes_sent_foreground,4,0
/messenger/device_density_dpi,3,420
/unified_account_login/login_form_flow_from_account_switcher_add_account,2,0
/config/image_pipeline_mc_providerpool_max_size_percent,6,0.5
/messenger/fcm/token_owner,1,
/config/neue/logged_platform_event/app_launch,2,1
/messenger/first_install_time,4,1618078967543
/cache_deleter/last_cache_clean_key,3,0
/config/image_pipeline_mc_providerbitmap_pool_type,1,legacy
/shared/device_id_generate_timestamp,4,1618078967542
/config/image_pipeline_mc_providerprepare_bitmap_for_prefetch,2,1
/config/image_pipeline_mc_providershould_register_trimmable,2,0
/config/image_pipeline_mc_provideruse_gingerbread_decoder,2,0
/msgr_access_flow_logging,2,0
/fbns_lite/fb_server_registered,2,0
/ras_blobs/3093fa4dlocation,1,/data/user/0/com.facebook.orca/app_ras_blobs/3093fa4d
/config/sessionless_gk/version,3,1
/settings/connection_manager/history/LTE,1,EXCELLENT
/ras_blobs/321fe26clocation,1,/data/user/0/com.facebook.orca/app_ras_blobs/321fe26c
/ras_blobs/3093fa4dmd5,1,f36d9d57e6cb1a576d7513d5788e833f
/ras_blobs/321fe26cmd5,1,3e271f1b663e1d7d3eb0f2923529a8d3
/fbns/fb_server_registered,2,0
/config/sessionless_gk/last_fetch_keys_hash,1,3122A7B0F39F8DBC1404D072BD663CDBB2D7A19F
/ras_blobs/c92570c9md5,1,ca8d9e7e7fcd8083c0e133e7a7627264
/ras_blobs/3873c21clocation,1,/data/user/0/com.facebook.orca/app_ras_blobs/3873c21c
/ras_blobs/2d6d031elocation,1,/data/user/0/com.facebook.orca/app_ras_blobs/2d6d031e
/ras_blobs/3873c21cmd5,1,1931d91e195cc08b0d5380d9bf8e3d22
/fb_android/liger_initial_ttfb_ms,4,602
/ras_blobs/2d6d031emd5,1,09e0848810ca62b8e6b0c22de62dcd50
/fb_android/liger_initial_bandwidth_bps,4,2922071
/ras_blobs/c92570c9location,1,/data/user/0/com.facebook.orca/app_ras_blobs/c92570c9
/messenger/app_target_badge_unread_tincan,3,0
/messenger/app_target_badge_read_sms,3,0
/shared/sfdid_generated_timestamp,4,1617501537404
/messenger/app_target_badge,3,0
/messenger/app_target_badge_read_pinned,3,0
/shared/phone_id_last_sync_timestamp,4,1618078980948
/shared/sfdid_generator_action,1,login_form
/messenger/app_target_badge_unread_pinned,3,0
/shared/sfdid_last_sync_timestamp,4,1618078980948
/shared/sfdid_generator_pkg,1,com.facebook.katana
/messenger/app_target_badge_read_tincan,3,0
/messenger/app_target_badge_unread_sms,3,0
/shared/sfdid,1,eeadc310-ab38-4a58-af7d-47dd2b00c0de
