id,canonical_id,parent_canonical_id,name,mccmnc,imsi_range,imsi_prefix,iccid_range,iccid_prefix,gid1,gid1_prefix,gid2,gid2_prefix,plmn,spn,apn
1764,3,30717,Telekom,26201,,,,,99,,,,,,
1765,3,30717,Telekom,26201,,,,,04,,,,,,
1766,3,30717,Telekom,26201,,,,,,,,,,Privat,
1767,3,30717,Telekom,26201,,,,,,,,,,Telekom.de,
1768,3,30717,Telekom,26201,,,,,01,,,,,,
1769,3,30717,Telekom,26201,,,,,03,,,,,,
1770,3,30717,Telekom,26201,,,,,,,,,,Business,
1771,3,30717,Telekom,26201,,,,,4B,,,,,,
1772,3,30717,Telekom,26201,,,,,,,,,,T-Mobile D,
1773,3,30717,Telekom,26201,,,,,02,,,,,,
1774,3,30717,Telekom,26201,,,,,,,,,,T-Campus,
1775,3,30717,Telekom,26206,,,,,,,,,,T-Campus,
1776,3,30717,Telekom,26206,,,,,99,,,,,,
1777,3,30717,Telekom,26206,,,,,4,,,,,,
1778,3,30717,Telekom,26206,,,,,,,,,,Privat,
1779,3,30717,Telekom,26206,,,,,,,,,,Telekom.de,
1780,3,30717,Telekom,26206,,,,,1,,,,,,
1781,3,30717,Telekom,26206,,,,,3,,,,,,
1782,3,30717,Telekom,26206,,,,,,,,,,Business,
1783,3,30717,Telekom,26206,,,,,4B,,,,,,
1784,3,30717,Telekom,26206,,,,,,,,,,T-Mobile D,
1785,3,30717,Telekom,26206,,,,,2,,,,,,
1786,5,30609,T-Mobile,20416,,,,,FF,,,,,,
1787,5,30609,T-Mobile,20416,,,,,,,,,,T-Mobile  NL,
1788,5,30609,T-Mobile,20416,,,,,FF,,,,,T-Mobile  NL,
1789,7,7,T-Mobile,26002,,,,,,,,,,,
1790,9,30107,Hrvaski Telekom,21901,,,,,,,,,,T-Mobile HR,
1791,9,30107,Hrvaski Telekom,21901,,,,,03,,,,,,
1792,9,30107,Hrvaski Telekom,21901,,,,,02,,,,,,
1793,9,30107,Hrvaski Telekom,21901,,,,,,,,,,HT HR,
1794,9,30107,Hrvaski Telekom,21901,,,,,01,,,,,,
1795,9,30107,Hrvaski Telekom,21901,,,,,99,,,,,,
1796,18,31002,Vodafone,20205,,,,,,,,,,CU,
1797,18,31002,Vodafone,20205,,,,,,,,,,CU-X,
1798,18,31002,Vodafone,20205,,,,,,,,,,vodafone GR,
1799,19,31029,Vodafone,27201,,,,,,,,,,vodafone IE,
1800,20,31005,Vodafone,20404,,204042,,,,,,,,,
1801,20,31005,Vodafone,20404,,204045,,,,,,,,vodafone NL,
1802,20,31005,Vodafone,20404,,204047,,,,,,,,,
1803,20,31005,Vodafone,20404,,204044,,,,,,,,vodafone NL,
1804,20,31005,Vodafone,20404,,204042,,,,,,,,vodafone NL,
1805,20,31005,Vodafone,20404,,204044,,,,,,,,,
1806,20,31005,Vodafone,20404,,204047,,,,,,,,vodafone NL,
1807,20,31005,Vodafone,20404,,204045,,,,,,,,,
1808,20,31005,Vodafone,20404,,204041,,,,,,,,vodafone NL,
1809,20,31005,Vodafone,20404,,204040,,,,,,,,,
1810,20,31005,Vodafone,20404,,204040,,,,,,,,vodafone NL,
1811,20,31005,Vodafone,20404,,204041,,,,,,,,,
1812,20,31005,Vodafone,20404,,204049,,,,,,,,vodafone NL,
1813,20,31005,Vodafone,20404,,204049,,,,,,,,,
1814,20,31005,Vodafone,20404,,204048,,,,,,,,,
1815,20,31005,Vodafone,20404,,204048,,,,,,,,vodafone NL,
1816,21,21,Vodafone,53001,,,,,,,,,,vodafone NZ,
1817,22,31025,Vodafone,26801,,,,,,,,,,,
1818,23,30396,Vodafone,22601,,,,,,,,,,Vodafone RO,
1819,25,31024,Vodafone.DE,26202,,,,,,,,,,,
1820,26,31028,Vodafone,21401,,,,,,,,,,Personal,
1821,26,31028,Vodafone,21401,,,,,,,,,,,
1822,26,31028,Vodafone,21401,,,,,,,,,,Profesional,
1823,28,31012,Vodafone,23415,,,,,,,,,,,
1824,29,31010,Vodafone,22210,,,,,,,,,,,
1825,34,34,Movistar,21407,,,,,,,,,,,
1826,529,529,Claro BR,72405,,,,,,,,,,,
1827,529,529,Claro BR,72438,,,,,,,,,,,
1828,530,530,Vivo,72406,,,,,,,,,,,
1829,530,530,Vivo,72423,,,,,,,,,,,
1830,530,530,Vivo,72410,,,,,,,,,,,
1831,530,530,Vivo,72411,,,,,,,,,,,
1832,539,539,Sercomtel,72415,,,,,,,,,,,
1833,540,540,Brasil Telecom GSM,72416,,,,,,,,,,,
1834,541,541,Ceterp Cel,72417,,,,,,,,,,,
1835,567,567,Orange Botswana (Pty) Ltd.,65202,,,,,,,,,,Orange,
1836,624,624,Colombia Movil S.A.,732111,,,,,,,,,,,
1837,624,624,Colombia Movil S.A.,732103,,,,,,,,,,,
1838,625,625,Movistar,732123,,,,,,,,,,,
1839,626,626,Avantel,732130,,,,,,,,,,,
1840,627,627,KOLBI ICE,71202,,,,,,,,,,,
1841,627,627,KOLBI ICE,71201,,,,,,,,,,,
1842,657,657,Tele2,23877,,,,,,,,,,,
1843,658,658,Altice Dominicana,37001,,,,,,,,,,,
1844,675,675,Orange Egypt,60201,,,,,,,,,,Orange EG,
1845,678,678,Orange,21403,,,,,,,,,,Orange,
1846,739,739,Orange,61101,,,,,,,,,,Orange GN,
1847,745,745,Bouygues Telecom Caraibe,34020,,,,,,,,,,,
1848,773,773,Claro HN,708001,,,,,,,,,,,
1849,792,792,3,27202,,,,,,,,,,,
1850,849,849,Orange Jordan,41677,,,,,,,,,,Orange JO,
1851,902,902,Meditelecom,60400,,,,,,,,,,Orange MA,
1852,958,958,Telenor,24201,,,,,,,,,,,
1853,973,973,Cable & Wireless Panama S.A.,71401,,,,,,,,,,,
1854,974,974,Movistar,714020,,,,,,,,,,,
1855,1010,1010,Telekom Romania,22603,,,,,,,,,,,
1856,1010,1010,Telekom Romania,22606,,,,,,,,,,,
1857,1016,1016,Megafon,25002,,,,,,,,,,,
1858,1084,1084,Digicel,74603,,,,,,,,,,,
1859,1087,1087,"Digicel, S.A. de C.V.",70602,,,,,,,,,,,
1860,1309,1309,Mobile Telephone Networks,65510,,,,,,,,,,,
1861,1325,1325,Cable & Wireless (Antigua),344920,,,,,,,,,,,
1862,1328,1328,Telekom Albania,27601,,,,,,,,,,,
1863,1329,31026,Vodafone,27602,,,,,,,,,,VODAFONE AL,
1864,1332,1332,CT GSM,36269,,,,,,,,,,,
1865,1337,1337,Movistar,72207,,,,,,,,,,,
1866,1337,1337,Movistar,722070,,,,,,,,,,,
1867,1338,1338,Claro AR,72231,,,,,,,,,,,
1868,1338,1338,Claro AR,722310,,,,,,,,,,,
1869,1341,1341,Telecom Personal S.A.,72234,,,,,,,,,,,
1870,1341,1341,Telecom Personal S.A.,722341,,,,,,,,,,,
1871,1344,1344,Drei,23205,,,,,,,,,,,
1872,1344,1344,Drei,23210,,,,,,,,,,,
1873,1360,1360,Cable & Wireless (Barbados) Ltd.,342600,,,,,,,,,,,
1874,1365,1365,Proximus,20601,,2060122,,,,,,,,,
1875,1380,1380,Nuevatel S.A.,73601,,,,,,,,,,,
1876,1381,1381,ENTEL S.A.,73602,,,,,,,,,,,
1877,1382,1382,Telecel S.A.,73603,,,,,,,,,,,
1878,1383,1383,Nextel,72439,,,,,,,,,,,
1879,1385,1385,TIM,72402,,,,,,,,,,,
1880,1385,1385,TIM,72403,,,,,,,,,,,
1881,1385,1385,TIM,72404,,,,,,,,,,,
1882,1389,1389,Oi,72431,,,,,,,,,,,
1883,1390,1390,CTBC Celular,72432,,,,,,,,,,,
1884,1390,1390,CTBC Celular,72434,,,,,,,,,,,
1885,1390,1390,CTBC Celular,72433,,,,,,,,,,,
1886,1407,1407,Orange RDC,63086,,,,,,,,,,Orange RDC,
1887,1410,1410,Orange Centrafricaine,62303,,,,,,,,,,Orange RCA,
1888,1421,1421,Orange Cote d'Ivoire,61203,,,,,,,,,,Orange,
1889,1427,1427,Entel,73001,,,,,,,,,,,
1890,1427,1427,Entel,73010,,,,,,,,,,,
1891,1428,1428,Movistar,73002,,,,,,,,,,,
1892,1429,1429,Claro CL,73003,,,,,,,,,,,
1893,1430,1430,WOM,73009,,,,,,,,,,,
1894,1434,1434,Orange Cameroun,62402,,,,,,,,,,Orange CM,
1895,1442,1442,Claro CO,732101,,,,,,,,,,,
1896,1444,1444,ETECSA,36801,,,,,,,,,,,
1897,1452,31011,Vodafone,23003,,,,,,,,,,Vodafone CZ,
1898,1466,1466,3,23806,,,,,,,,,,,
1899,1467,1467,Claro RD,37002,,,,,,,,,,,
1900,1469,1469,CentennialDominicana,37004,,,,,,,,,,,
1901,1472,1472,Movistar,74000,,,,,,,,,,,
1902,1473,1473,Claro EC,74001,,,,,,,,,,,
1903,1474,1474,Telecsa S.A.,74002,,,,,,,,,,,
1904,1487,1487,Bouygues Telecom,20820,,,,,,,,,,,
1905,1492,1492,O2,23410,,,,,,,,,,,
1906,1520,1520,Claro GT,70401,,,,,,,,,,,
1907,1521,1521,Comunicaciones Celulares S.A.,70402,,,,,,,,,,,
1908,1522,1522,Movistar,704030,,,,,,,,,,,
1909,1522,1522,Movistar,70403,,,,,,,,,,,
1910,1525,1525,Cel*Star (Guyana) Inc.,73801,,,,,,,,,,,
1911,1528,1528,Celtel,70802,,,,,,,,,,,
1912,1528,1528,Celtel,708020,,,,,,,,,,,
1913,1531,1531,Comcel,338050,,3380509,,,,,,,,,
1914,1535,31008,Vodafone,21670,,,,,,,,,,,
1915,1535,31008,Vodafone,21670,,,,,,,,,,vodafone HU,
1916,1573,1573,WINDTRE,22288,,,,,,,,,,,
