id,state,worker_class_name,input_merger_class_name,input,output,initial_delay,interval_duration,flex_duration,run_attempt_count,backoff_policy,backoff_delay_duration,period_start_time,minimum_retention_duration,schedule_requested_at,run_in_foreground,required_network_type,requires_charging,requires_device_idle,requires_battery_not_low,requires_storage_not_low,trigger_content_update_delay,trigger_max_content_delay,content_uri_triggers
8c72a1f5-e616-4db5-9141-43da243b6980,2,com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker,androidx.work.OverwritingInputMerger,b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00\x00\xf4w\x02w\x0c\x00\nsession_idt\x00$c5290469-ccbc-48fd-b070-936daf419e6fw\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x18BaseApplication.onCreate',b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,0,0,1,0,30000,1626406917006,0,1626406917023,0,1,0,0,0,0,-1,-1,
55c6eb84-39bf-4b0c-bdb2-0c7bc0d6dd52,2,com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker,androidx.work.OverwritingInputMerger,b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00\x04\xd4\xe7\xbfw\x0c\x00\nsession_idt\x00$c5290469-ccbc-48fd-b070-936daf419e6fw\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x1eMainApplication.BeforeInitTask',b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,0,0,1,0,30000,1626406917079,0,1626406917086,0,1,0,0,0,0,-1,-1,
850ace93-c07e-4a26-9b53-037ec5be0442,2,com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker,androidx.work.OverwritingInputMerger,b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00\x1daB\x19w\x0c\x00\nsession_idt\x00$c5290469-ccbc-48fd-b070-936daf419e6fw\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x1cAppInitializer.initBeforeMMX',b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,0,0,1,0,30000,1626406917551,0,1626406917562,0,1,0,0,0,0,-1,-1,
51816772-a230-46f7-8315-7c83891f85de,2,com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker,androidx.work.OverwritingInputMerger,b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x002\xd6\xd4\xdfw\x0c\x00\nsession_idt\x00$c5290469-ccbc-48fd-b070-936daf419e6fw\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x1bAppInitializer.initAfterMMX',b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,0,0,1,0,30000,1626406918403,0,1626406918411,0,1,0,0,0,0,-1,-1,
064635ed-b3f4-40d7-8e0c-39a976106dac,2,com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker,androidx.work.OverwritingInputMerger,b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00\x08\xad\xeb=w\x0c\x00\nsession_idt\x00$c5290469-ccbc-48fd-b070-936daf419e6fw\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x1dMainApplication.AfterInitTask',b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,0,0,1,0,30000,1626406918549,0,1626406918554,0,1,0,0,0,0,-1,-1,
92c07ad2-fc63-4654-8ac4-cb24b38ce87f,2,com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker,androidx.work.OverwritingInputMerger,b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00^\xaf`\xf6w\x0c\x00\nsession_idt\x00$c5290469-ccbc-48fd-b070-936daf419e6fw\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x05Total',b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,0,0,1,0,30000,1626406918572,0,1626406918578,0,1,0,0,0,0,-1,-1,
14dfc966-4a5a-4c6b-821d-5bb7c7adcd74,2,com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker,androidx.work.OverwritingInputMerger,b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00\x00H`\xa5w\x0c\x00\nsession_idt\x00$546941d1-9167-4460-8846-c362169d96c9w\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x18BaseApplication.onCreate',b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,0,0,1,0,30000,1626498192342,0,1626498192370,0,1,0,0,0,0,-1,-1,
c60fa03e-d08c-4111-9034-4be6735a501c,2,com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker,androidx.work.OverwritingInputMerger,b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00\x03G\xf1\x06w\x0c\x00\nsession_idt\x00$546941d1-9167-4460-8846-c362169d96c9w\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x1eMainApplication.BeforeInitTask',b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,0,0,1,0,30000,1626498192444,0,1626498192457,0,1,0,0,0,0,-1,-1,
ec2924d8-68e8-47d6-a0c9-ce3076739089,2,com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker,androidx.work.OverwritingInputMerger,b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00\x12P\xaeTw\x0c\x00\nsession_idt\x00$546941d1-9167-4460-8846-c362169d96c9w\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x1cAppInitializer.initBeforeMMX',b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,0,0,1,0,30000,1626498192674,0,1626498192684,0,1,0,0,0,0,-1,-1,
b77cd439-38df-42cc-8b0a-9bd7a8dab3ac,2,com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker,androidx.work.OverwritingInputMerger,b'\xac\xed\x00\x05w\x0f\x00\x00\x00\x04\x00\texec_timesr\x00\x0ejava.lang.Long;\x8b\xe4\x90\xcc\x8f#\xdf\x02\x00\x01J\x00\x05valuexr\x00\x10java.lang.Number\x86\xac\x95\x1d\x0b\x94\xe0\x8b\x02\x00\x00xp\x00\x00\x00\x00!D0\xa7w\x0c\x00\nsession_idt\x00$546941d1-9167-4460-8846-c362169d96c9w\x0c\x00\nwatch_namet\x00\x07AppInitw\x0b\x00\tfunc_namet\x00\x1bAppInitializer.initAfterMMX',b'\xac\xed\x00\x05w\x04\x00\x00\x00\x00',0,0,0,1,0,30000,1626498193233,0,1626498193296,0,1,0,0,0,0,-1,-1,
