ID_A,STICKER_ITEMS_ID,LOCALES,STRING,EXTRA_A1,EXTRA_A2,EXTRA_A3
1,1,en,Bun Bunny smiling in spotlight,,,
2,1,en_US,Bun Bunny smiling in spotlight,,,
3,1,en_CA,Bun Bunny smiling in spotlight,,,
4,1,sq_AL,"Lepurushja Bun duke buzëqeshur, nën fokus",,,
5,1,ar,الأرنبة Bun تبتسم في الضوء,,,
6,1,hy_AM,Բան ճագարը՝ լուսարձակի տակ ժպտացող,,,
7,1,as,স্প'টলাইটত হাঁহি থকা বান বানি,,,
8,1,az_AZ,Ban Dovşan işıq altında gülümsəyir,,,
9,1,eu_ES,Bun Bunny irribarrez fokuaren argitan,,,
10,1,be_BY,Труска Бані ўсміхаецца ў свеце пражэктара,,,
11,1,bn_IN,স্পটলাইটে হাস্যরত বান বানি,,,
12,1,bn_BD,Bun Bunny স্পটলাইটের আলোতে মুচকি হাসছে,,,
13,1,bs,Bun Bunny se smješka osvijetljen reflektorom,,,
14,1,bg,Бън Бъни се усмихва под прожектора,,,
15,1,ca,La Bun Bunny somriu sota un focus de llum,,,
16,1,zn_CN,邦尼兔在聚光灯下微笑,,,
17,1,zn_HK,Bun Bunny 在聚光燈下微笑,,,
18,1,zn_TW,蹦蹦兔在鎂光燈下微笑,,,
19,1,hr,Bun Bunny smije se i osvjetljena je reflektorom,,,
20,1,cs,Bun Bunny se směje ve světle reflektoru,,,
21,1,da,Bun Bunny smiler i rampelyset,,,
22,1,nl,Bun Bunny glimlacht in spotlight,,,
23,1,et_EE,Jänes Bun naeratab valgusvihus,,,
24,1,fa,خرگوش بان بانی در حال لبخند در فانوس,,,
25,1,tl,Bun Bunny nakangiti sa spotlight,,,
26,1,fi,Bun Bunny hymyilee kohdevalossa,,,
27,1,fr,"Bun Bunny en train de sourire, éclairé par un projecteur",,,
28,1,fr_CA,"Bun Bunny en train de sourire, éclairé par un projecteur",,,
29,1,gl_ES,Bun Bunny sorrindo baixo un foco,,,
30,1,ka_GE,ბაჭია იღიმის და პროჟექტორი ანათებს,,,
31,1,de,Bun Bunny lächelt im Scheinwerferlicht,,,
32,1,el,Η Bun Bunny χαμογελάει κάτω από το φως του προβολέα,,,
33,1,gu_IN,સ્પૉટલાઇટમાં સ્મિત કરતું બન બની,,,
34,1,iw,באן באני מחייכת באור זרקורים,,,
35,1,hi,चारो ओर फैले प्रकाश में मुस्कुराता हुआ बन बनी,,,
36,1,hu,Nyuszifül a reflektorfényben mosolyog,,,
37,1,is_IS,Bun Bunny brosir í kastljósi,,,
38,1,in,Bun Bunny tersenyum dalam sorotan,,,
39,1,ga,Ciara an Coinín gealgháireach sa spotsolas,,,
40,1,it,Bun Bunny che sorride sotto i riflettori,,,
41,1,ja,スポットライトの中で微笑むバンバニー,,,
