start_time,end_time,all_power,screen_power,screen_on_time,screen_off_time,screen_on_discharge,screen_off_discharge
1626377883746,1626378030450,4.963653136486755,0.2400000000000091,14981,131577,1,1
1626385896766,1626386625484,16.56735823632013,2.0420000000000003,95117,583560,8,0
1626386625484,1626387526409,4.633143763636394,0.0,0,808979,0,2
1626387526409,1626388285730,5.039805538637076,0.0,0,901170,0,1
1626388285730,1626389184589,10.925213530728037,0.0,0,898833,0,1
1626389184589,1626390084589,6.70221262918291,0.0,0,900006,0,2
1626390084589,1626391284594,5.9448587969815705,0.0,0,1199987,0,1
1626391284594,1626392185567,4.596098527341226,0.0,0,900986,0,2
1626392185567,1626393027784,5.460653649865122,0.0,0,842265,0,3
1626393027784,1626393984497,7.326140511581372,0.0,0,956722,0,0
1626393984497,1626394885501,4.555720622976551,0.0,0,900974,0,2
1626394885501,1626395784567,4.187235997607502,0.0,0,899037,0,1
1626395784567,1626396684551,4.602258460933214,0.0,0,900031,0,1
1626396684551,1626397584472,3.977714660418968,0.0,0,899901,0,1
1626397584472,1626398484534,5.124575780495761,0.0,0,900059,0,1
1626398484534,1626399385462,4.143760082689312,0.0,0,900938,0,1
1626399385462,1626400072072,4.150308292016476,0.0,0,686607,0,2
1626400072072,1626400683336,7.641092208768114,0.0,0,601346,0,1
1626400683336,1626401485133,6.792392801767122,0.0,0,767021,0,2
1626401485133,1626402685270,5.384125523521277,0.0,0,945017,0,1
1626402685270,1626403746144,6.228756444101123,0.0,0,1282027,0,2
1626403746144,1626404784447,6.516835769274735,0.0,0,1116999,0,2
1626404784447,1626405685451,4.455104803767142,0.0,0,900959,0,2
1626405685451,1626406584445,3.968132190168916,0.0,0,899010,0,1
1626406584445,1626407484455,11.551530246899347,0.0,0,899949,0,1
1626407484455,1626408385463,4.727085383507557,0.0,0,901030,0,3
1626408385463,1626409284406,4.297902184150047,0.0,0,898987,0,2
1626409284406,1626410184395,4.274234944899234,0.0,0,899751,0,1
1626410184395,1626411085416,4.575841825837614,0.0,0,901193,0,1
1626411085416,1626411985334,3.9624272612907987,0.0,0,899978,0,1
1626411985334,1626412885425,4.004492535743225,0.0,0,900010,0,1
1626412885425,1626413326391,2.348508965511286,0.0,0,441060,0,1
1626413326391,1626414388025,11.786275771513601,0.0,0,1027979,0,2
1626414388025,1626415461085,4.646247039364596,0.0,0,932898,0,2
1626415461085,1626416485317,5.559810392631647,0.0,0,1198044,0,2
1626416485317,1626417384124,6.067326198229381,0.0,0,898801,0,1
1626417384124,1626418284163,7.108788187459538,0.0,0,900005,0,1
1626418284163,1626419185425,4.515546536788662,0.0,0,901159,0,2
1626419185425,1626420084157,4.0331966624441975,0.0,0,898843,0,1
1626420084157,1626420985267,3.9575943561037263,0.0,0,901133,0,1
1626420985267,1626421885240,4.272846301137633,0.0,0,899971,0,1
1626421885240,1626422785299,4.453494936350154,0.0,0,900053,0,1
1626422785299,1626423685272,4.44752311895536,0.0,0,899980,0,1
1626423685272,1626424585212,3.9690747931354053,0.0,0,899948,0,2
1626424585212,1626425485337,5.17085851103576,0.0,0,900069,0,1
1626425485337,1626426385200,3.9607416182520865,0.0,0,899926,0,1
1626426385200,1626426992175,3.3777419274136378,0.0,0,606916,0,1
1626426992175,1626428122154,12.123228422541104,0.0,0,1130040,0,1
1626428122154,1626429085272,4.860091877789898,0.0,0,963044,0,2
1626429085272,1626429985227,3.981618683521617,0.0,0,899952,0,2
1626429985227,1626430885508,4.478536298055701,0.0,0,900235,0,0
1626430885508,1626431785166,4.203076187010652,0.0,0,899708,0,2
1626431785166,1626432685389,4.3173285519977185,0.0,0,900045,0,1
1626432685389,1626433585132,4.208776173983608,0.0,0,899984,0,1
1626433585132,1626434485265,4.589950286919134,0.0,0,900085,0,1
1626434485265,1626435385136,5.383181403854053,0.0,0,899884,0,1
1626435385136,1626436285140,4.297007204662407,0.0,0,900011,0,1
1626436285140,1626437185154,4.580425301787557,0.0,0,899977,0,1
1626437185154,1626438085172,4.67779267364449,0.0,0,900033,0,1
1626438085172,1626438985151,5.872023049660527,0.0,0,899967,0,3
1626438985151,1626439885072,3.987419144435023,0.0,0,899989,0,0
1626439885072,1626440785139,5.018325204073619,0.0,0,900034,0,1
1626440785139,1626441685300,3.97888855091594,0.0,0,899988,0,2
1626441685300,1626442585110,4.697132531912473,0.0,0,899973,0,1
1626442585110,1626443485151,4.189891552565996,0.0,0,899984,0,1
1626443485151,1626444385024,4.293777398100076,0.0,0,899960,0,1
1626444385024,1626445285083,4.0035714366756,0.0,0,900046,0,1
1626445285083,1626446185119,4.676570641125352,0.0,0,899984,0,1
1626446185119,1626447085159,4.8476299200791,0.0,0,900089,0,2
1626447085159,1626447985052,5.517605866155009,0.0,0,899864,0,1
1626447985052,1626448885057,20.607501104183143,0.0,0,899979,0,1
1626448885057,1626449785024,4.215553100862564,0.0,0,899990,0,6
1626449785024,1626450685033,4.331938647930087,0.0,0,900024,0,1
1626450685033,1626451584927,4.316167621776117,0.0,0,899937,0,1
1626451584927,1626452485015,4.292757687943151,0.0,0,900024,0,1
1626452485015,1626453385118,5.230903487366845,0.0,0,899992,0,1
1626453385118,1626454285989,4.105724799821189,0.0,0,901020,0,1
1626454285989,1626455184970,4.5077933667694765,0.0,0,898963,0,2
1626455184970,1626456085006,4.973572722244626,0.0,0,900036,0,1
1626456085006,1626456754564,11.398241157573977,0.0,0,669504,0,2
1626456754564,1626457660044,5.922617393035296,0.0,0,905426,0,2
1626457660044,1626458565962,5.512940209005876,0.0,0,905979,0,1
1626458565962,1626459231095,5.97516326860233,0.0,0,665173,0,1
1626459231095,1626459930340,12.97424364701925,0.0,0,699147,0,4
1626459930340,1626460585212,4.930441485588915,0.0,0,654935,0,1
1626460585212,1626461485924,12.350408063841257,0.0,0,900741,0,1
1626461485924,1626462213965,3.7433436965516194,0.0,0,728042,0,2
1626462213965,1626463284941,10.268969830886192,0.0,0,1070962,0,1
1626463284941,1626464185898,4.650860411055419,0.0,0,900974,0,3
1626464185898,1626465084878,4.125517310165151,0.0,0,899009,0,0
1626465084878,1626465760000,4.354521831292004,0.0,0,675055,0,0
1626465760000,1626466884920,10.129954226907103,0.0,0,1124962,0,2
1626466884920,1626467784896,4.5570221338410875,0.0,0,899964,0,1
1626467784896,1626468684890,4.002267931322081,0.0,0,900027,0,1
1626468684890,1626469584899,4.319322220447816,0.0,0,899971,0,1
1626469584899,1626470484838,4.22767006026379,0.0,0,899998,0,1
1626470484838,1626471385160,4.684755269830362,0.0,0,900274,0,1
1626471385160,1626472160499,3.5611742284337424,0.0,0,775394,0,1
1626472160499,1626472983832,12.266338326747132,0.0,0,823288,0,1
1626472983832,1626473871819,4.281980979342052,0.0,0,887977,0,3
1626473871819,1626474984809,5.20802064993029,0.0,0,1112984,0,1
1626474984809,1626475885018,5.641617774119254,0.0,0,900194,0,1
1626475885018,1626476784160,4.645162449349982,0.0,0,899147,0,0
1626476784160,1626477684803,4.004498242535988,0.0,0,900658,0,1
1626477684803,1626478584833,4.359480994079945,0.0,0,899975,0,1
1626478584833,1626479484780,4.353550772653307,0.0,0,900002,0,1
1626479484780,1626480384787,5.0885639219492305,0.0,5397,894607,0,2
1626480384787,1626481284754,3.9924856895225957,0.0,0,899961,0,0
1626481284754,1626482184758,4.540497814631067,0.0,0,900000,0,1
1626482184758,1626483084782,5.3673865344323985,0.0,0,900020,0,2
1626483084782,1626483985718,4.366342093377966,0.0,0,900945,0,0
1626483985718,1626484884657,3.9731833474002087,0.0,0,898968,0,1
1626484884657,1626485533780,9.495308954465713,0.0,0,649085,0,2
1626485533780,1626486471731,6.838227920455324,0.0,0,937900,0,1
1626486471731,1626487201324,3.415215942372697,0.0,0,605994,0,2
1626487201324,1626488484742,8.235694004501397,0.0,0,1407068,0,0
1626488484742,1626489384701,4.845060498308726,0.0,0,899956,0,4
1626489384701,1626490177681,3.5329279242992015,0.0,0,793004,0,1
1626490177681,1626491184617,4.980943847089975,0.0,0,1006937,0,0
1626491184617,1626492084721,8.997031279528073,0.0,0,900103,0,1
1626492084721,1626492984607,3.9695392074224856,0.0,0,899892,0,2
1626492984607,1626493884607,4.365666175071851,0.0,0,900011,0,1
1626493884607,1626494784883,4.443877161153978,0.0,0,900014,0,1
1626494784883,1626495684624,7.545429867793814,0.0,0,899971,0,1
1626495684624,1626496584611,4.219030803003079,0.0,0,899984,0,2
1626496584611,1626497484648,4.604403499128011,0.0,0,900021,0,1
1626497484648,1626498187655,3.1600263783232094,0.0,0,703086,0,2
1626498187655,1626499284590,12.6121694548807,0.0,0,1096878,0,1
1626499284590,1626500184536,4.978299698428032,0.0,0,899995,0,3
1626500184536,1626501084673,4.260292943916511,0.0,0,900097,0,1
1626501084673,1626501984567,5.323022754423846,0.0,0,899920,0,1
1626501984567,1626502884604,7.759127154625958,0.0,0,900003,0,1
1626502884604,1626503784596,4.649390193892714,0.0,0,899994,0,4
1626503784596,1626504684553,4.004212535143097,0.0,0,899968,0,1
1626504684553,1626505584502,4.291120934707237,0.0,0,899971,0,0
