nik,origin_scheme,origin_host,origin_port,received_ip_address,group_name,expires_us_since_epoch,success_fraction,failure_fraction,is_include_subdomains,last_access_us_since_epoch
[],https,ka-f.fontawesome.com,443,2606:4700:e6::ac40:ca1c,cf-nel,13262673770292387,0.0,1.0,0,13262068970407123
[],https,www.mintahoe.com,443,104.26.14.68,cf-nel,13263669269712217,0.0,1.0,0,13263064469713445
[],https,ad4m.at,443,104.26.10.209,report-endpoint,13264031727064142,0.0,1.0,0,13263945327067129
[],https,as.ad4m.at,443,104.26.10.209,report-endpoint,13264032628032150,0.0,1.0,1,13263946228032355
[],https,www-macrumors-com.cdn.ampproject.org,443,2607:f8b0:4004:807::2001,nel,13266217589669343,0.05,1.0,0,13265612789973889
[],https,www-theverge-com.cdn.ampproject.org,443,2607:f8b0:4004:807::2001,nel,13266217596014480,0.05,1.0,0,13265612796039468
[],https,beacons5.gvt2.com,443,2607:7700:0:24:0:1:d8ef:2074,nel,13265614385600540,0.25,1.0,0,13265614085600756
[],https,en.m.wikipedia.org,443,2620:0:861:ed1a::1,wm_nel,13266437708899605,0.0,0.05,0,13266351308907974
[],https,www-greenbot-com.cdn.ampproject.org,443,2607:f8b0:4004:815::2001,nel,13266956130161507,0.05,1.0,0,13266351330169660
[],https,ssl-market-east-5.smrtb.com,443,2606:4700:20::ac43:4ae9,cf-nel,13266956165031309,0.0,1.0,0,13266351365031334
[],https,ssl-market-east.smrtb.com,443,2606:4700:20::ac43:4ae9,cf-nel,13266956164041325,0.0,1.0,0,13266351364041349
[],https,www-tomsguide-com.cdn.ampproject.org,443,2607:f8b0:4004:80a::2001,nel,13266956158533907,0.05,1.0,0,13266351358542237
[],https,a.clickcertain.com,443,2606:4700:3039::6815:c074,cf-nel,13266956204041624,0.0,1.0,0,13266351404041662
[],https,gadgetstouse-com.cdn.ampproject.org,443,2607:f8b0:4004:82f::2001,nel,13266956245815601,0.05,1.0,0,13266351446603754
[],https,m-gsmarena-com.cdn.ampproject.org,443,2607:f8b0:4002:c06::84,nel,13266957195009656,0.05,1.0,0,13266352395043687
[],https,cdn-redirector.glopal.com,443,2606:4700:3030::6815:4b8f,cf-nel,13266957300666940,0.0,1.0,0,13266352500668833
[],https,cdn.codeblackbelt.com,443,2606:4700:3033::ac43:9cd1,cf-nel,13266957297623188,0.0,1.0,0,13266352497660154
[],https,ekr.zdassets.com,443,104.18.72.113,cf-nel,13266957300582764,0.0,1.0,0,13266352500583710
[],https,settings.luckyorange.net,443,104.26.11.16,cf-nel,13266957297563123,0.0,1.0,0,13266352497563842
[],https,simplecellinchelp.zendesk.com,443,104.16.51.111,cf-nel,13266957301373604,0.0,1.0,0,13266352501373645
[],https,simplecellshop.com,443,23.227.38.65,network-errors,13268944497758079,0.0001,1.0,0,13266352498188446
[],https,static.zdassets.com,443,104.18.72.113,cf-nel,13266957302631096,0.0,1.0,0,13266352502632554
