nHolidayId,nCalendarType,nMonth,nDdayOrOrdinal,nDayOfWeek,nOffset,flags,CultureId
1,1,1,1,0,0,0,12
2,1,2,2,0,0,0,12
3,1,2,14,0,0,0,12
4,2,0,0,0,-47,0,12
5,2,0,0,0,-46,0,12
6,2,0,0,0,-2,0,12
7,2,0,0,0,0,0,12
8,2,0,0,0,1,0,12
9,1,5,1,0,0,0,12
9,1,9,1,2,0,0,3084
10,1,5,8,0,0,0,12
11,2,0,0,0,39,0,12
12,2,0,0,0,49,0,12
13,2,0,0,0,50,0,12
14,1,5,0,1,0,0,12
14,1,5,2,1,0,0,3084
15,1,6,3,1,0,0,12
16,1,7,14,0,0,0,12
16,1,6,24,0,0,0,3084
17,1,8,15,0,0,0,12
18,1,10,31,0,0,0,12
19,1,11,1,0,0,0,12
20,1,11,11,0,0,0,12
21,1,12,24,0,0,0,12
22,1,12,25,0,0,0,12
23,1,12,31,0,0,0,12
24,1,3,17,0,0,0,12
25,1,4,1,0,0,0,12
26,1,5,3,6,3,0,12
27,1,7,1,0,0,0,12
28,1,10,2,2,0,0,12
29,1,11,11,0,0,0,12
30,1,12,26,0,0,0,12
31,1,2,3,2,0,0,12
32,1,8,1,2,0,0,12
33,1,8,1,2,0,0,12
34,1,3,0,1,0,0,12
34,1,3,2,1,0,0,3084
35,1,10,0,1,0,0,12
35,1,11,1,1,0,0,3084
201,1,11,4,6,0,0,12
55,6,0,0,0,0,544,9
110,6,0,0,0,0,576,9
100,100,0,0,0,0,0,0
