_id,account_name,account_type,data,color_type,color_index,color
1,My calendar,LOCAL,,0,0,-11749922
2,My Task,LOCAL,,0,0,-11749922
3,My calendar,LOCAL,,0,1,-11749435
4,My Task,LOCAL,,0,1,-11749435
5,My calendar,LOCAL,,0,2,-11749973
6,My Task,LOCAL,,0,2,-11749973
7,My calendar,LOCAL,,0,3,-10045083
8,My Task,LOCAL,,0,3,-10045083
9,My calendar,LOCAL,,0,4,-4933812
10,My Task,LOCAL,,0,4,-4933812
11,My calendar,LOCAL,,0,5,-1266356
12,My Task,LOCAL,,0,5,-1266356
13,My calendar,LOCAL,,0,6,-1279144
14,My Task,LOCAL,,0,6,-1279144
15,My calendar,LOCAL,,0,7,-2662556
16,My Task,LOCAL,,0,7,-2662556
17,My calendar,LOCAL,,0,8,-2204280
18,My Task,LOCAL,,0,8,-2204280
19,My calendar,LOCAL,,0,9,-4497461
20,My Task,LOCAL,,0,9,-4497461
21,My calendar,LOCAL,,0,10,-7115815
22,My Task,LOCAL,,0,10,-7115815
23,My calendar,LOCAL,,0,11,-9601577
24,My Task,LOCAL,,0,11,-9601577
25,My calendar,LOCAL,,0,12,-10842915
26,My Task,LOCAL,,0,12,-10842915
27,My calendar,LOCAL,,0,13,-6191234
28,My Task,LOCAL,,0,13,-6191234
29,My calendar,LOCAL,,0,14,-6184543
30,My Task,LOCAL,,0,14,-6184543
31,My calendar,LOCAL,,0,15,-7363667
32,My Task,LOCAL,,0,15,-7363667
33,My calendar,LOCAL,,1,0,-6543440
34,My Task,LOCAL,,1,0,-6543440
35,My calendar,LOCAL,,1,1,-7617718
36,My Task,LOCAL,,1,1,-7617718
37,My calendar,LOCAL,,1,2,-16537100
38,My Task,LOCAL,,1,2,-16537100
39,My calendar,LOCAL,,1,3,-16121
40,My Task,LOCAL,,1,3,-16121
41,My calendar,LOCAL,,1,4,-36797
42,My Task,LOCAL,,1,4,-36797
43,heisenbergcarro@gmail.com,com.google,,0,22,-618062
44,heisenbergcarro@gmail.com,com.google,,0,23,-3312410
45,heisenbergcarro@gmail.com,com.google,,0,24,-5997854
46,heisenbergcarro@gmail.com,com.google,,0,10,-4989844
47,heisenbergcarro@gmail.com,com.google,,0,11,-267901
48,heisenbergcarro@gmail.com,com.google,,0,12,-339611
49,heisenbergcarro@gmail.com,com.google,,0,13,-7151168
50,heisenbergcarro@gmail.com,com.google,,0,14,-6299161
51,heisenbergcarro@gmail.com,com.google,,0,15,-6306073
52,heisenbergcarro@gmail.com,com.google,,0,16,-11958553
53,heisenbergcarro@gmail.com,com.google,,0,17,-6644481
54,heisenbergcarro@gmail.com,com.google,,0,18,-4613377
55,heisenbergcarro@gmail.com,com.google,,0,19,-4013374
56,heisenbergcarro@gmail.com,com.google,,0,1,-5475746
57,heisenbergcarro@gmail.com,com.google,,0,2,-3118236
58,heisenbergcarro@gmail.com,com.google,,0,3,-509406
59,heisenbergcarro@gmail.com,com.google,,0,4,-370884
60,heisenbergcarro@gmail.com,com.google,,0,5,-35529
61,heisenbergcarro@gmail.com,com.google,,0,6,-21178
62,heisenbergcarro@gmail.com,com.google,,0,7,-12396910
63,heisenbergcarro@gmail.com,com.google,,0,8,-15292571
64,heisenbergcarro@gmail.com,com.google,,0,9,-8662712
65,heisenbergcarro@gmail.com,com.google,,0,20,-3490369
66,heisenbergcarro@gmail.com,com.google,,0,21,-3365204
67,heisenbergcarro@gmail.com,com.google,,1,11,-2350809
68,heisenbergcarro@gmail.com,com.google,,1,1,-5980676
69,heisenbergcarro@gmail.com,com.google,,1,2,-8722497
70,heisenbergcarro@gmail.com,com.google,,1,3,-2380289
71,heisenbergcarro@gmail.com,com.google,,1,4,-30596
72,heisenbergcarro@gmail.com,com.google,,1,5,-272549
73,heisenbergcarro@gmail.com,com.google,,1,6,-18312
74,heisenbergcarro@gmail.com,com.google,,1,7,-12134693
75,heisenbergcarro@gmail.com,com.google,,1,8,-1973791
76,heisenbergcarro@gmail.com,com.google,,1,9,-11238163
77,heisenbergcarro@gmail.com,com.google,,1,10,-11421879
