type,word,wordgroup,wordvalue,flags,CultureId,numericvalue
1,:,0,0,0,31,1
1,saat,9,39,0,31,0
1,bu,1,3,0,31,0
1,önümüzdeki,1,2,0,31,0
1,gelecek,1,2,0,31,0
1,son,1,1,0,31,0
1,bu gece,6,21,0,31,0
1,bu akşam,6,21,0,31,0
1,akşam,4,17,0,31,0
1,sabah,4,15,0,31,0
1,gece,4,18,0,31,0
1,öğleden sonra,4,16,0,31,0
1,dün,5,20,0,31,0
1,yarın,5,19,0,31,0
1,pazar,3,8,0,31,0
1,pazartesi,3,9,0,31,0
1,salı,3,10,0,31,0
1,çarşamba,3,11,0,31,0
1,perşembe,3,12,0,31,0
1,cuma,3,13,0,31,0
1,cumartesi,3,14,0,31,0
2,kış,25,107,0,31,0
2,bahar,25,108,0,31,0
2,yaz,25,109,0,31,0
2,sonbahar,25,110,0,31,0
2,1. 0.250,25,111,0,31,0
2,2. 0.250,25,112,0,31,0
2,3. 0.250,25,113,0,31,0
2,4. 0.250,25,114,0,31,0
2,1. 0.500,25,115,0,31,0
2,2. 0.500,25,116,0,31,0
2,bu,1,3,0,31,0
2,önümüzdeki,1,2,0,31,0
2,gelecek,1,2,0,31,0
2,geçen,1,1,0,31,0
2,geçtiğimiz,1,1,0,31,0
2,pazar,3,8,0,31,0
2,pazartesi,3,9,0,31,0
2,salı,3,10,0,31,0
2,çarşamba,3,11,0,31,0
2,perşembe,3,12,0,31,0
2,cuma,3,13,0,31,0
2,cumartesi,3,14,0,31,0
2,ocak,8,25,0,31,0
2,şubat,8,26,0,31,0
2,mart,8,27,0,31,0
2,nisan,8,28,0,31,0
2,mayıs,8,29,0,31,0
2,haziran,8,30,0,31,0
2,temmuz,8,31,0,31,0
2,ağustos,8,32,0,31,0
2,eylül,8,33,0,31,0
2,ekim,8,34,0,31,0
2,kasım,8,35,0,31,0
2,aralık,8,36,0,31,0
2,oca.,8,25,0,31,0
2,sub.,8,26,0,31,0
2,mar.,8,27,0,31,0
2,nis.,8,28,0,31,0
2,ağu.,8,32,0,31,0
2,eyl.,8,33,0,31,0
2,eki.,8,34,0,31,0
2,kas.,8,35,0,31,0
2,ara.,8,36,0,31,0
2,hafta,2,4,0,31,0
2,ay,2,6,0,31,0
2,yıl,2,7,0,31,0
2,hafta sonu,2,5,0,31,0
2,sabah,4,15,0,31,0
2,öğleden sonra,4,16,0,31,0
2,akşam,4,17,0,31,0
2,gece,4,18,0,31,0
2,dün,5,20,0,31,0
2,yarın,5,19,0,31,0
2,bugün,6,22,0,31,0
2,şimdi,6,23,0,31,0
2,yakında,6,46,0,31,0
2,son,6,47,0,31,0
2,öğle,9,44,0,31,0
2,öğlen,9,44,0,31,0
2,gece yarısı,9,45,0,31,0
2,geç,10,43,0,31,0
2,geç kalmak,10,43,0,31,0
3,kış,17,0,2,31,0
3,bahar,17,1,2,31,0
3,yaz,17,2,2,31,0
3,sonbahar,17,3,2,31,0
3,1.250,17,4,2,31,0
3,2.250,17,5,2,31,0
3,3.250,17,6,2,31,0
3,4.250,17,7,2,31,0
3,1. 0.500,17,8,2,31,0
3,1. 0.500,17,9,2,31,0
