RecordId,cname,concept_type,parent_concepts
1,viv.calculator.MixedValueKoreanArab,qualified,
2,viv.calculator.Divisor,decimal,
3,viv.calculator.Category,text,
4,viv.calculator.ExponentValue,decimal,
5,viv.calculator.NoActionConstantSearchResult,text,
6,viv.calculator.MixedValueChineseArab,qualified,
7,viv.calculator.NoActionResult,text,
8,viv.calculator.CalculationUnit,enum,
9,viv.calculator.EnglishWordNumber,qualified,
10,viv.calculator.Operator,enum,
11,viv.calculator.NegativeSpecialNumber,boolean,
12,viv.calculator.ResultUnit,text,
13,viv.calculator.ScientificOperator,enum,
14,viv.calculator.DegreesPattern,qualified,
15,viv.calculator.Uri,text,
16,viv.calculator.UnitValue,decimal,
17,viv.calculator.NumericValue,decimal,
18,viv.calculator.IsApproximated,boolean,
19,viv.calculator.UnitNameFrom,enum,
20,viv.calculator.PercentageValue,decimal,
21,viv.calculator.UnicodeMinusPattern,qualified,
22,viv.calculator.UnknownConstant,name,
23,viv.calculator.ScientificOperandOutput,structure,
24,viv.calculator.UnitNameTo,enum,
25,viv.calculator.WholeNumber,integer,
26,viv.calculator.TTSSpokenResult,text,
27,viv.calculator.Expression,text,
28,viv.calculator.TextUnitValue,text,
29,viv.calculator.FrenchInput,text,
30,viv.calculator.CalculateWord,text,
31,viv.calculator.ActionResult,boolean,
32,viv.calculator.Description,text,
33,viv.calculator.ResultHasError,enum,
34,viv.calculator.FinalOperand,structure,
35,viv.calculator.Result,decimal,
36,viv.calculator.Operand,decimal,
37,viv.calculator.UnitNoValue,decimal,
38,viv.calculator.SpecialNumber,enum,
39,viv.calculator.ScientificNumeral,decimal,
40,viv.calculator.Units,enum,
41,viv.calculator.ResultText,text,
42,viv.calculator.TTSText,text,
43,viv.calculator.UnitResultText,text,
44,viv.calculator.KoreanArabConvertedValue,structure,
45,viv.calculator.MultiUnitValue,decimal,
46,viv.calculator.OutputUnitValue,decimal,
47,viv.calculator.MultiUnitNameFrom,enum,
48,viv.calculator.Dividend,decimal,
49,viv.calculator.MeasurementSupport,boolean,
50,viv.calculator.ConversionUnitNameFrom,enum,
51,viv.calculator.IsPlural,boolean,
52,viv.calculator.ConversionUnitValue,decimal,
53,viv.calculator.UnitCategory,name,
54,viv.calculator.Fraction,qualified,
55,viv.calculator.CurrencyValue,decimal,
56,viv.calculator.OutputUnitNameTo,enum,
57,viv.calculator.NegativeNumber,decimal,
58,viv.calculator.MultiUnit,structure,
59,viv.calculator.Output,structure,
60,viv.calculator.FinalOperand2,structure,
61,viv.calculator.ScientificOperand,structure,
62,viv.calculator.Percentage,structure,
63,viv.calculator.ConversionInput,structure,
64,viv.calculator.FlipStructure,structure,
65,viv.calculator.Exponent,structure,
66,viv.calculator.UriResult,structure,
67,viv.calculator.History,structure,
68,viv.calculator.UnitResult,structure,
69,viv.calculator.FollowUpRegex,qualified,
70,viv.calculator.ValidatedExpression,text,
71,viv.calculator.IsFollowUp,boolean,
72,viv.calculator.RegexStructure,structure,
73,viv.calculator.FollowUpOperator,enum,
74,viv.calculator.RegularExpression,qualified,
75,viv.calculator.TextExpression,qualified,
76,viv.contact.ConnectedDeviceOs,text,
77,viv.contact.LastName,text,
78,viv.contact.MiddleName,text,
79,viv.contact.RelationshipName,text,
80,viv.contact.SpeechPhoneNumber,text,
81,viv.contact.OsVersion,text,
82,viv.contact.CallEnabled,text,
83,viv.contact.SpeedDialNumber,integer,
84,viv.contact.SearchMyProfileOption,enum,
85,viv.contact.NickName,text,
86,viv.contact.IsExist,boolean,
87,viv.contact.InitialOfName,name,
88,viv.contact.Os,text,
89,viv.contact.NameSuffix,text,
90,viv.contact.PhoneNumber,text,
91,viv.contact.ConnectedDeviceManufacturer,text,
92,viv.contact.Runestone,boolean,
93,viv.contact.Ordinal,enum,
94,viv.contact.EmailType,enum,
95,viv.contact.SearchTerm,text,
96,viv.contact.CustomName,name,
97,viv.contact.DeviceModel,text,
98,viv.contact.JobTitle,name,
99,viv.contact.FilterTerm,text,
