flags,word,value,confidence,CultureId
256,uno,1,1000,16
258,primo,1,1000,16
262402,prima,1,1000,16
258,primi,1,1000,16
258,prime,1,1000,16
258,unesimo,1,1000,16
258,unesima,1,1000,16
262,1⁰,1,1000,16
262,I,1,1000,16
256,due,2,1000,16
258,secondo,2,1000,16
258,seconda,2,1000,16
258,secondi,2,1000,16
258,seconde,2,1000,16
258,duesimo,2,1000,16
258,duesima,2,1000,16
262,2⁰,2,1000,16
262,II,2,1000,16
256,tre,3,1000,16
256,tré,3,1000,16
258,terzo,3,1000,16
258,terza,3,1000,16
258,terzi,3,1000,16
258,terze,3,1000,16
258,treesimo,3,1000,16
258,treesima,3,1000,16
262,3⁰,3,1000,16
262,III,3,1000,16
256,quattro,4,1000,16
262402,quarto,4,1000,16
258,quarta,4,1000,16
258,quarti,4,1000,16
258,quarte,4,1000,16
258,quattresimo,4,1000,16
258,quattresima,4,1000,16
262,4⁰,4,1000,16
262,IV,4,1000,16
256,cinque,5,1000,16
258,quinto,5,1000,16
258,quinta,5,1000,16
258,quinti,5,1000,16
258,quinte,5,1000,16
258,cinquesimo,5,1000,16
258,cinquesima,5,1000,16
262,5⁰,5,1000,16
262,V,5,1000,16
256,sei,6,1000,16
258,sesto,6,1000,16
258,sesta,6,1000,16
258,sesti,6,1000,16
258,seste,6,1000,16
258,seiesimo,6,1000,16
258,seiesima,6,1000,16
262,6⁰,6,1000,16
262,VI,6,1000,16
256,sette,7,1000,16
258,settimo,7,1000,16
258,settima,7,1000,16
258,settimi,7,1000,16
258,settime,7,1000,16
258,settesimo,7,1000,16
258,settesima,7,1000,16
262,7⁰,7,1000,16
262,VII,7,1000,16
256,otto,8,1000,16
258,ottavo,8,1000,16
258,ottava,8,1000,16
258,ottavi,8,1000,16
258,ottave,8,1000,16
258,ottesimo,8,1000,16
258,ottesima,8,1000,16
262,8⁰,8,1000,16
262,VIII,8,1000,16
256,nove,9,1000,16
258,nono,9,1000,16
258,nona,9,1000,16
258,noni,9,1000,16
258,none,9,1000,16
258,novesimo,9,1000,16
258,novesima,9,1000,16
262,9⁰,9,1000,16
262,IX,9,1000,16
1536,dieci,10,1000,16
1538,decimo,10,1000,16
1538,decima,10,1000,16
1538,decimi,10,1000,16
1538,decime,10,1000,16
1542,10⁰,10,1000,16
262,X,10,1000,16
512,undici,11,1000,16
514,undicesimo,11,1000,16
514,undicesima,11,1000,16
514,undicesimi,11,1000,16
514,undicesime,11,1000,16
518,11⁰,11,1000,16
262,XI,11,1000,16
512,dodici,12,1000,16
514,dodicesimo,12,1000,16
514,dodicesima,12,1000,16
514,dodicesimi,12,1000,16
514,dodicesime,12,1000,16
518,12⁰,12,1000,16
262,XII,12,1000,16
576,dozzina,12,1000,16
576,dozzine,12,1000,16
512,tredici,13,1000,16
514,tredicesimo,13,1000,16
514,tredicesima,13,1000,16
514,tredicesimi,13,1000,16
514,tredicesime,13,1000,16
518,13⁰,13,1000,16
262,XIII,13,1000,16
512,quattordici,14,1000,16
514,quattordicesimo,14,1000,16
514,quattordicesima,14,1000,16
514,quattordicesimi,14,1000,16
514,quattordicesime,14,1000,16
518,14⁰,14,1000,16
262,XIV,14,1000,16
512,quindici,15,1000,16
514,quindicesimo,15,1000,16
514,quindicesima,15,1000,16
514,quindicesimi,15,1000,16
514,quindicesime,15,1000,16
518,15⁰,15,1000,16
262,XV,15,1000,16
512,sedici,16,1000,16
514,sedicesimo,16,1000,16
514,sedicesima,16,1000,16
514,sedicesimi,16,1000,16
514,sedicesime,16,1000,16
518,16⁰,16,1000,16
262,XVI,16,1000,16
512,diciassette,17,1000,16
514,diciassettesimo,17,1000,16
514,diciassettesima,17,1000,16
514,diciassettesimi,17,1000,16
514,diciassettesime,17,1000,16
518,17⁰,17,1000,16
262,XVII,17,1000,16
512,diciotto,18,1000,16
514,diciottesimo,18,1000,16
514,diciottesima,18,1000,16
514,diciottesimi,18,1000,16
514,diciottesime,18,1000,16
518,18⁰,18,1000,16
262,XVIII,18,1000,16
512,diciannove,19,1000,16
514,diciannovesimo,19,1000,16
514,diciannovesima,19,1000,16
514,diciannovesimi,19,1000,16
514,diciannovesime,19,1000,16
518,19⁰,19,1000,16
262,XIX,19,1000,16
512,venti,20,1000,16
512,vent,20,1000,16
514,ventesimo,20,1000,16
514,ventesima,20,1000,16
514,ventesimi,20,1000,16
514,ventesime,20,1000,16
1542,20⁰,20,1000,16
262,XX,20,1000,16
512,trenta,30,1000,16
512,trent,30,1000,16
514,trentesimo,30,1000,16
514,trentesima,30,1000,16
514,trentesimi,30,1000,16
514,trentesime,30,1000,16
1542,30⁰,30,1000,16
262,XXX,30,1000,16
512,quaranta,40,1000,16
512,quarant,40,1000,16
514,quarantesimo,40,1000,16
514,quarantesima,40,1000,16
514,quarantesimi,40,1000,16
514,quarantesime,40,1000,16
1542,40⁰,40,1000,16
262,XL,40,1000,16
