_id,item,category,data1,data2,data3,data4,data5
1,BLE CI BlackList,1,FF:FF:FF,Pebble,,,
2,BLE CI BlackList,2,FF:FF:FF,Smart Nudge,,,
3,BLE CI BlackList,3,FF:FF:FF,A&D*,,,
4,BLE CI BlackList,4,FF:FF:FF,Pokemon GO Plus,,,
5,BLE SC BlackList,1,08:62:66,no name,,,
6,BLE SC BlackList,2,38:2C:4A:C9,no name,,,
7,BLE SC BlackList,3,38:2C:4A:E6,no name,,,
8,BLE SC BlackList,4,54:A0:50:D9,no name,,,
9,BLE SC BlackList,5,AC:9E:17,no name,,,
10,BLE SC BlackList,6,F0:79:59,no name,,,
11,BLE SC BlackList,7,80:E4:DA:70,no name,,,
12,BLE SC BlackList,8,1C:96:5A,no name,,,
13,BleNoServiceChgInd,1,Gear VR Controller*,,,,
14,BleNoServiceChgInd,2,Keyboard K850,,,,
15,BleNoServiceChgInd,3,FeiZhiWee,,,,
16,BleNoServiceChgInd,4,Keyboard K370/K375,,,,
