_id,item,category,data1,data2,data3,data4,data5
1,SM-N770,0,,,,,
2,SM-N97,0,,,,,
3,SC-01M,0,,,,,
4,SCV45,0,,,,,
5,SM-A71,0,,,,,
6,SM-A515,0,,,,,
7,SM-A516,0,,,,,
8,SM-S515DL,0,,,,,
9,SM-G77,0,,,,,
10,SM-F70,0,,,,,
11,SCV47,0,,,,,
12,SM-G98,0,,,,,
13,SCG01,0,,,,,
14,SCG02,0,,,,,
15,SCG03,0,,,,,
16,SCG04,0,,,,,
17,SC-51,0,,,,,
18,SC-52,0,,,,,
19,SC-53A,0,,,,,
20,SM-A41,0,,,,,
21,SC-41A,0,,,,,
22,SCV46,0,,,,,
23,SCV48,0,,,,,
24,SM-A31,0,,,,,
25,SM-A21,0,,,,,
26,SM-N98,0,,,,,
27,SM-P61,0,,,,,
28,SM-T97,0,,,,,
29,SM-T87,0,,,,,
30,SM-G97,0,USA#VZW,,,,
31,SC-03L,0,,,,,
32,SC-04L,0,,,,,
33,SC-05L,0,,,,,
34,SCV41,0,,,,,
35,SCV42,0,,,,,
36,SM-F91,0,,,,,
37,SM-G96,0,USA#VZW,,,,
38,SC-02K,0,,,,,
39,SC-03K,0,,,,,
40,SCV38,0,,,,,
41,SCV39,0,,,,,
42,SM-F90,0,USA#VZW,,,,
43,SCV44,0,,,,,
44,SM-N96,0,USA#VZW,,,,
45,SC-01L,0,,,,,
46,SCV40,0,,,,,
47,SM-A105,0,,,,,
48,SM-A102,0,USA#VZW,,,,
49,SM-S102DL,0,,,,,
50,SC-02M,0,,,,,
51,SCV46,0,,,,,
52,SM-A205,0,USA#VZW,,,,
53,SM-A202,0,,,,,
54,SM-A305,0,,,,,
55,SCV43,0,,,,,
56,SM-A307,0,,,,,
57,SM-A405,0,,,,,
58,SM-A505,0,USA#VZW,,,,
59,SM-A507,0,,,,,
60,SM-A606,0,,,,,
61,SM-A705,0,USA#VZW,,,,
62,SM-A707,0,,,,,
63,SM-A805,0,,,,,
64,SM-A908,0,,,,,
65,SM-A600,0,USA#VZW,,,,
66,SM-A605,0,,,,,
67,SM-A750,0,,,,,
68,SM-G885,0,,,,,
69,SM-G887,0,,,,,
70,SM-A920,0,,,,,
71,SC-02L,0,,,,,
72,SM-J337,0,USA#VZW,,,,
73,SM-S357BL,0,,,,,
74,SM-S367VL,0,,,,,
75,SM-J415,0,,,,,
76,SM-J400,0,,,,,
77,SM-J600,0,,,,,
78,SM-J610,0,,,,,
79,SM-J720,0,,,,,
80,SM-J737,0,USA#VZW,,,,
81,SM-S757BL,0,,,,,
82,SM-S767VL,0,,,,,
83,SM-J810,0,,,,,
84,SM-G715,0,USA#VZW,,,,
85,SM-G889,0,,,,,
86,SM-G398FN,0,,,,,
87,SM-T51,0,,,,,
88,SM-T387,0,USA#VZW,,,,
89,SM-P20,0,,,,,
90,SM-T59,0,USA#VZW,,,,
91,SM-T307U,0,USA#VZW,,,,
92,SM-T54,0,,,,,
93,SM-T39,0,,,,,
94,SM-T83,0,USA#VZW,,,,
95,SM-T72,0,USA#VZW,,,,
96,SM-T86,0,USA#VZW,,,,
97,SM-G78,0,,,,,
98,SM-A426,0,,,,,
99,SM-T57,0,,,,,
100,SCG04,0,,,,,
101,SCG05,0,,,,,
102,SM-G99,0,,,,,
103,SM-A725,0,,,,,
104,SM-A525,0,,,,,
105,SM-A526,0,,,,,
