_id,item,category,data1,data2,data3,data4,data5
1,com.gamepass.samsung,gamepadinfo,45E,B0C,,,
2,com.gamepass.samsung,gamepadinfo,45E,B13,,,
3,com.gamepass.samsung,gamepadinfo,45E,2FD,,,
4,com.gamepass.samsung,gamepadinfo,45E,B0C,,,
5,com.gamepass.samsung,gamepadinfo,45E,B0A,,,
6,com.gamepass.samsung,gamepadinfo,45E,2EA,,,
7,com.gamepass.samsung,gamepadinfo,45E,2E3,,,
8,com.gamepass.samsung,gamepadinfo,45E,B00,,,
9,com.gamepass.samsung,gamepadinfo,24C6,891A,,,
10,com.gamepass.samsung,gamepadinfo,24C6,891B,,,
11,com.gamepass.samsung,gamepadinfo,24C6,891D,,,
12,com.gamepass.samsung,gamepadinfo,27F8,BBF,,,
13,com.gamepass.samsung,gamepadinfo,1532,705,,,
14,com.gamepass.samsung,gamepadinfo,20D6,891A,,,
15,com.gamepass.samsung,gamepadinfo,2DC8,6002,,,
16,com.gamepass,alternative,,,,,
17,com.gamepass.onestore,alternative,,,,,
