_id,policyName,policyVersion,extras
1,BT_A2DP,2021031700,
2,BT_BLE,2018121001,
3,BT_HFP,2020102901,
4,DeX,2020120718,
5,SmartFittingService,2020082801,
6,gametools,2017020700,
7,nsflp,2019041701,
8,smbadapplist,2018061415,
9,FFFMasking,2017081601,
10,cmaschannels,2017052314,
11,GameLiveCP,2018082015,
12,burn_in_prevention,2019070508,
13,HDR2SDRConverter,2021020801,
14,AREmojiproviderWhitelist,2021041306,
15,ScloudMigrationCountry,2021010400,
16,ScloudMigrationModel,2020091000,
17,ScloudMigrationCountryV2,2021010400,
18,ScloudMigrationModelV2,2020090300,
19,ScloudEOFPolicy,2021062200,
20,Camera3rdPartyWhiteList,2020082615,
21,SepUnionPrivilegePolicy,2021061400,
22,SCPMPolicyList,2021052412,
23,cloudgamepadinfo,2021011200,
24,HmtThridPartyDevicePolicy,2020071300,
25,FoldablePackagePolicy,2021070101,
26,open_platform_allowlist,2021062101,
27,SystemThermal_PackagePolicy,2021051301,
