packageName,authority,userId,intentAction,label,icon,inAppSearchIntent,appLaunchIntent,legacySearchActivity
com.samsung.android.app.contacts,com.samsung.android.devicesearch.contacts,0,com.samsung.android.intent.action.DEVICE_SEARCH,Contacts,b'\x02\x00\x00\x00 \x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00c\x00o\x00n\x00t\x00a\x00c\x00t\x00s\x00\x00\x00\x00\x00\x00\x00\x0f\x7f\x00\x00\x00\x00\x05\x00\x00\x00',b'\x1c\x00\x00\x00android.intent.action.SEARCH\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff \x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00c\x00o\x00n\x00t\x00a\x00c\x00t\x00s\x00\x00\x00\x00\x00B\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00c\x00o\x00n\x00t\x00a\x00c\x00t\x00s\x00.\x00s\x00e\x00a\x00r\x00c\x00h\x00.\x00a\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00.\x00C\x00o\x00n\x00t\x00a\x00c\x00t\x00S\x00e\x00a\x00r\x00c\x00h\x00A\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfe\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00',b'\x1a\x00\x00\x00android.intent.action.MAIN\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff \x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00c\x00o\x00n\x00t\x00a\x00c\x00t\x00s\x00\x00\x00\x00\x008\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00c\x00o\x00n\x00t\x00a\x00c\x00t\x00s\x00.\x00c\x00o\x00n\x00t\x00a\x00c\x00t\x00s\x00l\x00i\x00s\x00t\x00.\x00P\x00e\x00o\x00p\x00l\x00e\x00A\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00 \x00\x00\x00android.intent.category.LAUNCHER\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfe\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00',b' \x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00c\x00o\x00n\x00t\x00a\x00c\x00t\x00s\x00\x00\x00\x00\x009\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00c\x00o\x00n\x00t\x00a\x00c\x00t\x00s\x00.\x00d\x00e\x00t\x00a\x00i\x00l\x00.\x00C\x00o\x00n\x00t\x00a\x00c\x00t\x00D\x00e\x00t\x00a\x00i\x00l\x00A\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00\x00\x00'
com.samsung.android.messaging,com.samsung.android.messaging.ui.DeviceSearchProvider,0,com.samsung.android.intent.action.DEVICE_SEARCH,Messages,b'\x02\x00\x00\x00\x1d\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00m\x00e\x00s\x00s\x00a\x00g\x00i\x00n\x00g\x00\x00\x00\x00\x00\x0f\x7f\x00\x00\x00\x00\x05\x00\x00\x00',b'\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff\x1d\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00m\x00e\x00s\x00s\x00a\x00g\x00i\x00n\x00g\x00\x00\x00;\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00m\x00e\x00s\x00s\x00a\x00g\x00i\x00n\x00g\x00.\x00u\x00i\x00.\x00v\x00i\x00e\x00w\x00.\x00s\x00e\x00a\x00r\x00c\x00h\x00.\x00S\x00e\x00a\x00r\x00c\x00h\x00A\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfe\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00',b'\x1a\x00\x00\x00android.intent.action.MAIN\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff\x1d\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00m\x00e\x00s\x00s\x00a\x00g\x00i\x00n\x00g\x00\x00\x007\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00m\x00e\x00s\x00s\x00a\x00g\x00i\x00n\x00g\x00.\x00u\x00i\x00.\x00v\x00i\x00e\x00w\x00.\x00m\x00a\x00i\x00n\x00.\x00W\x00i\x00t\x00h\x00A\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00 \x00\x00\x00android.intent.category.LAUNCHER\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfe\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00',b'\x1d\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00m\x00e\x00s\x00s\x00a\x00g\x00i\x00n\x00g\x00\x00\x00;\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00m\x00e\x00s\x00s\x00a\x00g\x00i\x00n\x00g\x00.\x00u\x00i\x00.\x00v\x00i\x00e\x00w\x00.\x00s\x00e\x00a\x00r\x00c\x00h\x00.\x00S\x00e\x00a\x00r\x00c\x00h\x00A\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00\x00\x00'
com.sec.android.app.myfiles,com.sec.android.app.myfiles.deviceSearch.DeviceSearchIndexProvider,0,com.samsung.android.intent.action.DEVICE_SEARCH,My Files,b'\x02\x00\x00\x00\x1b\x00\x00\x00c\x00o\x00m\x00.\x00s\x00e\x00c\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00m\x00y\x00f\x00i\x00l\x00e\x00s\x00\x00\x00\x00\x00\x0e\x7f\x00\x00\x00\x00\x05\x00\x00\x00',b')\x00\x00\x00com.sec.android.app.myfiles.DEVICE_SEARCH\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff\x1b\x00\x00\x00c\x00o\x00m\x00.\x00s\x00e\x00c\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00m\x00y\x00f\x00i\x00l\x00e\x00s\x00\x00\x004\x00\x00\x00c\x00o\x00m\x00.\x00s\x00e\x00c\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00m\x00y\x00f\x00i\x00l\x00e\x00s\x00.\x00e\x00x\x00t\x00e\x00r\x00n\x00a\x00l\x00.\x00u\x00i\x00.\x00M\x00a\x00i\x00n\x00A\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfe\xff\xff\xff<\x00\x00\x00BNDL\x01\x00\x00\x00\x15\x00\x00\x00S\x00F\x00I\x00N\x00D\x00E\x00R\x00_\x00I\x00N\x00_\x00A\x00P\x00P\x00_\x00S\x00E\x00A\x00R\x00C\x00H\x00\x00\x00\t\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00',b'\x1a\x00\x00\x00android.intent.action.MAIN\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff\x1b\x00\x00\x00c\x00o\x00m\x00.\x00s\x00e\x00c\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00m\x00y\x00f\x00i\x00l\x00e\x00s\x00\x00\x00C\x00\x00\x00c\x00o\x00m\x00.\x00s\x00e\x00c\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00m\x00y\x00f\x00i\x00l\x00e\x00s\x00.\x00e\x00x\x00t\x00e\x00r\x00n\x00a\x00l\x00.\x00u\x00i\x00.\x00M\x00u\x00l\x00t\x00i\x00I\x00n\x00s\x00t\x00a\x00n\x00c\x00e\x00L\x00a\x00u\x00n\x00c\x00h\x00A\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00 \x00\x00\x00android.intent.category.LAUNCHER\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfe\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00',b'\x1b\x00\x00\x00c\x00o\x00m\x00.\x00s\x00e\x00c\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00m\x00y\x00f\x00i\x00l\x00e\x00s\x00\x00\x004\x00\x00\x00c\x00o\x00m\x00.\x00s\x00e\x00c\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00m\x00y\x00f\x00i\x00l\x00e\x00s\x00.\x00e\x00x\x00t\x00e\x00r\x00n\x00a\x00l\x00.\x00u\x00i\x00.\x00M\x00a\x00i\x00n\x00A\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00\x00\x00\x00\x00'
com.sec.android.app.sbrowser,com.sec.android.app.sbrowser.indexprovider,0,com.samsung.android.intent.action.DEVICE_SEARCH,Web apps,b'\x02\x00\x00\x00\x1c\x00\x00\x00c\x00o\x00m\x00.\x00s\x00e\x00c\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00s\x00b\x00r\x00o\x00w\x00s\x00e\x00r\x00\x00\x00\x00\x00\x02\x00\x0f\x7f\x00\x00\x00\x00\x05\x00\x00\x00',,,
com.samsung.android.voc,com.samsung.android.voc.sfinder.indexing.provider,0,com.samsung.android.intent.action.DEVICE_SEARCH,Samsung Members,b'\x02\x00\x00\x00\x17\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00v\x00o\x00c\x00\x00\x00\x00\x00\x0f\x7f\x00\x00\x00\x00\x05\x00\x00\x00',b'/\x00\x00\x00com.samsung.android.intent.action.DEVICE_SEARCH\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff\x17\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00v\x00o\x00c\x00\x00\x00(\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00v\x00o\x00c\x00.\x00L\x00a\x00u\x00n\x00c\x00h\x00e\x00r\x00A\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfe\xff\xff\xff<\x00\x00\x00BNDL\x01\x00\x00\x00\x14\x00\x00\x00e\x00x\x00e\x00c\x00u\x00t\x00e\x00d\x00_\x00b\x00y\x00_\x00s\x00_\x00f\x00i\x00n\x00d\x00e\x00r\x00\x00\x00\x00\x00\t\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00',b'\x1a\x00\x00\x00android.intent.action.MAIN\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff\x17\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00v\x00o\x00c\x00\x00\x00)\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00v\x00o\x00c\x00.\x00h\x00o\x00m\x00e\x00.\x00H\x00o\x00m\x00e\x00A\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00 \x00\x00\x00android.intent.category.LAUNCHER\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfe\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00',
com.android.systemui,com.android.systemui.indexsearch.provider,0,com.samsung.android.search.intent.ACTION_CONTENT_SEARCH,Quick panel,b'\x02\x00\x00\x00\x14\x00\x00\x00c\x00o\x00m\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00s\x00y\x00s\x00t\x00e\x00m\x00u\x00i\x00\x00\x00\x00\x00C\x08\x08\x7f\x00\x00\x00\x00\x05\x00\x00\x00',,b'+\x00\x00\x00com.android.systemui.indexsearch.detailview\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff\x14\x00\x00\x00c\x00o\x00m\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00s\x00y\x00s\x00t\x00e\x00m\x00u\x00i\x00\x00\x00\x00\x00:\x00\x00\x00c\x00o\x00m\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00s\x00y\x00s\x00t\x00e\x00m\x00u\x00i\x00.\x00i\x00n\x00d\x00e\x00x\x00s\x00e\x00a\x00r\x00c\x00h\x00.\x00D\x00e\x00t\x00a\x00i\x00l\x00P\x00a\x00n\x00e\x00l\x00L\x00a\x00u\x00n\x00c\x00h\x00A\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfe\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00',
com.samsung.android.app.routines,com.samsung.android.app.routines.RoutineSearchProvider,0,com.samsung.android.search.intent.ACTION_CONTENT_SEARCH,Bixby Routines,b'\x02\x00\x00\x00 \x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00r\x00o\x00u\x00t\x00i\x00n\x00e\x00s\x00\x00\x00\x00\x00\x0b\x00\x0e\x7f\x00\x00\x00\x00\x05\x00\x00\x00',b'\x1a\x00\x00\x00android.intent.action.MAIN\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff \x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00r\x00o\x00u\x00t\x00i\x00n\x00e\x00s\x00\x00\x00\x00\x00I\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00r\x00o\x00u\x00t\x00i\x00n\x00e\x00s\x00.\x00u\x00i\x00.\x00m\x00a\x00i\x00n\x00.\x00s\x00e\x00a\x00r\x00c\x00h\x00.\x00R\x00o\x00u\x00t\x00i\x00n\x00e\x00M\x00a\x00i\x00n\x00S\x00e\x00a\x00r\x00c\x00h\x00A\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00 \x00\x00\x00android.intent.category.LAUNCHER\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfe\xff\xff\xff0\x00\x00\x00BNDL\x01\x00\x00\x00\x0e\x00\x00\x00m\x00a\x00i\x00n\x00_\x00t\x00a\x00b\x00_\x00i\x00n\x00d\x00e\x00x\x00\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00',,
com.samsung.android.app.tips,Tips,0,com.samsung.android.search.intent.ACTION_CONTENT_SEARCH,Tips,b'\x02\x00\x00\x00\x1c\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00t\x00i\x00p\x00s\x00\x00\x00\x00\x00\x00\x00\r\x7f\x00\x00\x00\x00\x05\x00\x00\x00',,b'\x1a\x00\x00\x00android.intent.action.MAIN\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff\x1c\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00t\x00i\x00p\x00s\x00\x00\x00\x00\x00-\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00t\x00i\x00p\x00s\x00.\x00T\x00i\x00p\x00s\x00M\x00a\x00i\x00n\x00A\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00 \x00\x00\x00android.intent.category.LAUNCHER\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfe\xff\xff\xffd\x00\x00\x00BNDL\x01\x00\x00\x00\x17\x00\x00\x00t\x00i\x00p\x00s\x00_\x00e\x00x\x00t\x00r\x00a\x00_\x00s\x00t\x00a\x00r\x00t\x00e\x00d\x00_\x00f\x00r\x00o\x00m\x00\x00\x00\x00\x00\x00\x00\x10\x00\x00\x00F\x00I\x00N\x00D\x00E\x00R\x00_\x00G\x00O\x00_\x00T\x00O\x00_\x00A\x00P\x00P\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00',
com.samsung.android.mobileservice,com.samsung.android.mobileservice.social.ACTION_FINDER_SEARCH,0,com.samsung.android.search.intent.ACTION_CONTENT_SEARCH,Samsung Group Sharing,b'\x02\x00\x00\x00!\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00m\x00o\x00b\x00i\x00l\x00e\x00s\x00e\x00r\x00v\x00i\x00c\x00e\x00\x00\x00\x00\x00\x0f\x7f\x00\x00\x00\x00\x05\x00\x00\x00',,b'\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff!\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00m\x00o\x00b\x00i\x00l\x00e\x00s\x00e\x00r\x00v\x00i\x00c\x00e\x00\x00\x00\\\x00\x00\x00c\x00o\x00m\x00.\x00s\x00a\x00m\x00s\x00u\x00n\x00g\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00m\x00o\x00b\x00i\x00l\x00e\x00s\x00e\x00r\x00v\x00i\x00c\x00e\x00.\x00s\x00o\x00c\x00i\x00a\x00l\x00u\x00i\x00.\x00f\x00i\x00n\x00d\x00e\x00r\x00.\x00a\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00.\x00F\x00i\x00n\x00d\x00e\x00r\x00S\x00a\x00m\x00s\x00u\x00n\x00g\x00G\x00r\x00o\x00u\x00p\x00S\x00h\x00a\x00r\x00i\x00n\x00g\x00A\x00c\x00t\x00i\x00v\x00i\x00t\x00y\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfe\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00',
com.sec.android.app.launcher,com.android.homescreen.widgetlist.WidgetSearchProvider,0,com.samsung.android.search.intent.ACTION_CONTENT_SEARCH,Widgets,b'\x02\x00\x00\x00\x1c\x00\x00\x00c\x00o\x00m\x00.\x00s\x00e\x00c\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00l\x00a\x00u\x00n\x00c\x00h\x00e\x00r\x00\x00\x00\x00\x00\x98\x03\x08\x7f\x00\x00\x00\x00\x05\x00\x00\x00',b'\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff\x1c\x00\x00\x00c\x00o\x00m\x00.\x00s\x00e\x00c\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00l\x00a\x00u\x00n\x00c\x00h\x00e\x00r\x00\x00\x00\x00\x003\x00\x00\x00c\x00o\x00m\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00l\x00a\x00u\x00n\x00c\x00h\x00e\x00r\x003\x00.\x00u\x00i\x00o\x00v\x00e\x00r\x00r\x00i\x00d\x00e\x00s\x00.\x00Q\x00u\x00i\x00c\x00k\x00s\x00t\x00e\x00p\x00L\x00a\x00u\x00n\x00c\x00h\x00e\x00r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfe\xff\xff\xffD\x00\x00\x00BNDL\x01\x00\x00\x00\x12\x00\x00\x00s\x00e\x00a\x00r\x00c\x00h\x00_\x00w\x00i\x00d\x00g\x00e\x00t\x00_\x00i\x00t\x00e\x00m\x00\x00\x00\x00\x00\x00\x00\x00\x00\x04\x00\x00\x00t\x00r\x00u\x00e\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00',b'\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xff\x1c\x00\x00\x00c\x00o\x00m\x00.\x00s\x00e\x00c\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00a\x00p\x00p\x00.\x00l\x00a\x00u\x00n\x00c\x00h\x00e\x00r\x00\x00\x00\x00\x003\x00\x00\x00c\x00o\x00m\x00.\x00a\x00n\x00d\x00r\x00o\x00i\x00d\x00.\x00l\x00a\x00u\x00n\x00c\x00h\x00e\x00r\x003\x00.\x00u\x00i\x00o\x00v\x00e\x00r\x00r\x00i\x00d\x00e\x00s\x00.\x00Q\x00u\x00i\x00c\x00k\x00s\x00t\x00e\x00p\x00L\x00a\x00u\x00n\x00c\x00h\x00e\x00r\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfe\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00',
