FILENAME,OFFSET,SIZE,FORVRAMDISK,BITMAP
/data/user_de/0/com.google.android.gms/app_chimera/m/0000003d/dl-AdsFdrDynamite.integ_211512000100000.apk,0,101,0,b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xf8\xff\xff\xff\xff\xff\xff\xff\xff\xff\x07\x00\x00\x00\x00\x00\x00\x00\xf8\xff\xff\xff\xff\xff\xf8\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff?\x00\x00\xfe\xff\xff\x7f'
/data/user_de/0/com.google.android.gms/app_chimera/m/00000054/DynamiteLoader.apk,0,6,0,b'\xff\xff\xff\xff\xff\x03'
/data/user_de/0/com.google.android.gms/app_chimera/m/00000054/oat/arm64/DynamiteLoader.odex,0,11,0,b'\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\xff'
/data/user_de/0/com.google.android.gms/app_chimera/m/00000054/oat/arm64/DynamiteLoader.vdex,0,1,0,b'\x01'
/data/user_de/0/com.google.android.gms/app_chimera/m/0000003d/oat/arm64/dl-AdsFdrDynamite.integ_211512000100000.odex,0,4,0,b'\xff\xff\xff\x7f'
/data/user_de/0/com.google.android.gms/app_chimera/m/0000003d/oat/arm64/dl-AdsFdrDynamite.integ_211512000100000.vdex,0,1,0,b'\x07'
/data/data/com.flatfish.cal.privacy/cache/WebView/Default/HTTP Cache/dfe6b2497a7513ba_0,0,1,0,b'\x03'
/data/data/com.flatfish.cal.privacy/cache/WebView/Default/HTTP Cache/index,0,1,0,b'\x01'
/data/data/com.flatfish.cal.privacy/app_pccache/5/0C467F13987B6B8457A5B0742D326D297F7B96EF/pcbc,0,1,0,b'\xff'
/data/data/com.flatfish.cal.privacy/cache/WebView/Default/HTTP Cache/index-dir/the-real-index,0,1,0,b'\x01'
/data/data/com.flatfish.cal.privacy/cache/volley/-8450081861054760489,0,1,0,b'\x03'
/data/data/com.flatfish.cal.privacy/cache/WebView/Default/HTTP Cache/Code Cache/js/c0b4b82d5945f6a1_0,0,1,0,b'\x03'
/data/data/com.flatfish.cal.privacy/cache/WebView/Default/HTTP Cache/40d69e4b14515b29_0,0,1,0,b'\x01'
/data/data/com.flatfish.cal.privacy/shared_prefs/NET_LOG_PREF_NAME.sp.bak,0,1,0,b'\x01'
/data/data/com.flatfish.cal.privacy/cache/WebView/Default/HTTP Cache/9b64d7eceb7fb1a2_0,0,1,0,b'\x03'
/data/data/com.flatfish.cal.privacy/shared_prefs/NET_LOG_PREF_NAME.sp,0,1,0,b'\x01'
