FILENAME,OFFSET,SIZE,FORVRAMDISK,BITMAP
/data/user/0/com.samsung.android.app.tips/cache/image_manager_disk_cache/c460e5f624cd4167a67ea502d0b2c09c67cfcc33b1f8b9f2b188cecdd4503552.0,0,1,0,b'\xff'
/data/user/0/com.samsung.android.app.tips/databases/TipsContents.db-wal,0,7,0,b'\xff\xff\xff\xff\xff\xff\x1f'
/data/user/0/com.samsung.android.app.tips/databases/TipsContents.db,0,1,0,b'\x01'
/data/user/0/com.samsung.android.app.tips/databases/TipsContents.db-shm,0,1,0,b'\xff'
/data/user/0/com.samsung.android.app.tips/cache/image_manager_disk_cache/a3cc13c20fa57107f79032ae49dc3a15c65469d3bd240ff4c4c1fc0e21fff863.0,0,3,0,b'\xff\xff\x1f'
/system/etc/security/cacerts/35105088.0,0,1,0,b'\x03'
/system/priv-app/Tips/Tips.apk,96,223,0,b'\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xff\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff?\xff\xff\x00\x00\xff\xff\x00\x00\xff\xff\xff\xff\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00?\xf8\xff\xff\x07\x00\x00\x00\x00\x00?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xf8\xff\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0f\x0f?????\x7f\x0f\x01'
/data/dalvik-cache/arm64/system@priv-app@Tips@Tips.apk@classes.art,-1,0,2,
/data/dalvik-cache/arm64/system@priv-app@Tips@Tips.apk@classes.dex,-1,0,2,
/data/dalvik-cache/arm64/system@priv-app@Tips@Tips.apk@classes.vdex,-1,0,2,
