partition_name,table_name
__master_partition__,partition_versions
__master_partition__,partition_tables
__master_partition__,partition_views
photos_action_queue,action_queue
album_state_data,album_state
BackupPartition,backup_folders
BackupPartition,upload_requests
BackupPartition,backup_status
BackupPartition,backup_queue
BackupPartition,backup_progress
BackupPartition,backup_video_compression_state
Photos2DatabasePartition,metadata_sync
Photos2DatabasePartition,assistant_cards
Photos2DatabasePartition,local_face_metadata
Photos2DatabasePartition,assistant_media
Photos2DatabasePartition,all_media_count
Photos2DatabasePartition,slomo_transition_edits_table
Photos2DatabasePartition,collections
Photos2DatabasePartition,local_media
Photos2DatabasePartition,content_hash_dedup_key
Photos2DatabasePartition,shared_media
Photos2DatabasePartition,assistant_collections
Photos2DatabasePartition,day_segmented_date_headers
Photos2DatabasePartition,out_of_sync_suggested_action
Photos2DatabasePartition,envelopes_sync
Photos2DatabasePartition,local_creation
Photos2DatabasePartition,envelope_members
Photos2DatabasePartition,actors
Photos2DatabasePartition,local_creation_cards
Photos2DatabasePartition,cleanup_items
Photos2DatabasePartition,memories_content_info
Photos2DatabasePartition,media_collection_key_proxy
Photos2DatabasePartition,day_segmented_location_headers
Photos2DatabasePartition,media_collection_tombstone_log
Photos2DatabasePartition,trash_cleanup_soft_delete_not_trashed
Photos2DatabasePartition,ambient_memories_content
Photos2DatabasePartition,media
Photos2DatabasePartition,confetti_xp
Photos2DatabasePartition,memories_content
Photos2DatabasePartition,widgets
Photos2DatabasePartition,promo
Photos2DatabasePartition,media_key_proxy
Photos2DatabasePartition,hearts
Photos2DatabasePartition,memories
Photos2DatabasePartition,media_tombstone_log
Photos2DatabasePartition,burst_media
Photos2DatabasePartition,selective_backup
Photos2DatabasePartition,remote_media
Photos2DatabasePartition,memories_read_state
Photos2DatabasePartition,memories_read_items_pending
Photos2DatabasePartition,face_details
Photos2DatabasePartition,comments
Photos2DatabasePartition,mobile_ica_scan
Photos2DatabasePartition,album_enrichments
Photos2DatabasePartition,envelope_forbidden_actions
Photos2DatabasePartition,obsolete_processor_ids
Photos2DatabasePartition,media_curated_item_set_pending
Photos2DatabasePartition,auto_add_clusters
Photos2DatabasePartition,showcase
Photos2DatabasePartition,envelopes
Photos2DatabasePartition,notification_throttling
device_mgmt,device_mgmt_batch_type
device_mgmt,device_mgmt_batch
PhotoEditorPartition,edits_tombstone_log
PhotoEditorPartition,edits
PhotoEditorPartition,editdownloads
com.google.android.apps.photos.mediasync.MediaSyncPartition,media_sync_table
JobQueuePartition,job_queue_table
OnDeviceMIDatabasePartition,on_device_mi
PrintingDatabasePartition,rabbitfish_orders
PrintingDatabasePartition,photo_book_orders
PrintingDatabasePartition,whalefish_suggestions
PrintingDatabasePartition,whalefish_drafts
PrintingDatabasePartition,printing_product_pricing
PrintingDatabasePartition,printing_orders
PrintingDatabasePartition,print_subscriptions
PrintingDatabasePartition,printing_media
PrintingDatabasePartition,printing_proto_dump
PrintingDatabasePartition,photo_book_drafts
PrintingDatabasePartition,rabbitfish_drafts
PrintingDatabasePartition,photobook_suggestions
PrintingDatabasePartition,printing_layouts
PrintingDatabasePartition,photo_book_promotions
PrintingDatabasePartition,whalefish_orders
PrintingDatabasePartition,retail_prints_order_info
OnDeviceSearchDatabasePartition,search_clusters_fts4
OnDeviceSearchDatabasePartition,odfc_unexamined_media
OnDeviceSearchDatabasePartition,search_refinements
OnDeviceSearchDatabasePartition,search_cluster_ranking
OnDeviceSearchDatabasePartition,cluster_kernel
OnDeviceSearchDatabasePartition,suggested_cluster_merge
OnDeviceSearchDatabasePartition,search_clusters
OnDeviceSearchDatabasePartition,unprocessed_user_suggestions
OnDeviceSearchDatabasePartition,search_results
OnDeviceSearchDatabasePartition,pfc_face
OnDeviceSearchDatabasePartition,search_proto_store
OnDeviceSearchDatabasePartition,local_clusters_status
OnDeviceSearchDatabasePartition,photo_clustering_status
OnDeviceSearchDatabasePartition,odfc_tombstone_log
OnDeviceSearchDatabasePartition,guided_confirmation
settings_storage,settings
SuggestedActionsDatabasePartition,suggested_actions
SuggestedActionsDatabasePartition,suggested_actions_item
SuggestedActionsDatabasePartition,pending_suggested_action
SuggestedSharingDatabasePartition,suggestion_items
SuggestedSharingDatabasePartition,inferences_used_for_suggestion
SuggestedSharingDatabasePartition,suggestions
SuggestedSharingDatabasePartition,recipient_inferences
SuggestedSharingDatabasePartition,suggestion_recipients
album_upload,album_upload_media
album_upload,album_upload_batch
Photos2DatabasePartition,memories_content_read_state
