_id,dedup_key,suggestion_id,suggestion_priority,suggestion_score,suggestion_type,suggestion_source,suggestion_state,suggestion_reconcile_state
1,z-LpB6NNENGTCmFDzS5S_xK3XnY,6974068818346781551,800.0,1.0,111,2,1,1
2,CJNOZ3IpgJn5OP3F-e6o4MEmiB8,6974460263128718191,800.0,1.0,111,2,1,1
3,pDFSDrpPLcjeKk6AQXNNkZ9-iY0,6980627728537442159,800.0,1.0,111,2,1,1
4,tO9u_EkYrrS9_hHxiSoO0DD6oJw,6982405158387795567,800.0,1.0,111,2,1,1
5,3EDJxySlkn_b6jd7F1dQ82S7sRY,6982405165754564463,800.0,1.0,111,2,1,1
6,o-mje6QjGobDTRy8OAFB-BeaYOw,6982405161975069295,800.0,1.0,111,2,1,1
7,8j0xLEFo5hMyaRZCN2gxH4f3HuY,6982405162810739055,800.0,1.0,111,2,1,1
8,BYeUWxjXcyFWtt4ap5hfMOshMO0,6982405165111751791,800.0,1.0,111,2,1,1
9,44kCBC_8eDW3my2Gt-Q7FQx4K98,6982405161919223407,800.0,1.0,111,2,1,1
10,Uuo_RbNFupG1Krbhtkb_cu-8owc,6982405161850026351,800.0,1.0,111,2,1,1
11,kF-lwkR6ajmM_hTszYZdMPBn3r4,6982405165009822063,800.0,1.0,111,2,1,1
12,3BmK3Szldy0JuKTFVIbLSO38cFE,6982405161809701999,800.0,1.0,111,2,1,1
