tagmap_id,fk_tag_id,scene_region,scene_region_ratio,scene_score,scene_position,scene_qr_barcode_info,fk_file_id
1,1,228|883|819|1083,0.21111111|0.3872807|0.7583333|0.475,33.0,,,5
2,2,228|883|819|1083,0.21111111|0.3872807|0.7583333|0.475,0.685114324092865,,,5
3,3,0|726|1079|1446,0.0|0.31842107|0.9990741|0.6342105,71.0,,,4
4,4,0|726|1079|1446,0.0|0.31842107|0.9990741|0.6342105,0.5038155913352966,,,4
5,5,14|883|805|1852,0.0129629625|0.3872807|0.7453704|0.8122807,67.0,,,9
6,6,14|883|805|1852,0.0129629625|0.3872807|0.7453704|0.8122807,0.5368451476097107,,,9
7,5,300|288|2457|4005,0.09920635|0.071428575|0.8125|0.9933036,81.0,,,11
8,8,300|288|2457|4005,0.09920635|0.071428575|0.8125|0.9933036,0.9799110293388367,,,11
9,9,0|368|1720|2648,0.0|0.125|0.7789855|0.8994565,49.0,,,12
10,10,,,,,,12
11,11,,,100.0,,,14
12,12,,,0.7129201292991638,,,14
13,11,,,100.0,,,13
14,14,,,0.7645318508148193,,,13
15,11,,,100.0,,,18
16,11,,,100.0,,,17
17,17,,,0.9674029350280762,,,17
18,11,,,100.0,,,16
19,17,,,0.5923253297805786,,,16
20,11,,,100.0,,,15
21,17,,,0.9948199987411499,,,15
22,11,,,100.0,,,19
23,3,242|1140|1079|1688,0.22407408|0.5|0.9990741|0.7403509,81.0,,,20
24,11,,,100.0,,,23
25,14,,,0.6126875281333923,,,23
26,26,970|3124|1902|3704,0.5083857|0.7748016|0.9968553|0.9186508,32.0,,,34
27,11,,,100.0,,,34
28,11,,,100.0,,,30
29,11,,,100.0,,,29
30,30,2356|314|3502|742,0.5843254|0.16457023|0.8685516|0.3888889,36.0,,,37
31,31,,,100.0,,,37
32,11,,,100.0,,,46
33,3,2104|314|3968|868,0.5218254|0.16457023|0.984127|0.4549266,35.0,,,45
34,11,,,100.0,,,44
35,14,,,0.6871980428695679,,,44
36,3,340|730|1688|1562,0.17819707|0.18105158|0.884696|0.3874008,56.0,,,43
37,3,2734|478|3754|882,0.6780754|0.2505241|0.9310516|0.46226415,52.0,,,42
38,31,,,100.0,,,48
39,3,0|144|3828|2088,0.0|0.06593407|0.8307292|0.95604396,94.0,,,52
40,3,390|0|1222|528,0.20440252|0.0|0.6404612|0.13095239,45.0,,,77
41,41,390|0|1222|528,0.20440252|0.0|0.6404612|0.13095239,0.7985677719116211,,,77
42,3,0|847|1061|1396,0.0|0.37149122|0.9824074|0.6122807,62.0,,,70
43,3,35|847|1061|1382,0.032407407|0.37149122|0.9824074|0.6061404,60.0,,,69
44,3,0|833|1068|1396,0.0|0.36535087|0.98888886|0.6122807,67.0,,,68
45,3,49|847|1061|1389,0.04537037|0.37149122|0.9824074|0.60921055,59.0,,,67
46,3,42|847|1061|1382,0.03888889|0.37149122|0.9824074|0.6061404,66.0,,,66
