_id,capture_time,capture_file_name,capture_server_ip,capture_server_port,capture_app_name_main,capture_app_name_all,capture_proxy_type,capture_protocol_no,capture_pkg_name_all,capture_set_id
1,1618077687245,/data/user/0/app.greyshirts.sslcapture/files/capture5924736418987782039.dat,69.171.250.34,443,Facebook Services,Facebook Services,1,6,com.facebook.services,1618077687062
2,1618077687260,/data/user/0/app.greyshirts.sslcapture/files/capture2338597808508618173.dat,199.103.24.2,443,System,System,1,6,root.uid=0,1618077687062
3,1618077687279,/data/user/0/app.greyshirts.sslcapture/files/capture8190198680235017688.dat,199.103.24.2,443,System,System,1,6,root.uid=0,1618077687062
4,1618077687280,/data/user/0/app.greyshirts.sslcapture/files/capture1640923295324676976.dat,130.44.212.185,443,System,System,1,6,root.uid=0,1618077687062
5,1618077687291,/data/user/0/app.greyshirts.sslcapture/files/capture5764658072200985247.dat,34.98.93.234,443,System,System,1,6,root.uid=0,1618077687062
6,1618077687318,/data/user/0/app.greyshirts.sslcapture/files/capture2005047872003242175.dat,199.103.24.2,443,TikTok,TikTok,1,6,com.zhiliaoapp.musically,1618077687062
7,1618077687331,/data/user/0/app.greyshirts.sslcapture/files/capture1721173936137164446.dat,199.103.24.2,443,System,System,1,6,root.uid=0,1618077687062
8,1618077687339,/data/user/0/app.greyshirts.sslcapture/files/capture3662640660726997945.dat,130.44.212.185,443,System,System,1,6,root.uid=0,1618077687062
9,1618077687354,/data/user/0/app.greyshirts.sslcapture/files/capture4840272074005392326.dat,34.98.93.234,443,System,System,1,6,root.uid=0,1618077687062
10,1618077687365,/data/user/0/app.greyshirts.sslcapture/files/capture5704364857949499618.dat,130.44.212.180,443,TikTok,TikTok,1,6,com.zhiliaoapp.musically,1618077687062
11,1618077687381,/data/user/0/app.greyshirts.sslcapture/files/capture7358716297848954913.dat,34.107.140.103,443,TikTok,TikTok,1,6,com.zhiliaoapp.musically,1618077687062
12,1618077687549,/data/user/0/app.greyshirts.sslcapture/files/capture1917178512796086511.dat,69.171.250.34,443,Facebook Services,Facebook Services,1,6,com.facebook.services,1618077687062
13,1618077687681,/data/user/0/app.greyshirts.sslcapture/files/capture7414243809164055006.dat,34.107.140.103,443,TikTok,TikTok,1,6,com.zhiliaoapp.musically,1618077687062
14,1618077688065,/data/user/0/app.greyshirts.sslcapture/files/capture1678346330359633428.dat,130.44.212.180,443,TikTok,TikTok,1,6,com.zhiliaoapp.musically,1618077687062
15,1618077688086,/data/user/0/app.greyshirts.sslcapture/files/capture5968079022637651795.dat,69.171.250.34,443,Facebook Services,Facebook Services,1,6,com.facebook.services,1618077687062
16,1618077688336,/data/user/0/app.greyshirts.sslcapture/files/capture5843553840507868247.dat,52.114.76.37,443,OneDrive,OneDrive,1,6,com.microsoft.skydrive,1618077687062
17,1618077688994,/data/user/0/app.greyshirts.sslcapture/files/capture5787276059128375373.dat,130.44.212.180,443,TikTok,TikTok,1,6,com.zhiliaoapp.musically,1618077687062
18,1618077689199,/data/user/0/app.greyshirts.sslcapture/files/capture437001191663242990.dat,34.120.163.4,443,TikTok,TikTok,1,6,com.zhiliaoapp.musically,1618077687062
19,1618077689220,/data/user/0/app.greyshirts.sslcapture/files/capture6144254285011884130.dat,199.232.130.133,443,TikTok,TikTok,1,6,com.zhiliaoapp.musically,1618077687062
20,1618077689364,/data/user/0/app.greyshirts.sslcapture/files/capture3308435064608227114.dat,130.44.212.180,443,TikTok,TikTok,1,6,com.zhiliaoapp.musically,1618077687062
21,1618077689562,/data/user/0/app.greyshirts.sslcapture/files/capture8086429713236666997.dat,34.107.140.103,443,TikTok,TikTok,1,6,com.zhiliaoapp.musically,1618077687062
22,1618077689569,/data/user/0/app.greyshirts.sslcapture/files/capture7958702953818658757.dat,151.101.118.133,443,TikTok,TikTok,1,6,com.zhiliaoapp.musically,1618077687062
23,1618077689789,/data/user/0/app.greyshirts.sslcapture/files/capture4815912730571022412.dat,172.217.9.226,443,Google Play services,"Google Play services,Google Services Framework",1,6,"com.google.android.gms,com.google.android.gsf",1618077687062
24,1618077690193,/data/user/0/app.greyshirts.sslcapture/files/capture3026406407872424684.dat,184.28.190.64,443,TikTok,TikTok,1,6,com.zhiliaoapp.musically,1618077687062
25,1618077691198,/data/user/0/app.greyshirts.sslcapture/files/capture7041463807382682024.dat,172.217.11.10,443,Google Play services,"Google Play services,Google Services Framework",1,6,"com.google.android.gms,com.google.android.gsf",1618077687062
26,1618077691532,/data/user/0/app.greyshirts.sslcapture/files/capture3585066463303313765.dat,172.253.115.188,5228,Google Play services,"Google Play services,Google Services Framework",1,6,"com.google.android.gms,com.google.android.gsf",1618077687062
27,1618077691932,/data/user/0/app.greyshirts.sslcapture/files/capture1892789046065074711.dat,172.217.11.10,443,Google Play services,"Google Play services,Google Services Framework",1,6,"com.google.android.gms,com.google.android.gsf",1618077687062
28,1618077692035,/data/user/0/app.greyshirts.sslcapture/files/capture6116260174474282679.dat,52.114.76.37,443,OneDrive,OneDrive,1,6,com.microsoft.skydrive,1618077687062
29,1618077692450,/data/user/0/app.greyshirts.sslcapture/files/capture6577725049176476867.dat,69.171.250.34,443,Facebook Services,Facebook Services,1,6,com.facebook.services,1618077687062
30,1618077693256,/data/user/0/app.greyshirts.sslcapture/files/capture7849405984326191771.dat,172.217.11.10,443,Google Play services,"Google Play services,Google Services Framework",1,6,"com.google.android.gms,com.google.android.gsf",1618077687062
31,1618077694769,/data/user/0/app.greyshirts.sslcapture/files/capture6056221640514369438.dat,52.170.57.27,443,OneDrive,OneDrive,1,6,com.microsoft.skydrive,1618077687062
32,1618077697770,/data/user/0/app.greyshirts.sslcapture/files/capture5589115975609893850.dat,69.171.250.34,443,Facebook Services,Facebook Services,1,6,com.facebook.services,1618077687062
33,1618077697937,/data/user/0/app.greyshirts.sslcapture/files/capture4834267071242859116.dat,52.114.88.20,443,OneDrive,OneDrive,1,6,com.microsoft.skydrive,1618077687062
34,1618077701899,/data/user/0/app.greyshirts.sslcapture/files/capture55962419495558300.dat,172.253.115.188,5228,Google Play services,"Google Play services,Google Services Framework",1,6,"com.google.android.gms,com.google.android.gsf",1618077687062
35,1618077702544,/data/user/0/app.greyshirts.sslcapture/files/capture687288088305070781.dat,52.114.88.20,443,OneDrive,OneDrive,1,6,com.microsoft.skydrive,1618077687062
36,1618077706512,/data/user/0/app.greyshirts.sslcapture/files/capture5953538898586595478.dat,13.73.26.107,443,OneDrive,OneDrive,1,6,com.microsoft.skydrive,1618077687062
37,1618077707103,/data/user/0/app.greyshirts.sslcapture/files/capture6586097014285516771.dat,69.171.250.34,443,Facebook Services,Facebook Services,1,6,com.facebook.services,1618077687062
38,1618077715533,/data/user/0/app.greyshirts.sslcapture/files/capture4949133452178165081.dat,52.170.57.27,443,OneDrive,OneDrive,1,6,com.microsoft.skydrive,1618077687062
39,1618077718341,/data/user/0/app.greyshirts.sslcapture/files/capture4845023630965359002.dat,172.217.9.226,443,Google Play services,"Google Play services,Google Services Framework",1,6,"com.google.android.gms,com.google.android.gsf",1618077687062
40,1618077718909,/data/user/0/app.greyshirts.sslcapture/files/capture2963510275091769600.dat,52.170.57.27,443,OneDrive,OneDrive,1,6,com.microsoft.skydrive,1618077687062
41,1618077720531,/data/user/0/app.greyshirts.sslcapture/files/capture2434500403745703154.dat,69.171.250.34,443,Facebook Services,Facebook Services,1,6,com.facebook.services,1618077687062
42,1618077722271,/data/user/0/app.greyshirts.sslcapture/files/capture1467156252796151174.dat,172.253.115.188,5228,Google Play services,"Google Play services,Google Services Framework",1,6,"com.google.android.gms,com.google.android.gsf",1618077687062
43,1618077735446,/data/user/0/app.greyshirts.sslcapture/files/capture4153411553706123324.dat,40.78.128.150,443,OneDrive,OneDrive,1,6,com.microsoft.skydrive,1618077687062
44,1618077736033,/data/user/0/app.greyshirts.sslcapture/files/capture2882663867200159833.dat,130.44.212.180,443,TikTok,TikTok,1,6,com.zhiliaoapp.musically,1618077687062
45,1618077736144,/data/user/0/app.greyshirts.sslcapture/files/capture7495669550179977352.dat,151.101.118.133,443,TikTok,TikTok,1,6,com.zhiliaoapp.musically,1618077687062
46,1618077736319,/data/user/0/app.greyshirts.sslcapture/files/capture3791129094806023206.dat,172.217.10.130,443,Google Play services,"Google Play services,Google Services Framework",1,6,"com.google.android.gms,com.google.android.gsf",1618077687062
47,1618077738965,/data/user/0/app.greyshirts.sslcapture/files/capture7538852473819722772.dat,69.171.250.34,443,Facebook Services,Facebook Services,1,6,com.facebook.services,1618077687062
48,1618077739310,/data/user/0/app.greyshirts.sslcapture/files/capture3600424247118579111.dat,40.78.128.150,443,OneDrive,OneDrive,1,6,com.microsoft.skydrive,1618077687062
49,1618077740413,/data/user/0/app.greyshirts.sslcapture/files/capture7151493767854222764.dat,172.217.10.130,443,Google Play services,"Google Play services,Google Services Framework",1,6,"com.google.android.gms,com.google.android.gsf",1618077687062
50,1618077749631,/data/user/0/app.greyshirts.sslcapture/files/capture212322115245174279.dat,172.217.165.138,443,YouTube,YouTube,0,17,com.google.android.youtube,1618077687062
51,1618077749645,/data/user/0/app.greyshirts.sslcapture/files/capture6882061480386241055.dat,104.244.42.2,443,Twitter,Twitter,1,6,com.twitter.android,1618077687062
52,1618077750145,/data/user/0/app.greyshirts.sslcapture/files/capture2980556595845255207.dat,104.244.42.2,443,Twitter,Twitter,1,6,com.twitter.android,1618077687062
53,1618077750609,/data/user/0/app.greyshirts.sslcapture/files/capture6819857728230203790.dat,104.244.42.130,443,Twitter,Twitter,1,6,com.twitter.android,1618077687062
54,1618077751100,/data/user/0/app.greyshirts.sslcapture/files/capture5390417130191021251.dat,104.244.42.130,443,Twitter,Twitter,1,6,com.twitter.android,1618077687062
55,1618077751611,/data/user/0/app.greyshirts.sslcapture/files/capture9164065390157642425.dat,104.244.42.194,443,Twitter,Twitter,1,6,com.twitter.android,1618077687062
