key,type,value
/settings/analyticsmetainf_fbmeta,1,
/settings/data_analyticstotal_bytes_received_background,4,0
/settings/data_analyticstotal_bytes_sent_foreground,4,0
/shared/device_id,1,eed5ba7d-72e7-465f-80f2-e74661c28afb
/composer/has_pending_stories,2,0
/settings/data_analyticstotal_bytes_received_foreground,4,0
/shared/device_id_generate_timestamp,4,1617478208026
/settings/data_analyticstotal_bytes_sent_background,4,0
/settings/analyticsdevice_info_oldest_known_installer,1,com.android.vending
/reg/reg_instance,1,eed5ba7d-72e7-465f-80f2-e74661c28afb
/version/,3,3
/config/offlineexperiment/values/fb4a_reg_audio_optimization_v2,3,4150
/config/offlineexperiment/values/fb4a_reg_google_tts_audio_v3,3,8543
/login_notification/have_sent,2,1
/notifications/ringtone,1,android.resource://com.facebook.katana/raw2/new_facebook_ringtone_7
/prefs/version,3,2
/fbns/fb_server_registered,2,0
/settings/connection_manager/conn_tracking/0/1,4,0
/settings/connection_manager/conn_tracking/0/3,4,0
/settings/connection_manager/conn_tracking/1/3,4,0
/settings/connection_manager/conn_tracking/1/1,4,0
/tosacceptance/reason,1,EXPLICIT_COMPONENT_STATE
/growth/ad_campaign/is_app_new_install_reported/,2,1
/logged_out_access_flow_logging_v3,2,0
/tosacceptance/send_tos_accept,3,4
/config/offlineexperiment/exposed/fb4a_universe2_experiment,2,1
/growth/locale_defaulting_exp_group,3,-100
/config/image_pipeline_mc_providerprepare_bitmap_at_least_bytes,3,0
/shared/sfdid_generated_timestamp,4,1617501537404
/auth/shown_count_smartlock,3,1
/locales/suggested_locale_list,1,"[""en"",""es"",""fr"",""zh_CN"",""ar"",""pt"",""ko"",""it""]"
/shared/sfdid_generator_action,1,login_form
/config/image_pipeline_mc_providerpool_max_size_percent,6,0.5
/shared/sfdid_generator_pkg,1,com.facebook.katana
/notifications/ringtone_force_installed,2,1
/shared/sfdid,1,eeadc310-ab38-4a58-af7d-47dd2b00c0de
/config/image_pipeline_mc_providerbitmap_max_size_percent,6,0.5
/config/offlineexperiment/values/universe2,3,9587
/config/offlineexperiment/values/universe1,3,5200
/config/offlineexperiment/values/fb4a_universe1_experiment1/universe,1,0-2999
/config/image_pipeline_mc_providershould_register_trimmable,2,0
/config/image_pipeline_mc_provideruse_gingerbread_decoder,2,0
/config/offlineexperiment/values/fb4a_universe2_experiment/universe,1,0-9999
/config/offlineexperiment/values/fb4a_universe1_experiment3/universe,1,3000-4499
/ras_blobs/c92570c9md5,1,ca8d9e7e7fcd8083c0e133e7a7627264
/ras_blobs/544e54d7location,1,/data/user/0/com.facebook.katana/app_ras_blobs/544e54d7
/ras_blobs/3093fa4dlocation,1,/data/user/0/com.facebook.katana/app_ras_blobs/3093fa4d
/ras_blobs/344c1262md5,1,f7079e52f58cb4350192a85e6a947dbb
/ras_blobs/1489fb6alocation,1,/data/user/0/com.facebook.katana/app_ras_blobs/1489fb6a
/ras_blobs/848f0d7blocation,1,/data/user/0/com.facebook.katana/app_ras_blobs/848f0d7b
/ras_blobs/a2d55ed4location,1,/data/user/0/com.facebook.katana/app_ras_blobs/a2d55ed4
/ras_blobs/95781182location,1,/data/user/0/com.facebook.katana/app_ras_blobs/95781182
/ras_blobs/ddfa8c28location,1,/data/user/0/com.facebook.katana/app_ras_blobs/ddfa8c28
/ras_blobs/a8d1240elocation,1,/data/user/0/com.facebook.katana/app_ras_blobs/a8d1240e
/ras_blobs/3873c21cmd5,1,1931d91e195cc08b0d5380d9bf8e3d22
/X.3aV/X.3Nk,4,1617501537949
/X.3aV/failures/X.3Nk,3,1
/ras_blobs/cd278c86md5,1,e1dd14a75368a5782e0769e2863ab5a5
/ras_blobs/69c7fc9amd5,1,30f788fc79f8b46f5cb75d09469cbd59
/ras_blobs/8bac6d19location,1,/data/user/0/com.facebook.katana/app_ras_blobs/8bac6d19
/ras_blobs/ea97300md5,1,1d2202c76d233e274c1974cf0f49a223
/ras_blobs/ea97300location,1,/data/user/0/com.facebook.katana/app_ras_blobs/ea97300
/ras_blobs/344c1262location,1,/data/user/0/com.facebook.katana/app_ras_blobs/344c1262
/ras_blobs/ef69478flocation,1,/data/user/0/com.facebook.katana/app_ras_blobs/ef69478f
/ras_blobs/321fe26cmd5,1,3e271f1b663e1d7d3eb0f2923529a8d3
/ras_blobs/5520e115md5,1,9b47427f0096d2d5e987ee17a40e60a8
/ras_blobs/3873c21clocation,1,/data/user/0/com.facebook.katana/app_ras_blobs/3873c21c
/ras_blobs/a8d1240emd5,1,625b67e1ab8a94491e6ea149b7813904
/ras_blobs/e839be71location,1,/data/user/0/com.facebook.katana/app_ras_blobs/e839be71
/ras_blobs/ef69478fmd5,1,7412b506911d7e3e781d896bd1b98939
/ras_blobs/4a4f0167location,1,/data/user/0/com.facebook.katana/app_ras_blobs/4a4f0167
/settings/connection_manager/history/WIFI,1,EXCELLENT
/ras_blobs/2d6d031elocation,1,/data/user/0/com.facebook.katana/app_ras_blobs/2d6d031e
/ras_blobs/6ead088blocation,1,/data/user/0/com.facebook.katana/app_ras_blobs/6ead088b
/ras_blobs/d7aeff6flocation,1,/data/user/0/com.facebook.katana/app_ras_blobs/d7aeff6f
/ras_blobs/4d027b29md5,1,a914788b54894c7b9ca0bb25719358f7
/config/sessionless_gk/version,3,1
/ras_blobs/ddfa8c28md5,1,3366313952f3fe4d034b769204ced6fc
/ras_blobs/12bfe642md5,1,b24aa50bb6c0bf04eb9a4d06764b7f66
/ras_blobs/848f0d7bmd5,1,42c7caeaebafb467016d8b819b5010f4
/ras_blobs/5520e115location,1,/data/user/0/com.facebook.katana/app_ras_blobs/5520e115
/ras_blobs/69c7fc9alocation,1,/data/user/0/com.facebook.katana/app_ras_blobs/69c7fc9a
/ras_blobs/321fe26clocation,1,/data/user/0/com.facebook.katana/app_ras_blobs/321fe26c
/ras_blobs/12bfe642location,1,/data/user/0/com.facebook.katana/app_ras_blobs/12bfe642
/ras_blobs/4d027b29location,1,/data/user/0/com.facebook.katana/app_ras_blobs/4d027b29
/ras_blobs/aba1e93clocation,1,/data/user/0/com.facebook.katana/app_ras_blobs/aba1e93c
/ras_blobs/3093fa4dmd5,1,f36d9d57e6cb1a576d7513d5788e833f
/ras_blobs/6ead088bmd5,1,385cb0905c69612536f5cdd3dd939352
/ras_blobs/d7aeff6fmd5,1,2b10800da9a5a82573ec9ab39aa715b0
/ras_blobs/aba1e93cmd5,1,d2c00dc349a97fd4b26881e51ed21fd3
/ras_blobs/6db870d6location,1,/data/user/0/com.facebook.katana/app_ras_blobs/6db870d6
/ras_blobs/95781182md5,1,f38de9f3bc7264dec992c0f71a73740b
/ras_blobs/a2d55ed4md5,1,43b69112bb354275b397e5de7cdc4a4a
/ras_blobs/e839be71md5,1,98ab92a14df8fbdb6d1919f591c7c172
/ras_blobs/2d6d031emd5,1,09e0848810ca62b8e6b0c22de62dcd50
/ras_blobs/6db870d6md5,1,96ccb05a147e3a0e76a4ccef9241eb29
/ras_blobs/1489fb6amd5,1,4b160e001f0b9ef5de7ac8b6534e32bd
/ras_blobs/544e54d7md5,1,22b638ba558fef0469cff091dfa55b09
/ras_blobs/4a4f0167md5,1,3239e1a70d3abf75c2ded90ca5e8a2b8
/ras_blobs/c92570c9location,1,/data/user/0/com.facebook.katana/app_ras_blobs/c92570c9
/ras_blobs/cd278c86location,1,/data/user/0/com.facebook.katana/app_ras_blobs/cd278c86
/ras_blobs/8bac6d19md5,1,77553bf8744114c5d0080ee3103e1465
/cp_suggestions/prefill_cache,1,"{""autocomplete"":[],""prefill"":[]}"
/config/offlineexperiment/values/fb4a_reorder_cp_pw,3,9487
/cp_suggestions/last_fetch_time,4,1617501540677
/cp_suggestions/conf_cache,1,"{""autocomplete"":[],""prefill"":[]}"
/config/offlineexperiment/values/fb4a_universe1_experiment2/universe,1,4500-6499
/config/offlineexperiment/exposed/fb4a_universe1_experiment2,2,1
/runtime_permissions/permission_requestedandroid.permission.READ_CONTACTS,2,1
/runtime_permissions/permission_requestedandroid.permission.GET_ACCOUNTS,2,1
/runtime_permissions/permission_requestedandroid.permission.READ_PHONE_STATE,2,1
/config/offlineexperiment/values/fb4a_add_age_indication_dob_v2,3,1181
/config/offlineexperiment/exposed/fb4a_add_age_indication_dob_v2,2,1
/config/offlineexperiment/values/fb4a_reg_consent_ux_standard_v3,3,5546
/config/offlineexperiment/exposed/fb4a_reg_consent_ux_standard_v3,2,1
/google_accounts,1,"[""heisenbergcarro@gmail.com""]"
/growth/reg_ccu_terms_accepted/100065791655767,2,1
/auth/auth_machine_id,1,qh1pYLrWbZ6YMOQrbRzN3Cm8
/new_reg_userid,1,100065791655767
/fb_android/survey_platform/survey_cool_down197431424163887,4,1617501620954
/prefs/username_stored_in_account_manager,2,0
/settings/rti/mqtt/mqtt_radio_active_time/last_log_ms,4,24803073
/100065791655767/settings/is_presence_enabled_migrated,2,1
/tosacceptance/state,3,2
LatIsTrackingEnabled,2,1
/messenger/processed_logout_notification,2,0
/zero_sdk/status_update,1,"{""configs"":[],""states"":[],""enabled"":false}"
/prefs_user_id,1,100065791655767
LatUserId,4,100065791655767
/settings/browser/safe_browsing_omnistore_whitelist_version_hash,1,"{""signature"":""20493e8c893d083b04bf472894045348""}"
/settings/dbl/pw_save_option_counters/dbl_at_reg/100065791655767,3,1
/privacy/default_privacy_option_tree_model,1,
LatPreviousAdvertisingId,1,e95cbea8-2b52-4c5c-9135-249e58309511
/fb_android/last_login_time,4,1617501623456
/settings/dbl/pw_save_option_counters/total/100065791655767,3,1
/settings/browser/google_safe_browsing_user_pref,2,1
/config/path_provider/eviction.v2/-1274830521,1,"{""size_config"":{""max_size"":131072,""max_size_low_space_bytes"":131072,""max_size_very_low_space_bytes"":131072,""delete_only_on_init"":false},""staleness_config"":{""stale_age_s"":5184000},""eviction_type"":""stash"",""cache_name"":""composer_sprouts_cache_storage"",""feature_name"":""composer_sprouts_cache_storage"",""path"":""\/data\/user\/0\/com.facebook.katana\/app_composer_sprouts_cache_storage\/100065791655767""}"
/messenger/in_app_notification_restrict_preview/update_version_key,3,281505406
/fb_android/marketplace_tab_eligible_user_pref,1,100065791655767:true
/messenger/in_app_notification_restrict_preview/bool_value_key,2,0
/fb_android/ar_activation_registered_100065791655767,2,1
/settings/rti/mqtt/token_store/token_key,1,"{""k"":""eyJjayI6IjE5OTA3MzU2Njc4MDAyNyIsImFpIjo1NjczMTAyMDM0MTUwNTIsImRpIjoiZGNmNDlkOTctNGQ2Mi00M2M2LWI1MTgtOTQ5MmYwNjc1ZWRiIiwicG4iOiJjb20uZmFjZWJvb2sua2F0YW5hIn0="",""v"":0,""t"":""fbns-b64""}"
/fbns_lite/backoff_ms,4,30000
/fbns_lite/sub_type,3,3
/settings/dbl/nonce_update_failure_counter/100065791655767,3,0
/new_reg_education_last_timestamp,4,1617501630665
/growth/growth_ci_continuous_sync/100065791655767,2,1
/messages/ui_counters/interstitial_views/1630/timestamp,4,1617501634064
/messages/ui_counters/interstitial_views/1630/count,3,1
/growth/friendfinder/persistent_legal_approved/100065791655767,2,1
/contacts_ccu_upload/last_upload_client_root_hash,1,58cd9778cc6542471731c09040e76613d6d6a7720871d53b6724ea3d50e905ca
/contacts_ccu_upload/last_upload_success_timestamp,4,1617501635557
/messages/ui_counters/interstitial_views/3931/timestamp,4,1617501648029
/settings/dbl/login_counter/100065791655767,3,2
/notifications/last_notif_tab_visit_time,4,-1
/settings/dbl/account_last_access/100065791655767,1,1617501647825
/inspiration_prefs/inspiration_cached_msqrd_compression_capabilies_value,1,etc2_compression
/on_login_gms_dialog_seen100065791655767,2,1
