_id,name,user,value
1,lockscreen.disabled,0,0
2,migrated,0,true
3,migrated_user_specific,0,true
4,lockscreen.password_type_alternate,0,0
5,migrated_biometric_weak,0,true
6,migrated_lockscreen_disabled,0,true
7,migrated_frp,0,1
16,lockscreen.token,0,134E251C18
17,enable-sp-for-fbe,0,1
18,enable-sp-for-keystore,0,1
19,sp-handle,0,-1460411722787846819
20,prev-sp-handle,0,7244814171882390782
21,sp-handle-ts,0,1617477740785
22,enable-sp-for-system,0,1
23,lockscreen.profilechallenge,0,1
24,lockscreen.passwordhistory,0,
40,lockscreen.istrustusuallymanaged,0,1
430,3locked,0,0
1888,lockscreen.token,1000,E0E7FD4E5F
1889,enable-sp-for-fbe,1000,1
1890,enable-sp-for-keystore,1000,1
1891,sp-handle,1000,3168265037132442573
1892,prev-sp-handle,1000,-3845786616844702337
1893,sp-handle-ts,1000,1623689527881
3052,lockscreen.enabledtrustagents,0,"com.google.android.gms/.auth.trustagent.GoogleTrustAgent,com.samsung.android.bixby.wakeup/com.samsung.android.voicewakeup.util.WakeupTrustAgentService,com.samsung.android.service.aircommand/.remotespen.unlock.RemoteSpenTrustAgentService"
3713,lockscreen.failed_attempts,0,0
3714,lockscreen.lockout_biometric_attempt_timeoutms,0,0
3715,lockscreen.lockout_biometric_attempt_deadline,0,0
3716,lockscreen.failed_fmm_attempts,0,0
3718,sp-handle-try,0,
