_id,mccmnc,gid1,gid2,plmn,imsi_prefix_xpattern,spn,apn,iccid_prefix,privilege_access_rule,carrier_name,carrier_id,parent_carrier_id
1,310026,,,,,,,,,T-Mobile - US,1,-1
2,310160,,,,,,,,,T-Mobile - US,1,-1
3,310200,,,,,,,,,T-Mobile - US,1,-1
4,310210,,,,,,,,,T-Mobile - US,1,-1
5,310220,,,,,,,,,T-Mobile - US,1,-1
6,310230,,,,,,,,,T-Mobile - US,1,-1
7,310240,,,,,,,,,T-Mobile - US,1,-1
8,310250,,,,,,,,,T-Mobile - US,1,-1
9,310260,,,,,,,,,T-Mobile - US,1,-1
10,31026,,,,,,,,,T-Mobile - US,1,-1
11,310270,,,,,,,,,T-Mobile - US,1,-1
12,310300,,,,,,,,,T-Mobile - US,1,-1
13,310310,,,,,,,,,T-Mobile - US,1,-1
14,310490,,,,,,,,,T-Mobile - US,1,-1
15,310530,,,,,,,,,T-Mobile - US,1,-1
16,310590,,,,,,,,,T-Mobile - US,1,-1
17,310640,,,,,,,,,T-Mobile - US,1,-1
18,310660,,,,,,,,,T-Mobile - US,1,-1
19,310800,,,,,,,,,T-Mobile - US,1,-1
20,23430,,,,2343041,,,,,EE,2,-1
21,23430,ee,,,,,,,,EE,2,-1
22,23430,eeff,,,,,,,,EE,2,-1
23,26201,01,,,,,,,,Telekom,3,-1
24,26201,02,,,,,,,,Telekom,3,-1
25,26201,03,,,,,,,,Telekom,3,-1
26,26201,04,,,,,,,,Telekom,3,-1
27,26201,99,,,,,,,,Telekom,3,-1
28,26201,4b,,,,,,,,Telekom,3,-1
29,26206,01,,,,,,,,Telekom,3,-1
30,26206,02,,,,,,,,Telekom,3,-1
31,26206,03,,,,,,,,Telekom,3,-1
32,26206,04,,,,,,,,Telekom,3,-1
33,26206,99,,,,,,,,Telekom,3,-1
34,26206,4b,,,,,,,,Telekom,3,-1
35,26201,,,,,telekom.de,,,,Telekom,3,-1
36,26201,,,,,t-mobile d,,,,Telekom,3,-1
37,26201,,,,,business,,,,Telekom,3,-1
38,26201,,,,,privat,,,,Telekom,3,-1
39,26206,,,,,telekom.de,,,,Telekom,3,-1
40,26206,,,,,t-mobile d,,,,Telekom,3,-1
41,26206,,,,,business,,,,Telekom,3,-1
42,26206,,,,,privat,,,,Telekom,3,-1
43,23203,01,,,,,,,,T-Mobile/tele.ring,4,-1
44,23203,31,,,,,,,,T-Mobile/tele.ring,4,-1
45,23203,32,,,,,,,,T-Mobile/tele.ring,4,-1
46,23207,,,,999999,,,,,T-Mobile/tele.ring,4,-1
47,20416,ff,,,,,,,,T-Mobile,5,-1
48,20420,ff,,,,,,,,T-Mobile,5,-1
49,20416,,,,,t-mobile  nl,,,,T-Mobile,5,-1
50,20420,,,,,t-mobile  nl,,,,T-Mobile,5,-1
51,23001,,,,,t-mobile cz,,,,T-Mobile,6,-1
52,23001,,,,,kaktus,,,,T-Mobile,6,-1
