group_id,current_cursor,sync_status,sync_params,send_sync_params,min_time_to_sync_timestamp_ms,can_ignore_timestamp,sync_channel,priority,last_sync_request_timestamp_ms,last_sync_completed_timestamp_ms,region_hint,data_trace_id,init_trace_timestamp_ms,bg_mode
1,,1,"{""full_height"":2064,""full_width"":1080,""locale"":""en_US"",""preview_height"":1032,""preview_width"":540,""scale"":2.625,""sticker_height"":619,""sticker_width"":324}",1,4102473600000,0,2,0,0,0,,,,2
2,,1,"{""profile_large_width"":262,""profile_width"":157}",1,4102473600000,0,1,0,0,0,,,,2
6,,1,,1,4102473600000,0,1,0,0,0,,,,0
7,,1,,1,4102473600000,0,1,0,0,0,,,,2
8,FvTjzY8MFiQcLBgAGAAAAAA,2,"{""locale"":""en_US"",""query"":""ls_waterfall_sampling:should_log_waterfall|ios_lightspeed_data_trace_config:append_trace_id_to_topic:message_send_trace_sample_rate:rich_media_download_sample_rate:rich_media_upload_sample_rate:securemessage_send_trace_sample_rate:sync_client_mode_enabled:sync_group_contact_enabled:sync_group_experiment_enabled:sync_group_mailbox_enabled:sync_group_securemailbox_enabled:sync_group_settings_enabled:sync_group_stories_enabled:task_client_mode_enabled:task_client_mode_tincan_act_enabled:task_label_10005_request_id_sample_rate:task_label_145_request_id_sample_rate:task_label_145_send_trace_sample_rate:task_label_20001_send_trace_sample_rate:task_label_209_request_id_sample_rate:task_label_209_send_trace_sample_rate:task_label_228_request_id_sample_rate:task_label_228_send_trace_sample_rate:task_label_255_send_trace_sample_rate:task_label_46_request_id_sample_rate:task_label_4_send_trace_sample_rate:trace_time_window_ms|msys_sync_config:background_sync_optimization_enabled:minimal_sync_interval:skip_sync_when_no_mqtt:skip_sync_when_no_network:skip_task_when_no_network|msys_tam_trace_config:enable_tam_armadillo_group_action_trace:enable_tam_armadillo_media_download:enable_tam_armadillo_media_receive:enable_tam_armadillo_media_send:enable_tam_armadillo_message_send:enable_tam_carrier_message_send:enable_tam_message_receive_trace:enable_tam_message_send_trace|msys_tam_contact_sync:enable_tam_contact_sync|"",""query_hash"":""6f62bca4124c063555dd8be8843246188aedafdde703cb6362f7e320b9f2e989""}",0,1627000155542,0,2,0,0,1626978555542,ATN,,1626978555110.0,2
9,,1,,1,4102473600000,0,1,0,0,0,,,,2
16,dummy_cursor,2,,1,1627006760673,0,2,0,0,1626920360673,,,,2
27,Fs7Wxo8MFhYcLBgAGAAAABgAAA,2,,0,1627006760683,0,2,0,0,1626920360683,ATN,,,2
44,FggVSBolTlAYBWVuX1VTAA,2,,0,1626981695839,0,2,0,0,1626980795839,,,1626980795466.0,0
73,,1,,1,4102473600000,0,2,0,0,0,,,,2
