_id,event_id,name,value
1,1,product,d1que
2,1,net-type,0
3,1,mobile-subtype,13
4,1,os-uild,RP1A.200720.012
5,1,sdk-version,30
6,1,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
7,1,model,SM-N970U1
8,1,tz-offset,-14400
9,1,device,d1q
10,1,hardware,qcom
11,1,manufacturer,samsung
12,2,product,d1que
13,2,net-type,0
14,2,mobile-subtype,13
15,2,os-uild,RP1A.200720.012
16,2,sdk-version,30
17,2,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
18,2,model,SM-N970U1
19,2,tz-offset,-14400
20,2,device,d1q
21,2,hardware,qcom
22,2,manufacturer,samsung
23,3,product,d1que
24,3,net-type,0
25,3,mobile-subtype,13
26,3,os-uild,RP1A.200720.012
27,3,sdk-version,30
28,3,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
29,3,model,SM-N970U1
30,3,tz-offset,-14400
31,3,device,d1q
32,3,hardware,qcom
33,3,manufacturer,samsung
34,4,product,d1que
35,4,net-type,0
36,4,mobile-subtype,13
37,4,os-uild,RP1A.200720.012
38,4,sdk-version,30
39,4,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
40,4,model,SM-N970U1
41,4,tz-offset,-14400
42,4,device,d1q
43,4,hardware,qcom
44,4,manufacturer,samsung
45,5,product,d1que
46,5,net-type,0
47,5,mobile-subtype,13
48,5,os-uild,RP1A.200720.012
49,5,sdk-version,30
50,5,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
51,5,model,SM-N970U1
52,5,tz-offset,-14400
53,5,device,d1q
54,5,hardware,qcom
55,5,manufacturer,samsung
56,6,product,d1que
57,6,net-type,0
58,6,mobile-subtype,13
59,6,os-uild,RP1A.200720.012
60,6,sdk-version,30
61,6,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
62,6,model,SM-N970U1
63,6,tz-offset,-14400
64,6,device,d1q
65,6,hardware,qcom
66,6,manufacturer,samsung
67,7,product,d1que
68,7,net-type,0
69,7,mobile-subtype,13
70,7,os-uild,RP1A.200720.012
71,7,sdk-version,30
72,7,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
73,7,model,SM-N970U1
74,7,tz-offset,-14400
75,7,device,d1q
76,7,hardware,qcom
77,7,manufacturer,samsung
78,8,product,d1que
79,8,net-type,0
80,8,mobile-subtype,13
81,8,os-uild,RP1A.200720.012
82,8,sdk-version,30
83,8,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
84,8,model,SM-N970U1
85,8,tz-offset,-14400
86,8,device,d1q
87,8,hardware,qcom
88,8,manufacturer,samsung
89,9,product,d1que
90,9,net-type,0
91,9,mobile-subtype,13
92,9,os-uild,RP1A.200720.012
93,9,sdk-version,30
94,9,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
95,9,model,SM-N970U1
96,9,tz-offset,-14400
97,9,device,d1q
98,9,hardware,qcom
99,9,manufacturer,samsung
100,10,product,d1que
101,10,net-type,0
102,10,mobile-subtype,13
