nLunarMonth,nLunarYear,nGregorianMonth,nGregorianDay,nGregorianYear,CultureId
1,2012,1,23,2012,4
2,2012,2,22,2012,4
3,2012,3,22,2012,4
4,2012,4,21,2012,4
5,2012,6,19,2012,4
6,2012,7,19,2012,4
7,2012,8,17,2012,4
8,2012,9,16,2012,4
9,2012,10,15,2012,4
10,2012,11,14,2012,4
11,2012,12,13,2012,4
12,2012,1,12,2013,4
1,2013,2,10,2013,4
2,2013,3,12,2013,4
3,2013,4,10,2013,4
4,2013,5,10,2013,4
5,2013,6,8,2013,4
6,2013,7,8,2013,4
7,2013,8,7,2013,4
8,2013,9,5,2013,4
9,2013,10,5,2013,4
10,2013,11,3,2013,4
11,2013,12,3,2013,4
12,2013,1,1,2014,4
1,2014,1,31,2014,4
2,2014,3,1,2014,4
3,2014,3,31,2014,4
4,2014,4,29,2014,4
5,2014,5,29,2014,4
6,2014,6,27,2014,4
7,2014,7,27,2014,4
8,2014,8,25,2014,4
9,2014,9,24,2014,4
10,2014,11,22,2014,4
11,2014,12,22,2014,4
12,2014,1,20,2015,4
1,2015,2,19,2015,4
2,2015,3,20,2015,4
3,2015,4,19,2015,4
4,2015,5,18,2015,4
5,2015,6,16,2015,4
6,2015,7,16,2015,4
7,2015,8,14,2015,4
8,2015,9,13,2015,4
9,2015,10,13,2015,4
10,2015,11,12,2015,4
11,2015,12,11,2015,4
12,2015,1,10,2016,4
1,2016,2,8,2016,4
2,2016,3,9,2016,4
3,2016,4,7,2016,4
4,2016,5,7,2016,4
5,2016,6,5,2016,4
6,2016,7,4,2016,4
7,2016,8,3,2016,4
8,2016,9,1,2016,4
9,2016,10,1,2016,4
10,2016,10,31,2016,4
11,2016,11,29,2016,4
12,2016,12,29,2016,4
1,2017,1,28,2017,4
