_id,event_id,time_stamp,extra
2053,9000,1626723938187,"126, 1626464738184"
2054,14,1626723938201,false
2055,7,1626723938204,false
2056,22000,1626723938212,
2057,22002,1626723938214,
2058,9,1626723938206,false
2059,5,1626723938218,false
2060,15000,1626723938244,  SCPMInitialize
2061,15000,1626723938252,is SCPM Client existed ? true
2062,9000,1626742451300,"9, 1626483251297"
2063,14,1626742451321,true
2064,19,1626742451326,android.intent.action.ACTION_POWER_CONNECTED
2065,9000,1626742451330,"0, 1064"
2066,9000,1626742451333,"0, 1626483251332"
2067,15002,1626742451337, KEY_EULA_NOTIFICATION_Done is true
2068,12,1626742451391,
2069,12,1626742451392,
2070,7,1626742451424,false
2071,9,1626742451427,false
2072,7,1626742451426,false
2073,5,1626742451429,false
2074,9,1626742451430,false
2075,5,1626742451432,false
2076,22000,1626742451451,
2077,22002,1626742451453,
2078,15000,1626742451491,  SCPMInitialize
2079,15000,1626742451506,is SCPM Client existed ? true
2080,19,1626746205363,android.intent.action.ACTION_POWER_DISCONNECTED
2081,9000,1626746205396,"0, 1080"
2082,11,1626746205409,false
2083,13,1626746205418,
2084,9000,1626746205410,"0, 1626487005407"
2085,7,1626746205437,false
2086,9,1626746205440,false
2087,5,1626746205442,false
2088,14,1626746205516,false
2089,22000,1626746205520,
2090,22002,1626746205523,
2091,7,1626746205541,false
2092,9,1626746205548,false
2093,5,1626746205555,false
2094,15000,1626746205579,  SCPMInitialize
2095,15000,1626746205591,is SCPM Client existed ? true
2096,9000,1626807320678,"0, 1626548120674"
2097,14,1626807320695,false
2098,7,1626807320699,false
2099,9,1626807320700,false
2100,5,1626807320702,false
2101,22000,1626807320702,
2102,22002,1626807320704,
2103,15000,1626807320735,  SCPMInitialize
2104,15000,1626807320743,is SCPM Client existed ? true
2105,19,1626878341156,android.intent.action.ACTION_POWER_CONNECTED
2106,9000,1626878341166,"0, 1105"
2107,9000,1626878341170,"0, 1626619141164"
2108,9000,1626878341170,"0, 1626619141168"
2109,14,1626878341180,true
2110,12,1626878341199,
2111,7,1626878341203,false
2112,9,1626878341204,false
2113,5,1626878341205,false
2114,15002,1626878341199, KEY_EULA_NOTIFICATION_Done is true
2115,12,1626878341215,
2116,7,1626878341219,false
2117,9,1626878341222,false
2118,5,1626878341225,false
2119,22000,1626878341281,
2120,22002,1626878341295,
2121,15000,1626878341377,  SCPMInitialize
2122,15000,1626878341426,is SCPM Client existed ? true
2123,19,1626883178041,android.intent.action.ACTION_POWER_DISCONNECTED
2124,9000,1626883178050,"0, 1123"
2125,9000,1626883178060,"0, 1626623978057"
2126,14,1626883178074,false
2127,11,1626883178066,false
2128,13,1626883178094,
2129,7,1626883178094,false
2130,9,1626883178098,false
2131,5,1626883178103,false
2132,7,1626883178103,false
2133,9,1626883178110,false
2134,5,1626883178114,false
2135,22000,1626883178136,
2136,22002,1626883178139,
2137,15000,1626883178178,  SCPMInitialize
2138,15000,1626883178189,is SCPM Client existed ? true
2139,19,1626884044065,android.intent.action.ACTION_POWER_CONNECTED
2140,9000,1626884044086,"0, 1139"
2141,9000,1626884044095,"0, 1626624844093"
2142,15002,1626884044109, KEY_EULA_NOTIFICATION_Done is true
2143,12,1626884044137,
2144,7,1626884044142,false
2145,9,1626884044150,false
2146,5,1626884044192,false
2147,19,1626898613680,android.intent.action.ACTION_POWER_DISCONNECTED
2148,9000,1626898613688,"0, 1147"
2149,9000,1626898613688,"0, 1626639413686"
2150,11,1626898613689,false
2151,13,1626898613697,
2152,14,1626898613705,false
2153,7,1626898613712,false
2154,9,1626898613723,false
2155,7,1626898613712,false
2156,9,1626898613725,false
2157,5,1626898613729,false
2158,5,1626898613725,false
2159,22000,1626898613779,
2160,22002,1626898613782,
2161,15000,1626898613857,  SCPMInitialize
2162,15000,1626898613901,is SCPM Client existed ? true
2163,9000,1626923682117,"0, 1626664482115"
2164,14,1626923682134,false
2165,22000,1626923682140,
2166,7,1626923682144,false
2167,9,1626923682146,false
2168,22002,1626923682143,
2169,5,1626923682149,false
2170,15000,1626923682187,  SCPMInitialize
2171,15000,1626923682201,is SCPM Client existed ? true
2172,19,1626980811217,android.intent.action.ACTION_POWER_CONNECTED
2173,9000,1626980811243,"0, 1626721611240"
2174,9000,1626980811236,"0, 1172"
2175,9000,1626980811252,"0, 1626721611250"
2176,14,1626980811257,true
2177,15002,1626980811261, KEY_EULA_NOTIFICATION_Done is true
2178,12,1626980811297,
2179,12,1626980811301,
2180,7,1626980811323,false
2181,7,1626980811323,false
2182,9,1626980811328,false
2183,5,1626980811331,false
2184,9,1626980811329,false
2185,5,1626980811335,false
2186,22000,1626980811369,
2187,22002,1626980811372,
2188,15000,1626980811408,  SCPMInitialize
2189,15000,1626980811424,is SCPM Client existed ? true
2190,19,1626980823169,android.intent.action.ACTION_POWER_DISCONNECTED
2191,9000,1626980823182,"0, 1190"
2192,11,1626980823188,false
2193,13,1626980823226,
2194,7,1626980823232,false
2195,9,1626980823235,false
2196,5,1626980823239,false
2197,19,1626980825543,android.intent.action.ACTION_POWER_CONNECTED
2198,9000,1626980825563,"0, 1197"
2199,9000,1626980825575,"0, 1626721625574"
2200,15002,1626980825595, KEY_EULA_NOTIFICATION_Done is true
2201,12,1626980825624,
2202,7,1626980825628,false
2203,9,1626980825631,false
2204,5,1626980825633,false
2205,19,1626980911570,android.intent.action.ACTION_POWER_DISCONNECTED
2206,9000,1626980911583,"0, 1205"
2207,9000,1626980911583,"0, 1626721711581"
2208,11,1626980911585,false
2209,14,1626980911590,false
2210,13,1626980911592,
2211,7,1626980911598,false
2212,7,1626980911600,false
2213,9,1626980911603,false
2214,9,1626980911603,false
2215,5,1626980911608,false
2216,5,1626980911608,false
2217,22000,1626980911627,
2218,22002,1626980911632,
2219,15000,1626980911662,  SCPMInitialize
2220,15000,1626980911672,is SCPM Client existed ? true
2221,9000,1626980997912,"0, 1626721797910"
2222,19,1626980997898,android.intent.action.ACTION_POWER_CONNECTED
2223,9000,1626980997915,"0, 1222"
2224,9000,1626980997923,"0, 1626721797921"
2225,14,1626980997925,true
2226,15002,1626980997934, KEY_EULA_NOTIFICATION_Done is true
2227,12,1626980997936,
2228,7,1626980997943,false
2229,9,1626980997945,false
2230,12,1626980997948,
2231,5,1626980997949,false
2232,7,1626980997956,false
2233,9,1626980997961,false
2234,5,1626980997965,false
2235,22000,1626980997998,
2236,22002,1626980998012,
2237,15000,1626980998051,  SCPMInitialize
2238,15000,1626980998066,is SCPM Client existed ? true
2239,19,1626981048179,android.intent.action.ACTION_POWER_DISCONNECTED
2240,9000,1626981048189,"0, 1239"
2241,11,1626981048203,false
2242,13,1626981048210,
2243,7,1626981048214,false
2244,9,1626981048216,false
2245,5,1626981048218,false
2246,19,1626981057175,android.intent.action.ACTION_POWER_CONNECTED
2247,9000,1626981057188,"0, 1246"
2248,9000,1626981057196,"0, 1626721857193"
2249,15002,1626981057215, KEY_EULA_NOTIFICATION_Done is true
2250,12,1626981057232,
2251,7,1626981057236,false
2252,9,1626981057239,false
2253,5,1626981057241,false
2254,19,1626981116835,android.intent.action.ACTION_POWER_DISCONNECTED
2255,9000,1626981116840,"0, 1254"
2256,11,1626981116842,false
2257,13,1626981116858,
2258,7,1626981116870,false
2259,9,1626981116872,false
2260,5,1626981116874,false
2261,19,1626981124920,android.intent.action.ACTION_POWER_CONNECTED
2262,9000,1626981124933,"0, 1261"
2263,9000,1626981124939,"0, 1626721924936"
2264,15002,1626981124953, KEY_EULA_NOTIFICATION_Done is true
2265,12,1626981124973,
2266,7,1626981124978,false
2267,9,1626981124989,false
2268,5,1626981124991,false
2269,19,1626981143040,android.intent.action.ACTION_POWER_DISCONNECTED
2270,9000,1626981143063,"0, 1269"
2271,11,1626981143066,false
2272,13,1626981143081,
2273,7,1626981143085,false
2274,9,1626981143087,false
2275,5,1626981143088,false
2276,19,1626981145802,android.intent.action.ACTION_POWER_CONNECTED
2277,9000,1626981145806,"0, 1276"
2278,9000,1626981145812,"0, 1626721945808"
2279,15002,1626981145824, KEY_EULA_NOTIFICATION_Done is true
2280,12,1626981145869,
2281,7,1626981145879,false
2282,9,1626981145882,false
2283,5,1626981145884,false
2284,19,1626981314999,android.intent.action.ACTION_POWER_DISCONNECTED
2285,9000,1626981315004,"0, 1284"
2286,11,1626981315006,false
2287,13,1626981315033,
2288,7,1626981315038,false
2289,9,1626981315050,false
2290,5,1626981315055,false
2291,19,1626981323329,android.intent.action.ACTION_POWER_CONNECTED
2292,9000,1626981323340,"0, 1291"
2293,9000,1626981323346,"0, 1626722123345"
2294,15002,1626981323354, KEY_EULA_NOTIFICATION_Done is true
2295,12,1626981323363,
2296,7,1626981323382,false
2297,9,1626981323387,false
2298,5,1626981323397,false
