mcc,emcall,heatsensing
234,112,112
235,112,112
272,112,112
262,112,112
208,112,112
222,112,112
901,112,112
214,112,112
204,112,112
362,112,112
206,112,112
270,112,112
240,112,112
244,112,112
238,112,112
242,112,112
228,112,118
295,112,118
232,112,112
268,112,112
260,112,112
216,112,112
230,112,112
231,112,112
202,112,112
280,112,112
284,112,112
226,112,112
218,112,112
219,112,112
294,112,112
297,112,112
220,112,112
218,112,123
276,129,129
212,112,112
293,112,112
247,112,112
248,112,112
246,112,112
290,112,112
250,112,112
283,911,101
400,911,101
282,112,111
255,112,101
434,1050,101
437,161,101
401,112,101
436,111,101
438,112,101
428,105,101
525,112,112
505,000,000
530,111,111
502,999,999
510,911,113
466,110,119
452,113,114
520,112,199
456,119,118
414,199,191
457,02056668825,1190
404,100,101
405,100,101
429,100,101
470,999,199
413,911,111
603,14,14
602,911,911
432,125,125
425,102,101
604,15,15
410,1122,1122
412,119,119
420,911,998
416,112,112
418,112,112
415,112,112
417,112,112
425,112,112
286,112,110
424,999,997
427,999,999
419,112,112
426,999,997
422,9999,9999
421,199,199
605,197,198
606,193,190
631,113,115
652,999,998
651,121,122
646,117,117
650,997,999
617,999,115
643,117,119
649,112,112
647,15,18
645,112,112
639,999,999
640,112,112
641,999,999
634,999,999
659,999,999
608,999,999
630,112,112
621,911,911
608,18,18
613,18,18
610,18,18
614,18,18
621,18,18
609,18,18
607,118,118
620,191,192
612,180,180
624,118,118
655,112,112
724,190,193
334,911,911
722,911,911
744,911,132
748,911,911
730,133,132
732,112,112
716,105,116
330,911,911
366,911,911
370,911,911
338,911,911
374,911,911
736,112,112
734,112,112
714,911,911
710,118,118
708,911,911
704,122,122
706,911,911
740,911,911
310,911,911
311,911,911
313,911,911
316,911,911
302,911,911
450,119,119
440,119,119
460,119,119
454,999,999
