_id,media_id,sec_media_id,uri,_data,share_count,isUsedAsWallpaper,_size,format,date_added,date_modified,mime_type,title,description,_display_name,orientation,latitude,longitude,datetaken,mini_thumb_magic,bucket_id,bucket_display_name,isprivate,media_type,storage_id,is_drm,width,height,is_favorite,spherical_mosaic,addr,sef_file_type,device_id,duplicate_id,image_clusterid,image_quality,image_screener,storage_type,deleted,resolution,tags,category,language,resumePos,isPlayed,is_360_video,duration,bookmark,artist,album,recordingtype,recording_mode,serviceflag,reusable,face_count,scan_pri,group_id,just_shot,best_image,group_index,is_duplicate,video_codec_info,audio_codec_info,picasa_id,type3dvideo,video_view_mode,smartcrop_rect,smartcrop_rect_ratio,sef_file_sub_type,sef_file_types,image_url,vendor,cloud_id,is_cloud,cloud_thumb_path,cloud_server_id,cloud_revision,file_status,cloud_server_path,cloud_cached_path,cloudCachePath,original_size,original_filepath,original_fileid,article_id,item_owner_name,item_owner_number,item_public_url,is_hdr10_video,is_hide,face_retry_count,ip_retry_count,cloud_original_size,gis_rect,is_mount,burst_group_id,timestamp,group_type,color_detected,action_detected,revital_image_tag,dynamic_view_info,video_service_flag,cmh_timestamp,revitalized_type,revitalized_time,revitalized_path
1,24,2147483649,content://secmedia/media/2147483649,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210403-151343_Google Play services.jpg,0,0,218053,14336,1617477223,1617477223,image/jpeg,Screenshot_20210403-151343_Google Play services,,Screenshot_20210403-151343_Google Play services.jpg,,,,1617477223532,,-1313584517,Screenshots,,1,65537,0,1080,2280,0,,,,1,,0.0,1.0,"blur=0.101709,brightnessMean=0.953203,contrast=0.757813,featureNumber=0.391532,featurePointDistribution=0.713380,motionBlur=0.357249,outFocusBackground=0.914628,overExposure=0.541420,skylineIncline=0.011577,underExposure=0.000000,totalQuality=1.000000",,,1080×2280,,,,,,,,,,,,,1518535426,,0,1,2147483649,0,0.0,,0,,,,,,"861,975,1077,2277,0,975,1080,2055,0,840,1080,2280,0,975,1080,1785,0,360,1080,2280,0,975,1080,1584","0.7972222,0.4276316,0.99722224,0.9986842,0.0,0.4276316,1.0,0.9013158,0.0,0.36842105,1.0,1.0,0.0,0.4276316,1.0,0.78289473,0.0,0.15789473,1.0,1.0,0.0,0.4276316,1.0,0.69473684",,,,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,-1617477246422,1621401138668,2.0,white,,0,,0,,,,
2,25,2147483650,content://secmedia/media/2147483650,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210403-151347_Google Play services.jpg,0,0,217903,14336,1617477227,1617477227,image/jpeg,Screenshot_20210403-151347_Google Play services,,Screenshot_20210403-151347_Google Play services.jpg,,,,1617477227693,,-1313584517,Screenshots,,1,65537,0,1080,2280,0,,,,1,,0.0,1.0,"blur=0.101709,brightnessMean=0.953165,contrast=0.757813,featureNumber=0.391115,featurePointDistribution=0.715982,motionBlur=0.355636,outFocusBackground=0.914947,overExposure=0.541427,skylineIncline=0.011577,underExposure=0.000000,totalQuality=1.000000",,,1080×2280,,,,,,,,,,,,,1518535426,,0,1,2147483650,0,1.0,,0,,,,,,"846,975,1077,2277,0,975,1080,2055,0,840,1080,2280,0,975,1080,1785,0,360,1080,2280,0,975,1080,1584","0.78333336,0.4276316,0.99722224,0.9986842,0.0,0.4276316,1.0,0.9013158,0.0,0.36842105,1.0,1.0,0.0,0.4276316,1.0,0.78289473,0.0,0.15789473,1.0,1.0,0.0,0.4276316,1.0,0.69473684",,,,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,-1617477246422,1621401138658,2.0,white,,0,,0,,,,
3,26,2147483651,content://secmedia/media/2147483651,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210404-230325_Instagram.jpg,0,0,553215,14336,1617591805,1617591805,image/jpeg,Screenshot_20210404-230325_Instagram,,Screenshot_20210404-230325_Instagram.jpg,,,,1617591805389,,-1313584517,Screenshots,,1,65537,0,1080,2280,0,,,,1,,4.0,1.0,"blur=0.316321,brightnessMean=0.591515,contrast=0.882813,featureNumber=0.415658,featurePointDistribution=0.594387,motionBlur=0.277067,outFocusBackground=0.816005,overExposure=0.034992,skylineIncline=0.022282,underExposure=0.037280,totalQuality=1.000000",,,1080×2280,,,,,,,,,,,,,1518535426,,0,1,2147483651,0,,,0,,,,,,"306,813,885,1302,0,762,1080,1842,0,810,1080,2250,0,762,1080,1572,0,54,1080,1974,0,693,1080,1302","0.28333333,0.35657895,0.8194444,0.5710526,0.0,0.33421052,1.0,0.80789477,0.0,0.35526314,1.0,0.9868421,0.0,0.33421052,1.0,0.6894737,0.0,0.023684211,1.0,0.8657895,0.0,0.30394736,1.0,0.5710526",,,,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621401138647,,cyan,,0,,0,,,,
4,27,2147483652,content://secmedia/media/2147483652,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210404-230333_Instagram.jpg,0,0,591397,14336,1617591813,1617591813,image/jpeg,Screenshot_20210404-230333_Instagram,,Screenshot_20210404-230333_Instagram.jpg,,,,1617591813048,,-1313584517,Screenshots,,1,65537,0,1080,2280,0,,,,1,,3.0,1.0,"blur=0.407756,brightnessMean=0.289968,contrast=0.875000,featureNumber=0.428775,featurePointDistribution=0.691179,motionBlur=0.082077,outFocusBackground=0.879071,overExposure=0.005853,skylineIncline=0.011577,underExposure=0.070111,totalQuality=1.000000",,,1080×2280,,,,,,,,,,,,,1518535442,,0,1,2147483652,0,,,0,,,,,,"384,894,810,1626,0,870,1080,1950,0,834,1080,2274,0,870,1080,1680,0,216,1080,2136,0,894,1080,1503","0.35555556,0.39210525,0.75,0.7131579,0.0,0.38157895,1.0,0.8552632,0.0,0.36578947,1.0,0.9973684,0.0,0.38157895,1.0,0.7368421,0.0,0.094736844,1.0,0.9368421,0.0,0.39210525,1.0,0.6592105",,,,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621401138626,,blackcyan,,0,,0,,,,
5,28,2147483653,content://secmedia/media/2147483653,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210404-230337_Instagram.jpg,0,0,750488,14336,1617591817,1617591817,image/jpeg,Screenshot_20210404-230337_Instagram,,Screenshot_20210404-230337_Instagram.jpg,,,,1617591817438,,-1313584517,Screenshots,,1,65537,0,1080,2280,0,,,,1,,2.0,1.0,"blur=0.334184,brightnessMean=0.529172,contrast=0.875000,featureNumber=0.479923,featurePointDistribution=0.811852,motionBlur=0.096924,outFocusBackground=0.906436,overExposure=0.019787,skylineIncline=0.022282,underExposure=0.050658,totalQuality=1.000000",,,1080×2280,,,,,,,,,,,,,1518535442,,0,1,2147483653,0,,,0,,,,,,"36,1140,771,2277,0,1140,1080,2220,0,840,1080,2280,0,1164,1080,1974,0,360,1080,2280,0,1245,1080,1854","0.033333335,0.5,0.7138889,0.9986842,0.0,0.5,1.0,0.9736842,0.0,0.36842105,1.0,1.0,0.0,0.5105263,1.0,0.8657895,0.0,0.15789473,1.0,1.0,0.0,0.54605263,1.0,0.8131579",,,,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621401138612,,cyancyan,,0,,0,,,,
6,29,2147483654,content://secmedia/media/2147483654,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210404-230340_Instagram.jpg,0,0,595074,14336,1617591820,1617591820,image/jpeg,Screenshot_20210404-230340_Instagram,,Screenshot_20210404-230340_Instagram.jpg,,,,1617591820167,,-1313584517,Screenshots,,1,65537,0,1080,2280,0,,,,1,,1.0,1.0,"blur=0.483920,brightnessMean=0.531963,contrast=0.871094,featureNumber=0.415135,featurePointDistribution=0.572195,motionBlur=0.042625,outFocusBackground=0.880040,overExposure=0.008495,skylineIncline=0.011577,underExposure=0.050678,totalQuality=1.000000",,,1080×2280,,,,,,,,,,,,,1518535426,,0,1,2147483654,0,,,0,,,,,,"306,486,1002,1302,0,222,1080,1302,0,486,1080,1926,0,486,1080,1296,0,324,1080,2244,0,486,1080,1095","0.28333333,0.21315789,0.92777777,0.5710526,0.0,0.09736842,1.0,0.5710526,0.0,0.21315789,1.0,0.8447368,0.0,0.21315789,1.0,0.56842107,0.0,0.14210527,1.0,0.98421055,0.0,0.21315789,1.0,0.48026314",,,,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621401138601,,cyansky_blue,,0,,0,,,,
7,30,2147483655,content://secmedia/media/2147483655,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210404-230352_Instagram.jpg,0,0,461471,14336,1617591832,1617591832,image/jpeg,Screenshot_20210404-230352_Instagram,,Screenshot_20210404-230352_Instagram.jpg,,,,1617591832180,,-1313584517,Screenshots,,1,65537,0,1080,2280,0,,,,1,,6.0,1.0,"blur=0.910657,brightnessMean=0.419748,contrast=0.882813,featureNumber=0.381128,featurePointDistribution=0.352908,motionBlur=0.122033,outFocusBackground=0.823689,overExposure=0.013466,skylineIncline=0.056140,underExposure=0.036878,totalQuality=0.999376",,,1080×2280,,,,,,,,,,,,,1518535426,,0,1,2147483655,0,,,0,,,,,,"36,1791,306,2277,0,1200,1080,2280,0,840,1080,2280,0,1470,1080,2280,0,360,1080,2280,0,1671,1080,2280","0.033333335,0.78552634,0.28333333,0.9986842,0.0,0.5263158,1.0,1.0,0.0,0.36842105,1.0,1.0,0.0,0.6447368,1.0,1.0,0.0,0.15789473,1.0,1.0,0.0,0.7328947,1.0,1.0",,,,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621401138563,,cyansky_blue,,0,,0,,,,
8,31,2147483656,content://secmedia/media/2147483656,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210404-230353_Instagram.jpg,0,0,561769,14336,1617591833,1617591833,image/jpeg,Screenshot_20210404-230353_Instagram,,Screenshot_20210404-230353_Instagram.jpg,,,,1617591833757,,-1313584517,Screenshots,,1,65537,0,1080,2280,0,,,,1,,5.0,1.0,"blur=0.277670,brightnessMean=0.524987,contrast=0.882813,featureNumber=0.401167,featurePointDistribution=0.280731,motionBlur=0.032266,outFocusBackground=0.839269,overExposure=0.010516,skylineIncline=0.022282,underExposure=0.050565,totalQuality=0.999973",,,1080×2280,,,,,,,,,,,,,1518535426,,0,1,2147483656,0,,,0,,,,,,"0,1626,654,2277,0,1200,1080,2280,0,840,1080,2280,0,1470,1080,2280,0,360,1080,2280,0,1626,1080,2235","0.0,0.7131579,0.60555553,0.9986842,0.0,0.5263158,1.0,1.0,0.0,0.36842105,1.0,1.0,0.0,0.6447368,1.0,1.0,0.0,0.15789473,1.0,1.0,0.0,0.7131579,1.0,0.9802632",,,,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621401138551,,cyansky_blue,,0,,0,,,,
10,33,2147483658,content://secmedia/media/2147483658,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210404-235212_Facebook.jpg,0,0,309264,14336,1617594732,1617594732,image/jpeg,Screenshot_20210404-235212_Facebook,,Screenshot_20210404-235212_Facebook.jpg,,,,1617594732388,,-1313584517,Screenshots,,1,65537,0,1080,2280,0,,,,1,,8.0,1.0,"blur=0.027332,brightnessMean=0.933849,contrast=0.523438,featureNumber=0.477070,featurePointDistribution=0.948649,motionBlur=0.422721,outFocusBackground=0.948819,overExposure=0.606046,skylineIncline=0.011577,underExposure=0.002455,totalQuality=0.999910",,,1080×2280,,,,,,,,,,,,,1518535426,,0,1,2147483658,0,,,0,,,,,,"114,570,1041,1545,0,465,1080,1545,0,267,1080,1707,0,651,1080,1461,0,54,1080,1974,0,732,1080,1341","0.10555556,0.25,0.9638889,0.67763156,0.0,0.20394737,1.0,0.67763156,0.0,0.11710526,1.0,0.7486842,0.0,0.2855263,1.0,0.64078945,0.0,0.023684211,1.0,0.8657895,0.0,0.32105264,1.0,0.5881579",,,,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621401138513,,white,,0,,0,,,,
11,35,2147483659,content://secmedia/media/2147483659,/storage/emulated/0/DCIM/Camera/20210407_025157.jpg,0,0,6917554,14336,1617778317,1617778317,image/jpeg,20210407_025157,,20210407_025157.jpg,90.0,,,1617778317373,,-1739773001,Camera,,1,65537,0,4032,3024,0,,,,1,,9.0,1.0,"blur=0.460505,brightnessMean=0.527686,contrast=0.875000,featureNumber=0.384690,featurePointDistribution=0.998369,motionBlur=0.335609,outFocusBackground=0.849995,overExposure=0.005209,skylineIncline=0.011577,underExposure=0.002751,totalQuality=1.000000",,,4032×3024,,,,,,,,,,,,,1522729746,,0,1,2147483659,0,,,0,,,,,,"432,648,4026,2592,432,0,3456,3024,0,0,4032,3024,432,0,2700,3024,0,426,4032,2694,468,0,2172,3024","0.10714286,0.21428572,0.9985119,0.85714287,0.10714286,0.0,0.85714287,1.0,0.0,0.0,1.0,1.0,0.10714286,0.0,0.66964287,1.0,0.0,0.14087301,1.0,0.890873,0.116071425,0.0,0.53869045,1.0",,",2721,",,,,1,,,,0,,,,0,,0,,,,,,,1,1,,,1,0,1621401138493,,sky_blue,,0,,0,,,,
