key,title,summary,icon_res_id,type,extra_uri,controller,fragment,screen_title,features_for_you,target
real_time_text,Real Time Text,,-1,1,command://com.samsung.accessibility.command/real_time_text,com.samsung.accessibility.hearing.RealTimeTextPreferenceController,com.samsung.accessibility.hearing.AccessibilitySettingsHearing,Hearing enhancements,0,none
hearing_aid_support,Hearing aid support,,-1,1,command://com.samsung.accessibility.command/hearing_aid_support,com.samsung.accessibility.hearing.HearingAidsPreferenceController,com.samsung.accessibility.hearing.AccessibilitySettingsHearing,Hearing enhancements,0,none
amplify_ambient_sound,Amplify ambient sound,,-1,1,command://com.samsung.accessibility.command/amplify_ambient_sound,com.samsung.accessibility.hearing.AmplifyAmbientSoundPreferenceController,com.samsung.accessibility.hearing.AccessibilitySettingsHearing,Hearing enhancements,1,none
adapt_sound,Adapt Sound,,-1,1,command://com.samsung.accessibility.command/adapt_sound,com.samsung.accessibility.hearing.AdaptSoundController,com.samsung.accessibility.hearing.AccessibilitySettingsHearing,Hearing enhancements,0,none
sound_balance,Left/right sound balance,Not used for calls.,2131230922,3,command://com.samsung.accessibility.command/sound_balance,com.samsung.accessibility.hearing.soundbalance.SoundBalancePreferenceController,com.samsung.accessibility.hearing.AccessibilitySettingsHearing,Hearing enhancements,1,routines
mono_audio_key,Mono audio,Play the same sound out of both speakers.,2131230919,2,command://com.samsung.accessibility.command/mono_audio_key,com.samsung.accessibility.hearing.MonoAudioPreferenceController,com.samsung.accessibility.hearing.AccessibilitySettingsHearing,Hearing enhancements,1,routines
all_sound_off_key,Mute all sounds,,2131230920,2,command://com.samsung.accessibility.command/all_sound_off_key,com.samsung.accessibility.hearing.MuteAllSoundsPreferenceController,com.samsung.accessibility.hearing.AccessibilitySettingsHearing,Hearing enhancements,1,routines
live_transcribe,Live transcribe,,-1,1,command://com.samsung.accessibility.command/live_transcribe,com.samsung.accessibility.hearing.LiveTranscribePreferenceController,com.samsung.accessibility.hearing.AccessibilitySettingsHearing,Hearing enhancements,0,none
speech_to_text_preference,Speech-to-text,,-1,1,command://com.samsung.accessibility.command/speech_to_text_preference,com.samsung.accessibility.hearing.SpeechToTextPreferenceController,com.samsung.accessibility.hearing.AccessibilitySettingsHearing,Hearing enhancements,0,none
live_caption,Live Caption,,-1,1,command://com.samsung.accessibility.command/live_caption,com.samsung.accessibility.hearing.LiveCaptionPreferenceController,com.samsung.accessibility.hearing.AccessibilitySettingsHearing,Hearing enhancements,1,none
google_captioning_preference_screen,Google subtitles (CC),,-1,2,command://com.samsung.accessibility.command/google_captioning_preference_screen,com.samsung.accessibility.hearing.GoogleCaptionPreferenceController,com.samsung.accessibility.hearing.AccessibilitySettingsHearing,Hearing enhancements,0,none
sound_detector_plus_preference,Sound detectors,,-1,1,command://com.samsung.accessibility.command/sound_detector_plus_preference,com.samsung.accessibility.hearing.SoundDetectorPreferenceController,com.samsung.accessibility.hearing.AccessibilitySettingsHearing,Hearing enhancements,0,none
high_contrast_theme_preference,High contrast theme,,-1,1,command://com.samsung.accessibility.command/high_contrast_theme_preference,com.samsung.accessibility.vision.viewclear.HighContrastThemePreferenceController,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,Visibility enhancements,0,none
toggle_high_text_contrast_preference,High contrast fonts,,-1,2,command://com.samsung.accessibility.command/toggle_high_text_contrast_preference,com.samsung.accessibility.vision.viewclear.HighContrastFontPreferenceController,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,Visibility enhancements,1,none
high_keyboard_contrast_preference_screen,High contrast keyboard,,-1,2,command://com.samsung.accessibility.command/high_keyboard_contrast_preference_screen,com.samsung.accessibility.vision.viewclear.HighContrastKeyboardPreferenceController,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,Visibility enhancements,1,none
toggle_show_button_bg,Highlight buttons,,-1,2,command://com.samsung.accessibility.command/toggle_show_button_bg,com.samsung.accessibility.vision.viewclear.ShowButtonBGPreferenceController,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,Visibility enhancements,1,none
toggle_inversion_preference,Color inversion,,2131230916,2,command://com.samsung.accessibility.command/toggle_inversion_preference,com.samsung.accessibility.vision.viewclear.ColorInversionPreferenceController,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,Visibility enhancements,1,routines
color_adjustment_preference_screen,Color adjustment,,-1,1,command://com.samsung.accessibility.command/color_adjustment_preference_screen,com.samsung.accessibility.vision.viewclear.ColorAdjustmentPreferenceController,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,Visibility enhancements,1,none
color_lens_preference_screen,Add color filter,,-1,1,command://com.samsung.accessibility.command/color_lens_preference_screen,com.samsung.accessibility.vision.viewclear.ColorLensPreferenceController,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,Visibility enhancements,1,none
toggle_remove_animations,Remove animations,Prevent some screen effects. Useful if you're sensitive to animation or screen movement.,-1,2,command://com.samsung.accessibility.command/toggle_remove_animations,com.samsung.accessibility.vision.viewclear.RemoveAnimationPreferenceController,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,Visibility enhancements,1,none
daltonizer_preference_screen,Color correction,,-1,1,command://com.samsung.accessibility.command/daltonizer_preference_screen,com.samsung.accessibility.vision.viewclear.ColorCorrectionPreferenceController,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,Visibility enhancements,0,none
toggle_magnification_window_preference_screen,Magnifier window,,-1,1,command://com.samsung.accessibility.command/toggle_magnification_window_preference_screen,com.samsung.accessibility.vision.viewclear.MagnifierWindowPreferenceController,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,Visibility enhancements,0,none
magnification_preference_screen,Magnification,,-1,1,command://com.samsung.accessibility.command/magnification_preference_screen,com.samsung.accessibility.vision.viewclear.MagnificationPreferenceController,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,Visibility enhancements,1,none
toggle_large_pointer_icon,Large mouse/touchpad pointer,,-1,2,command://com.samsung.accessibility.command/toggle_large_pointer_icon,com.samsung.accessibility.vision.viewclear.LargePointerPreferenceController,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,Visibility enhancements,1,none
font_style_preference,Font size and style,,-1,1,command://com.samsung.accessibility.command/font_style_preference,com.samsung.accessibility.vision.viewclear.FontStylePreviewPreferenceController,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,Visibility enhancements,0,none
screen_zoom_preference,Screen zoom,,-1,1,command://com.samsung.accessibility.command/screen_zoom_preference,com.samsung.accessibility.vision.viewclear.ScreenZoomPreviewPreferenceController,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,Visibility enhancements,0,none
