type,word,wordgroup,wordvalue,flags,CultureId,numericvalue
0,version,0,0,9,16,0
1,:,0,0,0,16,1
2,inverno,25,107,0,16,0
2,primavera,25,108,0,16,0
2,estate,25,109,0,16,0
2,autunno,25,110,0,16,0
1,am,4,37,0,16,0
1,a.m.,4,37,0,16,0
1,pm,4,38,0,16,0
1,p.m.,4,38,0,16,0
1,in punto,9,39,0,16,0
1,esatta,9,39,0,16,0
1,esatte,9,39,0,16,0
1,a le,9,39,4,16,0
1,a l' una,2,65,64,16,0
1,alla,9,40,0,16,0
1,il,9,40,0,16,0
1,al,9,40,0,16,0
1,e,9,40,36,16,0
1,di,9,40,36,16,0
1,la,9,40,36,16,0
1,del,9,40,36,16,0
1,dall',9,40,36,16,0
1,dal l',9,40,36,16,0
1,nei,9,40,36,16,0
1,in i,9,40,36,16,0
1,da le,9,40,36,16,0
1,di le,9,40,36,16,0
1,delle,9,40,36,16,0
1,dalle,9,40,36,16,0
1,per le,9,40,36,16,0
1,questa,1,3,0,16,0
1,questo,1,3,0,16,0
1,prossima,1,2,0,16,0
1,prossimo,1,2,0,16,0
1,la prossima,1,2,512,16,0
1,il prossimo,1,2,512,16,0
1,ultimo,1,1,0,16,0
1,l'ultimo,1,1,512,16,0
1,ultima,1,1,0,16,0
1,l'ultima,1,1,512,16,0
1,scorsa,1,1,0,16,0
1,scorso,1,1,0,16,0
1,fino alle,7,69,0,16,0
1,fino a,7,69,0,16,0
1,meno,7,77,0,16,0
1,alle,7,69,8192,16,0
1,a,7,69,8192,16,0
1,quarto,11,50,0,16,0
1,all'una,11,49,1,16,0
1,all' una,11,49,1,16,0
1,dell'una,11,49,1,16,0
1,dell' una,11,49,1,16,0
1,l'una,11,49,1,16,0
1,l' una,11,49,1,16,0
1,all'una e,11,49,1,16,0
1,all' una e,11,49,1,16,0
1,dell'una e,11,49,1,16,0
1,dell' una e,11,49,1,16,0
1,l'una e,11,49,1,16,0
1,l' una e,11,49,1,16,0
1,una di,11,49,1,16,0
1,una e,11,49,1,16,0
1,stasera,6,21,0,16,0
1,minuto,2,64,0,16,0
1,un minuto,2,64,64,16,0
1,minuti,2,64,0,16,0
1,1 ora,2,65,64,16,0
1,d'ora,2,65,0,16,0
1,un ora,2,65,64,16,0
1,un'ora,2,65,64,16,0
1,un' ora,2,65,64,16,0
1,ore,2,65,0,16,0
1,secondo,2,41,0,16,0
1,seconda,2,41,0,16,0
1,una seconda,2,41,64,16,0
1,un secondo,2,41,64,16,0
1,secondi,2,41,0,16,0
1,sera,4,17,0,16,0
1,serale,4,17,0,16,0
1,serali,4,17,0,16,0
1,mattino,4,15,0,16,0
1,mattina,4,15,0,16,0
1,mattutino,4,15,0,16,0
1,mattutina,4,15,0,16,0
1,mattutine,4,15,0,16,0
1,mattutini,4,15,0,16,0
1,mattinale,4,15,0,16,0
1,mattinali,4,15,0,16,0
1,stamattino,4,15,0,16,0
1,stamattina,4,15,0,16,0
1,domattina,4,15,128,16,0
1,notte,4,18,0,16,0
1,stanotte,4,18,0,16,0
1,pomeriggio,4,16,0,16,0
1,tutto il giorno,4,72,0,16,0
1,colazione,4,53,0,16,0
1,brunch,4,54,0,16,0
1,pranzo,4,55,0,16,0
1,cena,4,56,0,16,0
1,ieri,5,20,0,16,0
1,domani,5,19,0,16,0
1,domenica,3,8,0,16,0
1,lunedì,3,9,0,16,0
1,martedì,3,10,0,16,0
1,mercoledì,3,11,0,16,0
1,giovedì,3,12,0,16,0
1,venerdì,3,13,0,16,0
1,sabato,3,14,0,16,0
2,questa,1,3,0,16,0
2,questo,1,3,0,16,0
2,prossima,1,2,0,16,0
2,prossimo,1,2,0,16,0
2,la prossima,1,2,512,16,0
2,il prossimo,1,2,512,16,0
2,ultimo,1,1,0,16,0
2,l'ultimo,1,1,512,16,0
2,ultima,1,1,0,16,0
2,l'ultima,1,1,512,16,0
2,scorsa,1,1,0,16,0
2,scorso,1,1,0,16,0
2,domenica,3,8,0,16,0
2,lunedì,3,9,0,16,0
2,martedì,3,10,0,16,0
2,mercoledì,3,11,0,16,0
2,giovedì,3,12,0,16,0
2,venerdì,3,13,0,16,0
2,sabato,3,14,0,16,0
2,il 1,12,49,1,16,0
2,il 2,12,49,2,16,0
2,il 3,12,49,3,16,0
2,il 4,12,49,4,16,0
2,il quarto,12,49,4,16,0
2,il 5,12,49,5,16,0
2,il 6,12,49,6,16,0
2,il 7,12,49,7,16,0
2,il 8,12,49,8,16,0
2,il 9,12,49,9,16,0
2,il 10,12,49,10,16,0
2,il 11,12,49,11,16,0
2,il 12,12,49,12,16,0
2,il 13,12,49,13,16,0
2,il 14,12,49,14,16,0
2,il 15,12,49,15,16,0
2,il 16,12,49,16,16,0
2,il 17,12,49,17,16,0
2,il 18,12,49,18,16,0
2,il 19,12,49,19,16,0
2,il 20,12,49,20,16,0
2,il 21,12,49,21,16,0
2,il 22,12,49,22,16,0
2,il 23,12,49,23,16,0
2,il 24,12,49,24,16,0
2,il 25,12,49,25,16,0
2,il 26,12,49,26,16,0
2,il 27,12,49,27,16,0
2,il 28,12,49,28,16,0
2,il 29,12,49,29,16,0
2,il 30,12,49,30,16,0
