_id,package_name,type
246,com.facebook.services,0
247,com.samsung.android.app.spage,0
248,com.samsung.android.bixby.service,0
249,com.samsung.android.bixby.wakeup,0
250,com.samsung.android.service.airviewdictionary,0
251,com.samsung.android.visionarapps,0
252,com.android.contacts,2
253,com.android.development,2
254,com.android.settings,2
255,com.dingulHangul.dingulHangulKeyboard_dinki,2
256,com.lguplus.smartotp,2
257,com.lguplus.tsmproxy,2
258,com.moent.vas,2
259,com.samsung.knox.securefolder,2
260,com.samsung.s1.usimcard,2
261,com.samsung.uready.agent,2
262,com.samsungcard.certi,2
263,com.sec.android.app.myfiles,2
264,com.sec.android.app.popupcalculator,2
265,com.sec.android.app.quicktool,2
266,com.sec.android.app.voicenote,2
267,com.sec.android.easyMover,2
268,com.sec.android.easyMover.Agent,2
269,com.sec.android.inputmethod.beta,2
270,com.skp.seio,2
271,com.skt.prod.dialer,2
272,com.skt.prod.phonebook,2
273,com.sktelecom.tauth,2
274,com.sktelecom.tguard,2
275,com.TouchEn.mVaccine.webs,2
276,secureauth.android.token,2
277,com.monotype.android.font.,3
278,com.salab.,3
279,com.sds.,3
280,com.sec.mobileoffice.,3
