_id,context_id,transport_name,timestamp_ms,uptime_ms,payload,code,num_attempts,payload_encoding
1,1,FCM_CLIENT_EVENT_LOGGING,1625310909485,197136477,"b'{""messaging_client_event"":{""ttl"":172799,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625310907229023%2066a33706138e53"",""collapseKey"":""key_3"",""projectNumber"":""340331662088""}}'",,0,json
2,1,FCM_CLIENT_EVENT_LOGGING,1625322543225,208770217,"b'{""messaging_client_event"":{""ttl"":172799,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625322540194651%2066a33706138e51"",""collapseKey"":""key_1"",""projectNumber"":""340331662088""}}'",,0,json
3,1,FCM_CLIENT_EVENT_LOGGING,1625334038192,220265184,"b'{""messaging_client_event"":{""ttl"":172800,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625334037556574%2066a33706138e51"",""collapseKey"":""key_1"",""projectNumber"":""340331662088""}}'",,0,json
4,1,FCM_CLIENT_EVENT_LOGGING,1625336308860,222535851,"b'{""messaging_client_event"":{""ttl"":172799,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625336308154109%2066a33706138e52"",""collapseKey"":""key_2"",""projectNumber"":""340331662088""}}'",,0,json
5,1,FCM_CLIENT_EVENT_LOGGING,1625344613916,230840908,"b'{""messaging_client_event"":{""ttl"":172800,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625344613522794%2066a33706138e53"",""collapseKey"":""key_3"",""projectNumber"":""340331662088""}}'",,0,json
6,1,FCM_CLIENT_EVENT_LOGGING,1625355421031,241648023,"b'{""messaging_client_event"":{""ttl"":172800,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625355419704497%2066a33706138e51"",""collapseKey"":""key_1"",""projectNumber"":""340331662088""}}'",,0,json
7,1,FCM_CLIENT_EVENT_LOGGING,1625364711540,250938532,"b'{""messaging_client_event"":{""ttl"":172799,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625364710226119%2066a33706138e51"",""collapseKey"":""key_1"",""projectNumber"":""340331662088""}}'",,0,json
8,1,FCM_CLIENT_EVENT_LOGGING,1625366388375,252615367,"b'{""messaging_client_event"":{""ttl"":172800,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625366387784084%2066a33706138e50"",""collapseKey"":""key_0"",""projectNumber"":""340331662088""}}'",,0,json
9,1,FCM_CLIENT_EVENT_LOGGING,1625396743346,282970338,"b'{""messaging_client_event"":{""ttl"":172799,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625396737173283%2066a33706138e53"",""collapseKey"":""key_3"",""projectNumber"":""340331662088""}}'",,0,json
10,1,FCM_CLIENT_EVENT_LOGGING,1625401453250,287680242,"b'{""messaging_client_event"":{""ttl"":172800,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625401449336442%2066a33706138e53"",""collapseKey"":""key_3"",""projectNumber"":""340331662088""}}'",,0,json
11,1,FCM_CLIENT_EVENT_LOGGING,1625413178063,299405055,"b'{""messaging_client_event"":{""ttl"":172799,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625413177083433%2066a33706138e53"",""collapseKey"":""key_3"",""projectNumber"":""340331662088""}}'",,0,json
12,1,FCM_CLIENT_EVENT_LOGGING,1625419426375,305653367,"b'{""messaging_client_event"":{""ttl"":172799,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625419425449128%2066a33706138e51"",""collapseKey"":""key_1"",""projectNumber"":""340331662088""}}'",,0,json
13,1,FCM_CLIENT_EVENT_LOGGING,1625421601877,307828869,"b'{""messaging_client_event"":{""ttl"":172799,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625421601096728%2066a33706138e52"",""collapseKey"":""key_2"",""projectNumber"":""340331662088""}}'",,0,json
14,1,FCM_CLIENT_EVENT_LOGGING,1625426376605,312603597,"b'{""messaging_client_event"":{""ttl"":172800,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625426375759583%2066a33706138e53"",""collapseKey"":""key_3"",""projectNumber"":""340331662088""}}'",,0,json
15,1,FCM_CLIENT_EVENT_LOGGING,1625434780801,321007793,"b'{""messaging_client_event"":{""ttl"":172800,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625434777954450%2066a33706138e52"",""collapseKey"":""key_2"",""projectNumber"":""340331662088""}}'",,0,json
16,1,FCM_CLIENT_EVENT_LOGGING,1625508586808,135840,"b'{""messaging_client_event"":{""ttl"":172800,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625506274987564%2066a33706138e53"",""collapseKey"":""key_3"",""projectNumber"":""340331662088""}}'",,0,json
17,1,FCM_CLIENT_EVENT_LOGGING,1625508586851,135884,"b'{""messaging_client_event"":{""ttl"":172799,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625501360155105%2066a33706138e51"",""collapseKey"":""key_1"",""projectNumber"":""340331662088""}}'",,0,json
18,1,FCM_CLIENT_EVENT_LOGGING,1625509433044,982076,"b'{""messaging_client_event"":{""ttl"":172800,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625509433879178%2066a33706138e50"",""collapseKey"":""key_0"",""projectNumber"":""340331662088""}}'",,0,json
19,1,FCM_CLIENT_EVENT_LOGGING,1625572237982,63787015,"b'{""messaging_client_event"":{""ttl"":172799,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625572234217950%2066a33706138e50"",""collapseKey"":""key_0"",""projectNumber"":""340331662088""}}'",,0,json
20,1,FCM_CLIENT_EVENT_LOGGING,1625581269781,72818813,"b'{""messaging_client_event"":{""ttl"":172800,""event"":""MESSAGE_DELIVERED"",""instanceId"":""dfKA2aYhRkWh4ADhfuOqtR"",""priority"":1,""packageName"":""com.zhiliaoapp.musically"",""sdkPlatform"":""ANDROID"",""messageType"":""DATA_MESSAGE"",""messageId"":""0:1625581269722984%2066a33706138e53"",""collapseKey"":""key_3"",""projectNumber"":""340331662088""}}'",,0,json
