key,title,summary,screentitle,keywords,icon,fragment,controller,action_type,recoverable,restore_key,target_fragment,payload
always_on_screen,Always On Display,,Lock screen,,0,com.samsung.android.settings.lockscreen.LockScreenSettings,com.samsung.android.settings.lockscreen.controller.AODPreferenceController,1,0,,,
lock_screen_dualclock,Roaming clock,,Lock screen,,0,com.samsung.android.settings.lockscreen.LockScreenSettings,com.samsung.android.settings.lockscreen.controller.RoamingClockPreferenceController,1,0,,com.samsung.android.settings.lockscreen.DualClockSettings,
lock_app_shortcut,Shortcuts,,Lock screen,,0,com.samsung.android.settings.lockscreen.LockScreenSettings,com.samsung.android.settings.lockscreen.controller.ShortcutsPreferenceController,1,0,,com.samsung.android.settings.lockscreen.LockAppShortcutSettings,
top_level_accounts_backup,Accounts and backup, ,,,2131232006,com.android.settings.homepage.TopLevelSettings,com.samsung.android.settings.homepage.TopLevelCloudAccountPreferenceController,0,0,,com.samsung.android.settings.account.CloudAccountSettings,
top_level_advanced_features,Advanced features, ,,,2131232003,com.android.settings.homepage.TopLevelSettings,com.samsung.android.settings.homepage.TopLevelAdvancedFeaturesPreferenceController,0,0,,com.samsung.android.settings.usefulfeature.Usefulfeature,
touch_sounds,Touch interactions,,System sound/vibration control,,0,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,com.samsung.android.settings.notification.SecTouchSoundPreferenceController,1,0,,,
screen_locking_sounds,Screen lock/unlock,,System sound/vibration control,,0,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,com.samsung.android.settings.notification.SecScreenLockSoundPreferenceController,1,0,,,
charging_sounds,Charging,,System sound/vibration control,,0,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,com.samsung.android.settings.notification.SecChargingSoundPreferenceController,1,0,,,
dial_pad_tones,Dialing keypad,,System sound/vibration control,,0,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,com.samsung.android.settings.notification.SecDialPadTonePreferenceController,1,0,,,
navigation_gestures_vibration,Navigation gestures,,System sound/vibration control,,0,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,com.samsung.android.settings.notification.SecSoundVibrationNavigationGesturesController,1,0,,,
camera_feedback_vibration,Camera feedback,,System sound/vibration control,,0,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,com.samsung.android.settings.notification.SecSoundVibrationCameraFeedbackController,1,0,,,
android_beam_settings,Android Beam,,NFC and contactless payments,,0,com.samsung.android.settings.nfc.NfcSettings,com.samsung.android.settings.nfc.AndroidBeamPreferenceController,1,0,,com.samsung.android.settings.nfc.AndroidBeam,
lift_to_wake,Lift to wake,Turn on the screen when you pick up your phone.,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.LiftToWakePreferenceController,1,0,,,
double_tab_to_wake_up,Double tap to turn on screen,Turn on the screen when you double tap it.,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.DoubleTapToWakeUpPreferenceController,1,0,,,
double_tap_to_sleep,Double tap to turn off screen,Double tap an empty space on the Home or Lock screen.,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.DoubleTapToSleepPreferenceController,1,0,,,
palm_touch_to_sleep,Palm touch to turn off screen,Cover the screen with your palm to turn it off. This won't work while the keyboard is displayed.,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.PalmTouchToSleepPreferenceController,1,0,,,
smart_stay,Keep screen on while viewing,"Keep the screen on while you're looking at it, using the front camera to detect your face.",Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.SmartStayPreferenceController,1,0,,,
shake_to_share,Shake to share,Share pictures and videos by shaking your phone while a friend shakes theirs.,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.ShakeToSharePreferenceController,1,0,,com.samsung.android.settings.usefulfeature.ShakeToShareSettings,
smart_alert,Alert when phone picked up,,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.SmartAlertPreferenceController,1,0,,,
direct_call,Pick up phone to call,,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.DirectCallPreferenceController,1,0,,,
finger_sensor_gesture,Finger sensor gestures,,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.FingerSensorGesturePreferenceController,1,0,,com.samsung.android.settings.usefulfeature.FingerSensorGestureSettings,
palm_swipe_to_capture,Palm swipe to capture,Swipe the edge of your hand across the screen to take a screenshot.,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.PalmSwipeToCapturePreferenceController,1,0,,,
easy_mute,Mute with gestures,Mute incoming calls and alarms by putting your hand over the screen or turning your phone face down.,Motions and gestures,,0,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.controller.EasyMutePreferenceController,1,0,,,
dark_mode,Dark mode settings,,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.SecDarkModePreferenceController,101,0,,,
auto_brightness,Adaptive brightness,,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.SecAutoBrightnessPreferenceController,1,0,,,
screen_mode,Screen mode,Select the screen mode.,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.ScreenModePreferenceController,0,0,,com.samsung.android.settings.display.NewModePreview,
screen_timeout,Screen timeout, ,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.SecTimeoutPreferenceController,0,0,,,
edge_screen,Edge panels,,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.EdgeScreenPreferenceController,1,0,,,
screen_off_pocket,Accidental touch protection,"Protect your phone from accidental touches when it's in a dark place, such as a pocket or bag.",Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.BlockAccidentalTouchesPreferenceController,1,0,,,
increse_touch_sensetivity,Touch sensitivity,,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.SecTouchSensitivityPreferenceController,1,0,,,
show_charging_info,Show charging information,,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.SecShowChargingInfoPreferenceController,1,0,,,
blue_light_filter,Eye comfort shield,,Display,,0,com.android.settings.DisplaySettings,com.samsung.android.settings.display.controller.EyeComfortPreferenceController,1,0,,,
