flags,word,value,confidence,CultureId
256,één,1,1000,19
257,een,1,800,19
258,eerste,1,1000,19
257,twe,2,800,19
256,twee,2,1000,19
258,tweede,2,1000,19
256,drie,3,1000,19
258,derde,3,1000,19
256,vier,4,1000,19
257,veer,4,800,19
258,vierde,4,1000,19
256,vijf,5,1000,19
258,vijfde,5,1000,19
256,zes,6,1000,19
258,zesde,6,1000,19
256,zeven,7,1000,19
258,zevende,7,1000,19
256,acht,8,1000,19
258,achtste,8,1000,19
256,negen,9,1000,19
258,negende,9,1000,19
1536,tien,10,1000,19
1538,tiende,10,1000,19
512,elf,11,1000,19
514,elfde,11,1000,19
512,twaalf,12,1000,19
514,twaalfde,12,1000,19
576,dozijn,12,1000,19
512,dertien,13,1000,19
514,dertiende,13,1000,19
512,veertien,14,1000,19
514,veertiende,14,1000,19
512,vijftien,15,1000,19
514,vijftiende,15,1000,19
512,zestien,16,1000,19
514,zestiende,16,1000,19
512,zeventien,17,1000,19
514,zeventiende,17,1000,19
512,achttien,18,1000,19
514,achttiende,18,1000,19
512,negentien,19,1000,19
514,negentiende,19,1000,19
512,twintig,20,1000,19
514,twintigste,20,1000,19
512,dertig,30,1000,19
514,dertigste,30,1000,19
512,veertig,40,1000,19
514,veertigste,40,1000,19
512,vijftig,50,1000,19
514,vijftigste,50,1000,19
512,zestig,60,1000,19
514,zestigste,60,1000,19
512,zeventig,70,1000,19
514,zeventigste,70,1000,19
512,tachtig,80,1000,19
514,tachtigste,80,1000,19
512,negentig,90,1000,19
514,negentigste,90,1000,19
64,honderd,100,1000,19
64,honderden,100,1000,19
66,honderdste,100,1000,19
192,duizend,1000,1000,19
192,duizenden,1000,1000,19
192,miljoen,1000000,1000,19
192,miljoenen,1000000,1000,19
192,biljoen,1000000000,1000,19
192,biljoenen,1000000000,1000,19
524800,entwintig,20,1000,19
524800,ëntwintig,20,1000,19
524800,endertig,30,1000,19
524800,ëndertig,30,1000,19
524800,enveertig,40,1000,19
524800,ënveertig,40,1000,19
524800,envijftig,50,1000,19
524800,ënvijftig,50,1000,19
524800,enzestig,60,1000,19
524800,ënzestig,60,1000,19
524800,enzeventig,70,1000,19
524800,ënzeventig,70,1000,19
524800,entachtig,80,1000,19
524800,ëntachtig,80,1000,19
524800,ennegentig,90,1000,19
524800,ënnegentig,90,1000,19
524802,entwintigste,20,1000,19
524802,ëntwintigste,20,1000,19
524802,endertigste,30,1000,19
524802,ëndertigste,30,1000,19
524802,enveertigste,40,1000,19
524802,ënveertigste,40,1000,19
524802,envijftigste,50,1000,19
524802,ënvijftigste,50,1000,19
524802,enzestigste,60,1000,19
524802,ënzestigste,60,1000,19
524802,enzeventigste,70,1000,19
524802,ënzeventigste,70,1000,19
524802,entachtigste,80,1000,19
524802,ëntachtigste,80,1000,19
524802,ennegentigste,90,1000,19
524802,ënnegentigste,90,1000,19
32,een half,500,1000,19
32,half,500,1000,19
32,1/2,500,1000,19
32,anderhalf,1500,1000,19
32,een derde,333,1000,19
32,één derde,333,1000,19
32,1/3,333,1000,19
32,twee derde,667,1000,19
32,2/3,667,1000,19
32,een kwart,250,1000,19
32,kwart,250,1000,19
32,kwarten,250,1000,19
32,1/4,250,1000,19
32,drie kwart,750,1000,19
32,3/4,750,1000,19
1280,nul,0,1000,19
1284,0,0,1000,19
32,punt,0,1000,19
32,komma,0,1000,19
32,.,0,1000,19
32,",",0,1000,19
8,en,0,1000,19
16,negatief,0,1000,19
16,min,0,1000,19
16,-,0,1000,19
