_id,item,category,data1,data2,data3,data4,data5
28,ScloudMigrationCountry,action,broadcast,com.samsung.android.scloud,,,
29,ScloudMigrationCountryV2,action,broadcast,com.samsung.android.scloud,,,
30,ScloudMigrationModel,action,broadcast,com.samsung.android.scloud,,,
31,ScloudMigrationModelV2,action,broadcast,com.samsung.android.scloud,,,
32,BT_HFP,action,broadcast,com.android.bluetooth,,,
33,BT_BLE,action,broadcast,com.android.bluetooth,,,
34,BT_A2DP,action,broadcast,com.android.bluetooth,,,
35,nsflp,action,broadcast,com.sec.location.nsflp2,,,
36,Camera3rdPartyWhiteList,action,broadcast,android,,,
37,SepUnionPrivilegePolicy,action,broadcast,android,,,
38,SmartFittingService,action,broadcast,android,,,
39,HDR2SDRConverter,action,broadcast,android,,,
40,HmtThridPartyDevicePolicy,action,broadcast,android,,,
41,CameraResources,action,broadcast,android,,,
42,ScloudEOFPolicy,action,broadcast,com.samsung.android.scloud,,,
43,DeX,action,broadcast,com.sec.android.app.desktoplauncher,,,
44,gametools,action,broadcast,com.samsung.android.game.gametools,,,
45,cloudgamepadinfo,action,broadcast,com.samsung.android.game.gametools,,,
46,open_platform_allowlist,action,broadcast,com.android.server.telecom,,,
47,AREmojiproviderWhitelist,action,broadcast,com.samsung.android.aremojieditor,,,
48,FoldablePackagePolicy,action,broadcast,android,,,
49,VideoCall3rdPartyAllowedList,action,broadcast,com.samsung.android.vtcamerasettings,,,
50,EdgeLighting,action,broadcast,com.android.systemui,,,
51,search_result_blocklist,action,broadcast,com.android.settings.intelligence,,,
52,heimdall,action,broadcast,com.android.server.am,,,
53,McfHandoff,action,broadcast,com.samsung.android.mcfds,,,
54,McfAutoSwitch,action,broadcast,com.samsung.android.mcfds,,,
55,UWBRegulationPolicy,action,broadcast,com.samsung.android.uwb,,,
56,SystemThermal_PackagePolicy,action,broadcast,com.sec.android.sdhms,,,
