_id,item,category,data1,data2,data3,data4,data5
1,ALB,0,,,,,
2,DZA,0,,,,,
3,AGO,0,,,,,
4,ATG,0,,,,,
5,ARG,0,CTI,,,,
6,ARM,0,,,,,
7,ABW,0,,,,,
8,AUS,0,,,,,
9,AUT,0,,,,,
10,AZE,0,,,,,
11,BHS,0,,,,,
12,BHR,0,,,,,
13,BGD,0,,,,,
14,BLR,0,,,,,
15,BEL,0,,,,,
16,BLZ,0,,,,,
17,BEN,0,,,,,
18,BOL,0,,,,,
19,BIH,0,,,,,
20,BWA,0,,,,,
21,BRA,0,ZTA,,,,
22,BGR,0,,,,,
23,BFA,0,,,,,
24,KHM,0,,,,,
25,CMR,0,,,,,
26,CAN,0,,,,,
27,CPV,0,,,,,
28,CHL,0,CHL,,,,
29,COL,0,COM,,,,
30,CRI,0,CRC,,,,
31,CIV,0,,,,,
32,HRV,0,,,,,
33,CYP,0,,,,,
34,CZE,0,,,,,
35,DNK,0,,,,,
36,DOM,0,CDR,,,,
37,ECU,0,ECO,,,,
38,EGY,0,,,,,
39,SLV,0,PER,,,,
40,EST,0,,,,,
41,FJI,0,,,,,
42,FIN,0,,,,,
43,FRA,0,,,,,
44,GAB,0,,,,,
45,DEU,0,,,,,
46,GHA,0,,,,,
47,GRC,0,,,,,
48,GTM,0,PGU,,,,
49,GNB,0,,,,,
50,HTI,0,,,,,
51,HND,0,HME,,,,
52,HKG,0,,,,,
53,HUN,0,,,,,
54,ISL,0,,,,,
55,IND,0,,,,,
56,IDN,0,,,,,
57,IRL,0,,,,,
58,ISR,0,,,,,
59,ITA,0,,,,,
60,JAM,0,,,,,
61,JPN,0,,,,,
62,JOR,0,,,,,
63,KAZ,0,,,,,
64,KEN,0,,,,,
65,KWT,0,,,,,
66,KGZ,0,,,,,
67,LAO,0,,,,,
68,LVA,0,,,,,
69,LBN,0,,,,,
70,LIE,0,,,,,
71,LTU,0,,,,,
72,LUX,0,,,,,
73,MKD,0,,,,,
74,MYS,0,,,,,
75,MLI,0,,,,,
76,MLT,0,,,,,
77,MUS,0,,,,,
78,MEX,0,TCE,,,,
79,MDA,0,,,,,
80,MAR,0,,,,,
81,MOZ,0,,,,,
82,NAM,0,,,,,
83,NPL,0,,,,,
84,NLD,0,,,,,
85,ANT,0,,,,,
86,NZL,0,,,,,
87,NIC,0,NEN,NPC,,,
88,NER,0,,,,,
89,NGA,0,,,,,
90,NOR,0,,,,,
91,OMN,0,,,,,
92,PAK,0,,,,,
93,PAN,0,CPA,,,,
94,PNG,0,,,,,
95,PRY,0,CTP,,,,
96,PHL,0,PET,,,,
97,POL,0,,,,,
98,PLW,0,,,,,
99,PRT,0,,,,,
100,QAT,0,,,,,
101,ROU,0,ORL,ORO,ORV,,
102,RUS,0,,,,,
103,RWA,0,,,,,
104,SAU,0,,,,,
105,SEN,0,,,,,
106,SRB,0,,,,,
107,SGP,0,,,,,
108,SVK,0,,,,,
109,SVN,0,,,,,
110,ZAF,0,,,,,
111,KOR,0,,,,,
112,ESP,0,,,,,
113,LKA,0,,,,,
114,SWE,0,,,,,
115,CHE,0,,,,,
116,TWN,0,,,,,
117,TJK,0,,,,,
118,TZA,0,,,,,
119,THA,0,,,,,
120,TGO,0,,,,,
121,TTO,0,,,,,
122,TUN,0,,,,,
123,TUR,0,,,,,
124,TKM,0,,,,,
125,UGA,0,,,,,
126,UKR,0,,,,,
127,ARE,0,,,,,
128,GBR,0,,,,,
129,USA,0,,,,,
130,URY,0,CTU,,,,
131,UZB,0,,,,,
132,VEN,0,,,,,
133,VNM,0,,,,,
134,YEM,0,,,,,
135,ZMB,0,,,,,
136,ZWE,0,,,,,
137,BMU,0,,,,,
138,VGB,0,,,,,
139,CYM,0,,,,,
140,IRQ,0,,,,,
141,MMR,0,,,,,
142,TCA,0,,,,,
