name,work_spec_id
MetaSyncWorker,e81695a9-e44a-422d-9b5b-939a40e17a6d
LPBJ_IDLE_AND_CHARGING_WORKER,cfc7bedf-7cb9-40ea-873f-4f78e4c66a3d
LPBJ_CHARGING_ONLY_WORKER,4ab6960a-c528-4464-9ccf-89fc2d4c8e54
MDD.CHARGING.PERIODIC.TASK,ff07a3df-6beb-4f53-9254-6afbf58171ec
MDD.MAINTENANCE.PERIODIC.GCM.TASK,c6d18ae3-07a6-44ee-aac9-33db8e29d418
MDD.CELLULAR.CHARGING.PERIODIC.TASK,9d7e7fce-6096-467c-90f2-b7f5991defdc
MDD.WIFI.CHARGING.PERIODIC.TASK,407e709d-a360-435a-9302-73024b28c3ce
FpEligibilityJobService0,04c8ef88-a742-4399-817c-4409f89cb257
LPBJ_DELAYED_WORKER,d3b1ca88-b74c-4618-a247-2637933bc589
OptimisticActionWorker,f065bc3e-dae4-4a02-b5a9-4c1c239df65d
FindLocalMediaForFreeUpSpaceBarWorker,61d168a8-696f-4e76-8b3a-94d965bb08d6
LPBJ_NOT_LOW_BATTERY_WORKER,a7c99e88-e901-465a-ad74-6e02c9c820da
