update_time,event_type,event_value
1626378554274,2,1
1626378554274,1,46
1626378584464,2,1
1626378584464,1,47
1626378624707,2,1
1626378624707,1,48
1626378664981,2,1
1626378664981,1,49
1626378705522,2,1
1626378705522,1,50
1626378745809,2,1
1626378745809,1,51
1626378786083,2,1
1626378786083,1,52
1626378826344,2,1
1626378826344,1,53
1626378866880,2,1
1626378866880,1,54
1626378907154,2,1
1626378907154,1,55
1626378947442,2,1
1626378947442,1,56
1626378997734,2,1
1626378997734,1,57
1626379037978,2,1
1626379037978,1,58
1626379088597,2,1
1626379088597,1,59
1626379128877,2,1
1626379128877,1,60
1626379179241,2,1
1626379179241,1,61
1626379219503,2,1
1626379219503,1,62
1626379270121,2,1
1626379270121,1,63
1626379320460,2,1
1626379320460,1,64
1626379380883,2,1
1626379380883,1,65
1626379431499,2,1
1626379431499,1,66
1626379481848,2,1
1626379481848,1,67
1626379532201,2,1
1626379532201,1,68
1626379582547,2,1
1626379582547,1,69
1626379633181,2,1
1626379633181,1,70
1626379683517,2,1
1626379683517,1,71
1626379733857,2,1
1626379733857,1,72
1626379784511,2,1
1626379784511,1,73
1626379834839,2,1
1626379834839,1,74
1626379885193,2,1
1626379885193,1,75
1626379945621,2,1
1626379945621,1,76
1626379996238,2,1
1626379996238,1,77
1626380046569,2,1
1626380046569,1,78
1626380096919,2,1
1626380096919,1,79
1626380147559,2,1
1626380147559,1,80
1626380207944,2,1
1626380207944,1,81
1626380268381,2,1
1626380268381,1,82
1626380339122,2,1
1626380339122,1,83
1626380409617,2,1
1626380409617,1,84
1626380480080,2,1
1626380480080,1,85
1626380560921,2,1
1626380560921,1,86
1626380641553,2,1
1626380641553,1,87
1626380732497,2,1
1626380732497,1,88
1626380833165,2,1
1626380833165,1,89
1626380924057,2,1
1626380924057,1,90
1626381045192,2,1
1626381045192,1,91
1626381166001,2,1
1626381166001,1,92
1626381310666,2,1
1626381310666,1,93
1626381462956,2,1
1626381462956,1,94
1626381564029,2,1
1626381564029,1,95
1626381616553,2,1
1626381616553,1,96
1626381698385,2,1
1626381698385,1,97
1626381777448,2,1
1626381777448,1,98
1626381831382,2,1
1626381831382,1,99
1626381836275,2,1
1626381836275,1,100
1626385273725,2,0
1626385273725,1,100
1626385868869,2,0
1626385868869,1,99
1626386055373,2,0
1626386055373,1,98
1626392199303,2,0
1626392199303,1,97
1626398925571,2,0
1626398925571,1,96
1626404784196,2,0
1626404784196,1,95
1626410450408,2,0
1626410450408,1,94
1626416927003,2,0
1626416927003,1,93
1626424474286,2,0
1626424474286,1,92
1626431682296,2,0
1626431682296,1,91
1626438997492,2,0
1626438997492,1,90
1626447084832,2,0
1626447084832,1,89
1626451506147,2,0
1626451506147,1,88
1626457084161,2,0
1626457084161,1,87
1626462209077,2,0
1626462209077,1,86
1626470426829,2,0
1626470426829,1,85
1626478454738,2,0
1626478454738,1,84
