id,date_modified,populated_columns,is_animated,photo_orientation,burst_id,filename_burst_id,burst_is_primary,drm,fingerprint,fingerprint_size,oem_special_type_id,photosphere,video_width,video_height,video_captured_frame_rate,video_encoded_frame_rate,is_vr,is_raw,depth_type,is_microvideo,micro_video_offset,burst_is_extra,micro_video_still_image_timestamp_ms,micro_video_duration_ms,micro_video_metadata,adjusted_exif_date_time,timezone_offset,latitude,longitude,is_long_shot_video,image_width,image_height,video_duration
24,1617477223,34359738366,0,,,,,0.0,b'\x19H\xee\x00]\nu\x89[\x06\xe8f\x19\x1a\x0el)\x8f\x1e[',218053,,0,,,,,0,0,0,0,,,,,,1617477223000.0,-14400000,,,0,1080.0,2280.0,
25,1617477227,34359738366,0,,,,,0.0,b'+\x98\xb6]\xe2f\xe7+\xb8\xa6#ag\xd50\xe2\xcb\xf3\x19\xe5',217903,,0,,,,,0,0,0,0,,,,,,1617477227000.0,-14400000,,,0,1080.0,2280.0,
26,1617591805,34359738366,0,,,,,0.0,b'\xe1\x94;\xbb\xd6\xf5\x19W\xa1\xcbu\xdaN5\xdd\xa7\xd7\x86\n\xfe',553215,,0,,,,,0,0,0,0,,,,,,1617591805000.0,-14400000,,,0,1080.0,2280.0,
27,1617591813,34359738366,0,,,,,0.0,b'=\x9c\xca\x19m\xd4\x9d\xe0\xe5\xb99\x02\xa64\xbcs\xa0\xec<\xaa',591397,,0,,,,,0,0,0,0,,,,,,1617591813000.0,-14400000,,,0,1080.0,2280.0,
28,1617591817,34359738366,0,,,,,0.0,b'E\x17\xf9\xdc2@\xcb3hA\xda\xaf\x9b\xa0%\xb9N\xcem\\',750488,,0,,,,,0,0,0,0,,,,,,1617591817000.0,-14400000,,,0,1080.0,2280.0,
29,1617591820,34359738366,0,,,,,0.0,b'\xf8\x9f\xa8\x18[L\xb4\xafN\x87\xee\xc7\xa2\x9d/\x0b\x0e=o\xce',595074,,0,,,,,0,0,0,0,,,,,,1617591820000.0,-14400000,,,0,1080.0,2280.0,
30,1617591832,34359738366,0,,,,,0.0,b'D\xb8\xbaD\xfa/Q\x19\xd9B\n\xd3hk\xf0\x1d\x97\x1be\x10',461471,,0,,,,,0,0,0,0,,,,,,1617591832000.0,-14400000,,,0,1080.0,2280.0,
31,1617591833,34359738366,0,,,,,0.0,"b'\x14\xc6\xedH-\x90\x9e\xcf\x13b\n\xa6\x95UI,\x05\xae~4'",561769,,0,,,,,0,0,0,0,,,,,,1617591833000.0,-14400000,,,0,1080.0,2280.0,
33,1617594732,34359738366,0,,,,,0.0,b'Bs\xdc*Q\x15\xe4\x92r1\xc9&}\xc7#h\t\xda/i',309264,,0,,,,,0,0,0,0,,,,,,1617594732000.0,-14400000,,,0,1080.0,2280.0,
35,1617778317,34359738366,0,,,,,0.0,"b'e%\xbd~""4\xdc\xb9\x94O\x88\x81\xbf\x9b\xd0l\xbc\xef\xc7\xa4'",6917554,,0,,,,,0,0,0,0,,,,,,1617778317000.0,-14400000,,,0,4032.0,3024.0,
36,1618199766,34359738366,0,,,,,0.0,b'\xbd\xf63\xd0\xac\x7f\xa4D6\xefW\x95X4\xe6\x13IaF\xee',1095777,,0,,,,,0,0,0,0,,,,,,1618199764000.0,-14400000,37.235495999722225,-80.4369369,0,2944.0,2208.0,
39,1618482459,34359738366,0,,,,,0.0,b'\xecf\x0bH\x86\xa3\xf2a\x84/Z\xb8\xab!\xfcLy^]I',4008883,,0,,,,,0,0,0,0,,,,,,1618482457000.0,-14400000,38.7080222,-81.96715729972222,0,4032.0,3024.0,
40,1618482474,34359738366,0,,,,,0.0,b'[\xe7\xd3\xbe\x18\xf7\xb0\xe7\xf3 @\x0fg51o\x98\x0b\xd2\r',2784533,,0,,,,,0,0,0,0,,,,,,1618482472000.0,-14400000,38.711885899722226,-81.96760419972222,0,4032.0,3024.0,
42,1621123432,34359738366,0,,,,,,b'q\xdad\xee\xee#W\xb1P\xd9S\x1bz\t\xef\xf8\xa2\x8c<8',2570999,,0,,,,,0,0,0,0,,,,,,1621123431000.0,-14400000,37.34928419972223,-80.5386074,0,4032.0,1908.0,
43,1621123434,34359738366,0,,,,,,b'\x06z\xaa\x97-\x07&\x82W;\xd5\xe8\xa9\x96\xcc#E\xea5\xe4',2471633,,0,,,,,0,0,0,0,,,,,,1621123433000.0,-14400000,37.3492991,-80.5386144,0,4032.0,1908.0,
44,1621123437,34359738366,0,,,,,,"b""\x97c\xcf\xd1\x1b\xe5%b\xbf\xdc\x9e\xcc\x05\xe1'\xc57\x03\xaa|""",2285561,,0,,,,,0,0,0,0,,,,,,1621123436000.0,-14400000,37.3492991,-80.5386144,0,4032.0,1908.0,
45,1621123442,34359738366,0,,,,,,b'}\xa5y\\\t<V\xecb\xb3\t\xb5\x9b\xb6;^\xac\xcd\x1b[',2744945,,0,,,,,0,0,0,0,,,,,,1621123440000.0,-14400000,37.349296,-80.53862139972222,0,4032.0,1908.0,
46,1621124013,34359738366,0,,,,,,"b'/}\x1bNa\xe2;\x9d\x88\xcc\x17\xc64\x8cY\x93\xd1\x8d\xb3,'",2094060,,0,,,,,0,0,0,0,,,,,,1621124012000.0,-14400000,37.349296,-80.5386215,0,4032.0,1908.0,
47,1621136701,34359738366,0,,,,,,b'Eq\xf7< \xe0\xf8\xadErv#\x1f\xff\xcd\\\x1co\x1b\xf9',713512,,0,,,,,0,0,0,0,,,,,,1621136701000.0,-14400000,,,0,1080.0,2280.0,
48,1621471927,34359738366,0,,,,,,"b'\xe5\xfe\xa5\xd2\x83\x13\xccT""E\xa3\x0e\x90\xcdM\xe5\xab\xc8\xda\x0b'",3536927,,0,,,,,0,0,0,0,,,,,,1621471925000.0,-14400000,37.22382939972223,-80.4177298,0,4032.0,1908.0,
49,1621471930,34359738366,0,,,,,,b'3@\x98|\xef\x03i\xaf\xfd\xf6\xb3\xe4`\xe0\xd5\xdfKt\x0bV',6046089,,0,,,,,0,0,0,0,,,,,,1621471930000.0,-14400000,37.223829,-80.41773,0,4032.0,1908.0,
50,1621471933,34359738366,0,,,,,,b'\xc54\x98F\x92\x1f\x01j\x16\xa9\xbe\xd4\xd9\n(\xd2s\xc4\n\x1f',5535443,,0,,,,,0,0,0,0,,,,,,1621471933000.0,-14400000,37.223829,-80.41773,0,4032.0,1908.0,
51,1621471937,34359738366,0,,,,,,b'\x8f\xbcco\xa5\x9cVp\xf46\x06b\x1f\xed\xdb\x94\xd6\x83~\xa5',6286243,,0,,,,,0,0,0,0,,,,,,1621471937000.0,-14400000,37.223829,-80.41773,0,4032.0,1908.0,
53,1621471970,34359738366,0,,,,,,b'Q(\x01ME\x1bO\xb4h>\x93\x0f@\xe0\x96\xe9}z\xd5\xd1',6786196,,0,,,,,0,0,0,0,,,,,,1621471970000.0,-14400000,37.223987972222226,-80.417634,0,4032.0,1908.0,
54,1621471985,34359738366,0,,,,,,b'X`\x85I\xb7\xf9\xbf\xb0\xa6\x1c\x1b\xa5_;\xf6\xcf\xe3\x9cM\x9d',4431972,,0,,,,,0,0,0,0,,,,,,1621471985000.0,-14400000,37.223987972222226,-80.417634,0,4032.0,1908.0,
55,1621471990,34359738366,0,,,,,,b'\x8a\x97\xf4\xeb\xfd\xee\xd4\rIQ\xb6\xa2\x99\x7f;#\xef\xd0\x87\xd4',3971142,,0,,,,,0,0,0,0,,,,,,1621471990000.0,-14400000,37.223987972222226,-80.417634,0,4032.0,1908.0,
59,1623016330,34359738366,0,,,,,,b'~H\xd5\xbb\xc0\x11E\xde\x89\xf2\x99u\xea\xeeT\xd9Yr\xc6\xa2',1904139,,0,,,,,0,0,0,0,,,,,,1623016329000.0,-14400000,33.747826799722226,-78.80804499999999,0,4032.0,1908.0,
60,1623016331,34359738366,0,,,,,,b']\xdbEXw\xcb\xa8;\xf4\xfeJp\xb5\x00{?\xb7\xd1\x16/',1896478,,0,,,,,0,0,0,0,,,,,,1623016331000.0,-14400000,33.747826799722226,-78.80804499999999,0,4032.0,1908.0,
61,1623016357,34359738366,0,,,,,,b'\xbe\xf0\x00\x8a\xf81q\r\xf8S\xba_\xdc\x02(I\x8ah\xe1\x10',1889056,,0,,,,,0,0,0,0,,,,,,1623016356000.0,-14400000,33.7478211,-78.80809279972222,0,4032.0,1908.0,
62,1623016359,34359738366,0,,,,,,b'\x01\x05?\xd0\x8a\x0e\xa7\x12\x95Z\xf4\xf2\x9f\xe5\xd4\xb6{^!\x01',1985550,,0,,,,,0,0,0,0,,,,,,1623016358000.0,-14400000,33.7478211,-78.80809279972222,0,4032.0,1908.0,
63,1623016362,34359738366,0,,,,,,b'\xa4\xe7\xf8\x80\xa3!Q/\n\xfdt\xbd\xdf\xd7\xb1\x9b\xbe\xa9\t@',2393254,,0,,,,,0,0,0,0,,,,,,1623016361000.0,-14400000,33.7478211,-78.80809279972222,0,4032.0,1908.0,
65,1623019173,34359738366,0,,,,,,b'_\xed7\x0ee\x9c8K\r\x12\x8a\x1e#\xb5\xe8G9\xa6\\ ',5316471,,0,,,,,0,0,0,0,,,,,,1623019173000.0,-14400000,,,0,4032.0,1908.0,
66,1623027002,34359738366,0,,,,,,b'6\xf4g\xe7\rDW\x1a\xaa\x13&\xb9\x94\xf4]\xcc\xaa[\xca1',2598742,,0,,,,,0,0,0,0,,,,,,1623027000000.0,-14400000,33.796880099999996,-78.74237859972223,0,4032.0,1908.0,
67,1623027005,34359738366,0,,,,,,"b""\x12\x9d\x83\xa6\xfb\x82\xc6\xe9'\xb6\xc3f\x0b\x9f\x1c\n\xd2jF\x97""",2554619,,0,,,,,0,0,0,0,,,,,,1623027003000.0,-14400000,33.79691989972222,-78.74238259972222,0,4032.0,1908.0,
69,1623027026,34359738366,0,,,,,,b'\xf6\x89\xf7\xca\x1c\x83\xc0\xc3\xe9\x9a\x8e&\xc0@\x8a>\xc2\x8aY#',2646099,,0,,,,,0,0,0,0,,,,,,1623027024000.0,-14400000,33.79691989972222,-78.74238259972222,0,4032.0,1908.0,
70,1623027031,34359738366,0,,,,,,b'S\xed\xb3\xf0/<\x90\x00\x08\xb4\x033\x90\x89\x07\x17\x9e\x08\xb7\x94',2576834,,0,,,,,0,0,0,0,,,,,,1623027029000.0,-14400000,33.796877599999995,-78.74246519972222,0,4032.0,1908.0,
71,1623027091,34359738366,0,,,,,,"b'M\xbe,M\xf75\xf07\xe5\xb67v\x9f`\xa5](\xc2(\xbb'",2343200,,0,,,,,0,0,0,0,,,,,,1623027089000.0,-14400000,33.796887399999996,-78.7423983,0,4032.0,1908.0,
72,1623028844,34359738366,0,,,,,,b'\xba\xd6vQz\x91\x19\xc1\xa3{\x93%\x1fZ\x14\xe2\xa1[\x90 ',2315635,,0,,,,,0,0,0,0,,,,,,1623028841000.0,-14400000,33.79685889972222,-78.7421451,0,4032.0,1908.0,
73,1623028848,34359738366,0,,,,,,b'^\x02\xda\xa2\xee:\x0e\xb8\x8d\xb2I\x95\xa4\xb4\xd0\xdd\xc2\xa3\x0b\xb5',2531447,,0,,,,,0,0,0,0,,,,,,1623028845000.0,-14400000,33.79685889972222,-78.7421451,0,4032.0,1908.0,
74,1623028855,34359738366,0,,,,,,"b's\xd6w,\x8e;\xc6\xf0!\xac\xee\xa6.\x92f#\xd0\xf1\x80\xaf'",5662973,,0,,,,,0,0,0,0,,,,,,1623028855000.0,-14400000,33.79685897222222,-78.74214497222222,0,4032.0,1908.0,
75,1623028867,34359738366,0,,,,,,b'\xc7\xba\x99}]DP\xcd\xb0}J\xed\xe2\xbe\xab\xbc\x96\xf8\xd2&',4872924,,0,,,,,0,0,0,0,,,,,,1623028867000.0,-14400000,33.79685897222222,-78.74214497222222,0,4032.0,1908.0,
76,1623028870,34359738366,0,,,,,,b'\x9c\xf5s\x92\xc1\xbd\x02\x05\xd0\x87\xdd\x87\xeb\xf2in\x8c\xe6\xd3\x91',2603482,,0,,,,,0,0,0,0,,,,,,1623028869000.0,-14400000,33.79685889972222,-78.7421451,0,4032.0,1908.0,
77,1623688578,34359738366,0,,,,,,b'\xcf\xe2\xe9\x07\xa3M\x10\xd1\x93\naC\xcd.R\xff\x12\xb7^v',659283,,0,,,,,0,0,0,0,,,,,,1623688578000.0,-14400000,,,0,1080.0,2280.0,
78,1623778999,34359738366,0,,,,,,b'\x08\x93Ngr)\x80\x99\xf98\xfd\xc5\xf9\xee\xa8\xe0\xc1&\x88\x1f',541282,,0,,,,,0,0,0,0,,,,,,1623778998000.0,-14400000,,,0,1080.0,2280.0,
79,1623991378,34359738366,0,,,,,,b'\ro\xce\x1d\xfe\xdf\xae\xd6\x93\xbfR\xad\x9f%>\xb3|\x80\xd7\x12',576570,,0,,,,,0,0,0,0,,,,,,1623991378000.0,-14400000,37.23527777777778,-80.43694444444445,0,928.0,932.0,
80,1623991410,34359738366,0,,,,,,b'\xb4\xd39\xaa\x9a\xb9\xbck\xf2L\x91\xc5+\xaa\xd5Z\x98\x06\xf0\xd1',642502,,0,,,,,0,0,0,0,,,,,,1623991410000.0,-14400000,37.23527777777778,-80.43666666666667,0,1296.0,1304.0,
101,1625205231,34359738366,0,,,,,,b'\xa41R\x0e\xbaO-\xc8\xde*N\x80AsM\x91\x9f~\x89\x8d',597574,,0,,,,,0,0,0,0,,,,,,1625205230000.0,-14400000,,,0,1080.0,2280.0,
102,1625354860,34359738366,0,,,,,,b'\xa8\xcdf\xf7\x8b1\x16b\xa4\xc4\xa5\xf3\r!\x0f\xe31\x90\xfe\xc9',2628833,,0,,,,,0,0,0,0,,,,,,1625354857000.0,-14400000,37.2249265,-80.4158043,0,4608.0,2184.0,
103,1625354873,34359738366,0,,,,,,"b""\xbe)\xd2\xab\x9bE\\\x9b\xcd\xd4\xf42C\xbf\xa1\x99\xb3'\xa0?""",1977124,,0,,,,,0,0,0,0,,,,,,1625354871000.0,-14400000,37.2249265,-80.4158043,0,4608.0,2184.0,
104,1625354881,34359738366,0,,,,,,b'\xe0?\xb6\x1f\r0\x12\xee\x07I\xa3\x0e\t\xdb\xfe\xa3\xd9\xee4y',2188919,,0,,,,,0,0,0,0,,,,,,1625354879000.0,-14400000,37.2249265,-80.4158043,0,4608.0,2184.0,
105,1625354888,34359738366,0,,,,,,"b'\x7f\xcd""f\xde\x97S\xb9\xa8\xea`\x99\xca\xa0\xeb\x00\x19,\xde\xd0'",1805446,,0,,,,,0,0,0,0,,,,,,1625354886000.0,-14400000,37.2249265,-80.4158043,0,4608.0,2184.0,
106,1625354903,34359738366,0,,,,,,"b'`\x93(\xd3&N\x9en\x1f,\xaf\x17\xb2\xaf\x91P\xf6}{j'",2575415,,0,,,,,0,0,0,0,,,,,,1625354902000.0,-14400000,37.2249265,-80.4158043,0,4608.0,2184.0,
107,1625354912,34359738366,0,,,,,,b'\xd8\xa9\xbeJ\xa0\xe4\x9e\x87X\xc5\xccu\x92\xdfA\r\xcbg\xe3h',1816642,,0,,,,,0,0,0,0,,,,,,1625354910000.0,-14400000,37.2249265,-80.4158043,0,4608.0,2184.0,
108,1625354918,34359738366,0,,,,,,b'Z\x1f\xc7%\x0e\xf7\xa2\x9cZ\xc49\xb4]\x86\xe8V\xd6y\x9b\x04',1901035,,0,,,,,0,0,0,0,,,,,,1625354916000.0,-14400000,37.224919399722225,-80.4158397,0,4608.0,2184.0,
109,1625354920,34359738366,0,,,,,,b'\xc3g\xca-\x95\xbaw\x17\xa6u{)\x12\xb2\xfd\x13T\xd9rr',1586736,,0,,,,,0,0,0,0,,,,,,1625354919000.0,-14400000,37.2249307,-80.415889,0,4608.0,2184.0,
110,1625354944,34359738366,0,,,,,,b'ZB\n\xaa64\xc1p\x81p\xfa\x15\xef\xf4\xca\xa9*\xf4\xe2\xd8',1900794,,0,,,,,0,0,0,0,,,,,,1625354942000.0,-14400000,37.224899999722226,-80.41588389972223,0,4608.0,2184.0,
111,1625354950,34359738366,0,,,,,,b'\xac\xd2\xca\x12\xa7=\x1a\xf7J\x0e@\xf5\x85\x9czQ\xe8\x1c\xf9B',1762546,,0,,,,,0,0,0,0,,,,,,1625354948000.0,-14400000,37.2249004,-80.4158838,0,4608.0,2184.0,
112,1625357077,34359738366,0,,,,,,b'\x8c|\xe4\n/N\xc1\x02\x0fa\x06\x18\xa6\xfcn\xdc\x12\x89\xf6n',3136945,,0,,,,,0,0,0,0,,,,,,1625357075000.0,-14400000,37.22493539972223,-80.4158318,0,4032.0,1908.0,
113,1625357079,34359738366,0,,,,,,b'\xf3\xf7\x87\xd8_v\xeb\xf1w#\xff\xcf\xaa\xc5\x82\xfc\x16ON\xf0',4543301,,0,,,,,0,0,0,0,,,,,,1625357078000.0,-14400000,37.224972972222226,-80.41584,0,4032.0,1908.0,
114,1625357081,34359738366,0,,,,,,"b'\x8a\xa8+R\xbaN\x9a\x9b\xb3\x82&b,B\xca\x92v\xf7\xa1\xd0'",3165941,,0,,,,,0,0,0,0,,,,,,1625357080000.0,-14400000,37.22497249972223,-80.41583989972223,0,4032.0,1908.0,
115,1625357087,34359738366,0,,,,,,b'\xf2\xd3\xd1wt\x81y\x08\x0e\xe4)\x12j_\xe1\xac\xbc\xa9zA',2608292,,0,,,,,0,0,0,0,,,,,,1625357085000.0,-14400000,37.22497249972223,-80.41583989972223,0,4032.0,1908.0,
120,1625509672,34359738366,0,,,,,,"b'\xdc\x19\x8a\xdd,\xe5w-\t\xb8\xa4\xc5T\x86\xcbH\xed\xfcpQ'",744824,,0,,,,,0,0,0,0,,,,,,1625509672000.0,-14400000,,,0,1080.0,2280.0,
121,1625509726,34359738366,0,,,,,,b'\x90_\xa5\xc2Dzj9\x8c\xfe\x14\xec\xcd\x86]0\xf0g\xde\xbe',744861,,0,,,,,0,0,0,0,,,,,,1625509726000.0,-14400000,,,0,1080.0,2280.0,
122,1625509737,34359738366,0,,,,,,b'R\xea?E\xb3E\xba\x91\xb5*\xb6\xe1\xb6F\xffr\xef\xbc\xa3\x07',742424,,0,,,,,0,0,0,0,,,,,,1625509736000.0,-14400000,,,0,1080.0,2280.0,
123,1625509796,34359738366,0,,,,,,b'\xe3\x89\x02\x04/\xfcx5\xb7\x9b-\x86\xb7\xe4;\x15\x0cx+\xdf',737763,,0,,,,,0,0,0,0,,,,,,1625509795000.0,-14400000,,,0,1080.0,2280.0,
124,1625509912,34359738366,0,,,,,,b'\x05\x87\x94[\x18\xd7s!V\xb6\xde\x1a\xa7\x98_0\xeb!0\xed',742964,,0,,,,,0,0,0,0,,,,,,1625509912000.0,-14400000,,,0,1080.0,2280.0,
125,1625510094,34359738366,0,,,,,,"b'\xf2=1,Ah\xe6\x132i\x16B7h1\x1f\x87\xf7\x1e\xe6'",733364,,0,,,,,0,0,0,0,,,,,,1625510094000.0,-14400000,,,0,1080.0,2280.0,
126,1625510119,34359738366,0,,,,,,b'\xa3\xe9\xa3{\xa4#\x1a\x86\xc3M\x1c\xbc8\x01A\xf8\x17\x9a`\xec',735111,,0,,,,,0,0,0,0,,,,,,1625510119000.0,-14400000,,,0,1080.0,2280.0,
