RecordId,cname,concept_type,parent_concepts
1,viv.voiceRecorderApp.NetworkConnection,boolean,
2,viv.voiceRecorderApp.Duration,text,
3,viv.voiceRecorderApp.GoalName,name,
4,viv.voiceRecorderApp.RecordingMode,enum,
5,viv.voiceRecorderApp.SupportInterviewMode,boolean,
6,viv.voiceRecorderApp.ActionResult,boolean,
7,viv.voiceRecorderApp.SupportSpeechToTextMode,boolean,
8,viv.voiceRecorderApp.NoActionResult,structure,
9,viv.voiceRecorderApp.Uri,text,
10,viv.voiceRecorderApp.ActionDescription,text,
11,viv.voiceRecorderApp.Date,text,
12,viv.voiceRecorderApp.GoalEnabled,boolean,
13,viv.voiceRecorderApp.FileName,name,
14,viv.voiceRecorderApp.FileNameId,text,
15,viv.voiceRecorderApp.RecordingModeActionResult,structure,
16,viv.voiceRecorderApp.ResultList,structure,
17,viv.voiceRecorderApp.ResultList,structure,
18,viv.voiceRecorderApp.RecordingObject,structure,
19,viv.voiceRecorderApp.ActionResponse,structure,
20,viv.voiceRecorderApp.RecordingInfo,structure,
21,viv.voiceRecorderApp.ShowFileListActionResult,structure,
22,viv.voiceRecorderApp.PlayActionResult,structure,
23,viv.bixbyVoiceApp.MCapsuleId,text,
24,viv.bixbyVoiceApp.SearchBixbyCapsuleName,text,
25,viv.bixbyVoiceApp.ResultDescription,text,
26,viv.bixbyVoiceApp.TurnOnOffFeatureName,enum,
27,viv.bixbyVoiceApp.IsFeatureAvailable,boolean,
28,viv.bixbyVoiceApp.IsVoiceUnlockEnabled,boolean,
29,viv.bixbyVoiceApp.SearchBixbyCapsuleKeyword,text,
30,viv.bixbyVoiceApp.IsSideKeySupported,boolean,
31,viv.bixbyVoiceApp.IsDoublePressTurnedOn,boolean,
32,viv.bixbyVoiceApp.Deeplink,text,
33,viv.bixbyVoiceApp.CategoryName,name,
34,viv.bixbyVoiceApp.Value,text,
35,viv.bixbyVoiceApp.CapsuleId,text,
36,viv.bixbyVoiceApp.MCategoryId,name,
37,viv.bixbyVoiceApp.NewCapsuleAlias,enum,
38,viv.bixbyVoiceApp.FeatureDumpName,text,
39,viv.bixbyVoiceApp.IconURL,text,
40,viv.bixbyVoiceApp.ConfirmationType,boolean,viv.core.Confirmation
41,viv.bixbyVoiceApp.CurrentStyleName,text,
42,viv.bixbyVoiceApp.Language,enum,
43,viv.bixbyVoiceApp.IsNewCapsuleSupported,boolean,
44,viv.bixbyVoiceApp.DisplayName,name,
45,viv.bixbyVoiceApp.ResultState,enum,
46,viv.bixbyVoiceApp.Uri,text,
47,viv.bixbyVoiceApp.IsKeyguardLocked,boolean,
48,viv.bixbyVoiceApp.State,text,
49,viv.bixbyVoiceApp.CapsuleName,enum,
50,viv.bixbyVoiceApp.Nickname,name,
51,viv.bixbyVoiceApp.MCategories,text,
52,viv.bixbyVoiceApp.WhyDisEnabled,text,
53,viv.bixbyVoiceApp.IsEnabled,boolean,
54,viv.bixbyVoiceApp.IsRetailMode,boolean,
55,viv.bixbyVoiceApp.VoiceGender,enum,
56,viv.bixbyVoiceApp.UserName,name,
57,viv.bixbyVoiceApp.StyleProfile,name,
58,viv.bixbyVoiceApp.StyleName,enum,
59,viv.bixbyVoiceApp.IsTablet,boolean,
60,viv.bixbyVoiceApp.HintUtterance,text,
61,viv.bixbyVoiceApp.IsOtherCase,boolean,
62,viv.bixbyVoiceApp.MIconUrl,text,
63,viv.bixbyVoiceApp.FeatureName,enum,
64,viv.bixbyVoiceApp.TextSize,enum,
65,viv.bixbyVoiceApp.ValidCategory,text,
66,viv.bixbyVoiceApp.IsLongPressSetAsBixby,boolean,
67,viv.bixbyVoiceApp.Feature,text,
68,viv.bixbyVoiceApp.IsDoublePressSetAsBixby,boolean,
69,viv.bixbyVoiceApp.IsWakeUpByVoice,boolean,
70,viv.bixbyVoiceApp.GoToFeature2FeatureName,enum,
71,viv.bixbyVoiceApp.TutorialsName,enum,
72,viv.bixbyVoiceApp.CategoryId,text,
73,viv.bixbyVoiceApp.NameType,enum,
74,viv.bixbyVoiceApp.ServiceName,name,
75,viv.bixbyVoiceApp.IsChecked,boolean,
76,viv.bixbyVoiceApp.Flag,text,
77,viv.bixbyVoiceApp.MCapsuleName,text,
78,viv.bixbyVoiceApp.IsKeyguardSecure,boolean,
79,viv.bixbyVoiceApp.TurnOffBixbyResult,structure,
80,viv.bixbyVoiceApp.SearchBixbyCapsuleResult,structure,
81,viv.bixbyVoiceApp.GoToNewCapsuleResult,structure,viv.bixbyVoiceApp.ActionResult
82,viv.bixbyVoiceApp.TurnOnBixbyResult,structure,viv.bixbyVoiceApp.AppLaunchResult
83,viv.bixbyVoiceApp.AppLaunchResult,structure,
84,viv.bixbyVoiceApp.GoToFeature2Result,structure,
85,viv.bixbyVoiceApp.SideKeySettingResult,structure,
86,viv.bixbyVoiceApp.TurnOnOffResult,structure,
87,viv.bixbyVoiceApp.ChangeStyleResult,structure,
88,viv.bixbyVoiceApp.VoiceStyleResult,structure,
89,viv.bixbyVoiceApp.ActionResult,structure,
90,viv.bixbyVoiceApp.LanguageList,structure,
91,viv.bixbyVoiceApp.ProfileResult,structure,
92,viv.bixbyVoiceApp.OutputResult,structure,
93,viv.bixbyVoiceApp.ChangeDefaultServiceResult,structure,
94,viv.bixbyVoiceApp.GetCapsuleDataResult,structure,
95,viv.bixbyVoiceApp.UnlockPhoneResult,structure,
96,viv.bixbyVoiceApp.DefaultServiceCategoryUndefinedResult,structure,viv.bixbyVoiceApp.GetCapsuleDataResult
97,viv.bixbyVoiceApp.DoYouSpeakResult,structure,
98,viv.bixbyVoiceApp.ServiceItem,structure,
99,viv.bixbyVoiceApp.GetFeatureInfoResult,structure,
100,viv.bixbyVoiceApp.SideKeyDataResult,structure,
101,viv.bixbyVoiceApp.MCapsuleItemList,structure,
102,viv.bixbyVoiceApp.FilteredNickname,structure,
103,viv.bixbyVoiceApp.ChangeLanguageResult,structure,
104,viv.bixbyVoiceApp.FeatureName_Watch,enum,
105,viv.bixbyVoiceApp.UnlockPhoneResult_Watch,structure,
106,viv.bixbyVoiceApp.GoToFeatureResult_Watch,structure,viv.bixbyVoiceApp.AppLaunchResult
107,viv.phoneApp.NoActionResult,text,
108,viv.phoneApp.PublicEmergencyNumber,name,
109,viv.phoneApp.ResultDescription,text,
110,viv.phoneApp.Name,text,
111,viv.phoneApp.PhoneNumber,text,viv.contact.PhoneNumber
112,viv.phoneApp.FormattedPhoneNumber,text,
113,viv.phoneApp.PartialMatch,boolean,
114,viv.phoneApp.SpeedDialNumber,integer,viv.contact.SpeedDialNumber
115,viv.phoneApp.IsMobileDevice,boolean,
116,viv.phoneApp.IsEmergency,boolean,
117,viv.phoneApp.PhoneType,enum,viv.contact.PhoneType
118,viv.phoneApp.URI,text,
119,viv.phoneApp.FilterTerm,text,
120,viv.phoneApp.Boolean,boolean,
121,viv.phoneApp.SepratedName,text,
122,viv.phoneApp.EnableOnLock,boolean,
123,viv.phoneApp.AllowedLockContext,boolean,
124,viv.phoneApp.SearchKeyword,text,
125,viv.phoneApp.IsConnectBT,boolean,
126,viv.phoneApp.ChangedSearchTerm,text,
127,viv.phoneApp.CheckGoal,integer,
128,viv.phoneApp.PhoneNumberForSpeech,text,
129,viv.phoneApp.ReplaceTerm,text,
130,viv.phoneApp.Result,enum,
131,viv.phoneApp.DeleteConfirmationType,boolean,viv.core.Confirmation
132,viv.phoneApp.LatestCall,enum,
133,viv.phoneApp.SelectAll,boolean,
134,viv.phoneApp.PublicEmergencyService,name,
135,viv.phoneApp.Speaker,boolean,
136,viv.phoneApp.ContactWithisPhoneTypeSelect,structure,
137,viv.phoneApp.ContactInfo,structure,
138,viv.phoneApp.DividedSearchTerm,structure,
139,viv.phoneApp.CallingInfo,structure,viv.call.CallingInfo
140,viv.phoneApp.EmergencyCallingInfo,structure,viv.call.CallingInfo
141,viv.phoneApp.DraftContactInfo,structure,viv.contact.DraftContactInfo
142,viv.phoneApp.BlockedCall,structure,viv.call.BlockedCall
143,viv.phoneApp.AcceptCallCondition,structure,viv.phoneApp.PunchOutCondition
144,viv.phoneApp.CallLogInfo,structure,
145,viv.phoneApp.BlockCallResult,structure,viv.call.BlockCallResult
146,viv.phoneApp.RejectCallResult,structure,viv.phoneApp.ActionResult
147,viv.phoneApp.MoreInPhoneAppResult,structure,
148,viv.phoneApp.HowToUsePhoneAppResult,structure,
149,viv.phoneApp.ActionResult,structure,
150,viv.phoneApp.RecipientInfo,structure,viv.email.RecipientInfo
151,viv.phoneApp.ChangedSearchTermAndSpeedDial,structure,
