flags,word,value,confidence,CultureId
256,eins,1,1000,7
256,eine,1,1000,7
256,ein,1,1000,7
256,einer,1,1000,7
256,einem,1,1000,7
257,eis,1,800,7
258,erste,1,1000,7
258,erstem,1,1000,7
258,ersten,1,1000,7
258,erster,1,1000,7
258,erstes,1,1000,7
258,erstens,1,1000,7
256,zwei,2,1000,7
258,zweite,2,1000,7
258,zweitem,2,1000,7
258,zweiten,2,1000,7
258,zweiter,2,1000,7
258,zweites,2,1000,7
258,zweitens,2,1000,7
256,drei,3,1000,7
258,dritte,3,1000,7
258,drittem,3,1000,7
258,dritten,3,1000,7
258,dritter,3,1000,7
258,drittes,3,1000,7
258,drittens,3,1000,7
256,vier,4,1000,7
257,viel,4,800,7
258,vierte,4,1000,7
258,viertem,4,1000,7
258,vierten,4,1000,7
258,vierter,4,1000,7
258,viertes,4,1000,7
258,viertens,4,1000,7
256,fünf,5,1000,7
258,fünfte,5,1000,7
258,fünftem,5,1000,7
258,fünften,5,1000,7
258,fünfter,5,1000,7
258,fünftes,5,1000,7
258,fünftens,5,1000,7
256,sechs,6,1000,7
257,sex,6,800,7
258,sechste,6,1000,7
258,sechstem,6,1000,7
258,sechsten,6,1000,7
258,sechster,6,1000,7
258,sechstes,6,1000,7
258,sechstens,6,1000,7
256,sieben,7,1000,7
258,siebte,7,1000,7
258,siebente,7,1000,7
258,siebentem,7,1000,7
258,siebenten,7,1000,7
258,siebenter,7,1000,7
258,siebentes,7,1000,7
258,siebentens,7,1000,7
256,acht,8,1000,7
257,achten,8,800,7
258,achte,8,1000,7
258,achtem,8,1000,7
258,achten,8,1000,7
258,achter,8,1000,7
258,achtes,8,1000,7
258,achtens,8,1000,7
256,neun,9,1000,7
257,neuen,9,800,7
258,neunte,9,1000,7
258,neuntem,9,1000,7
258,neunten,9,1000,7
258,neunter,9,1000,7
258,neuntes,9,1000,7
258,neuntens,9,1000,7
1536,zehn,10,1000,7
1537,zehen,10,800,7
1538,zehnte,10,1000,7
1538,zehntem,10,1000,7
1538,zehnten,10,1000,7
1538,zehnter,10,1000,7
1538,zehntes,10,1000,7
1538,zehntens,10,1000,7
512,elf,11,1000,7
514,elfte,11,1000,7
514,elftem,11,1000,7
514,elften,11,1000,7
514,elfter,11,1000,7
514,elftes,11,1000,7
514,elftens,11,1000,7
512,zwölf,12,1000,7
514,zwölfte,12,1000,7
514,zwölftem,12,1000,7
