id,build_time,total_num,right_num,train_time,train_sets
1,0,37,0,0,0
2,1617516079278,31,0,35,37
3,1617602405503,0,0,28,68
4,1617689479648,7,0,40,68
5,1617775278870,5,0,31,75
6,1617861979045,0,0,31,80
7,1617948379244,0,0,35,80
8,1618034778442,58,0,30,80
9,1618121178124,19,0,41,138
10,1618207578818,0,0,44,157
11,1618293979006,25,0,45,157
12,1618380079262,19,0,54,182
13,1618466401460,15,0,56,201
14,1618552876749,9,0,60,216
15,1618639279090,7,0,93,225
16,1618725716925,13,0,51,232
17,1618812077126,0,0,32,245
18,1618898477420,0,0,60,245
19,1618984876522,0,0,48,245
20,1619071276751,1,0,54,245
21,1619158130170,0,0,65,246
22,1619244677077,1,0,41,246
23,1619331077252,9,0,49,247
24,1619416800479,2,0,86,256
25,1619503873737,0,0,36,258
26,1619589675124,0,0,27,258
27,1619676074131,5,0,63,258
28,1619763074345,0,0,36,263
29,1619849473553,0,0,56,263
30,1620195024065,13,7,87,195
31,1620281207256,0,0,43,208
32,1620367488467,0,0,49,201
33,1620454126212,0,0,40,196
34,1620540825399,1,1,38,196
35,1620627162605,0,0,39,197
36,1620801293920,0,0,33,120
37,1620886814082,0,0,32,120
38,1620973510324,0,0,28,95
39,1621060192498,8,2,18,76
40,1621145070707,0,0,14,69
41,1621231503929,7,6,18,60
42,1621318470129,10,3,53,60
43,1621404040401,6,5,29,57
44,1621490871182,10,5,23,63
45,1621577365394,0,0,27,73
46,1621663311595,0,0,30,73
47,1621749652803,4,3,15,72
48,1621836171001,10,7,32,76
49,1621923171194,2,2,32,85
50,1622095249344,0,0,49,76
51,1622182130509,0,0,18,76
52,1622268049712,0,0,27,76
53,1622354985905,0,0,27,71
54,1622441150111,0,0,37,71
55,1622527249306,21,9,17,71
56,1622613616085,0,0,33,92
57,1622700111674,22,14,36,92
58,1622786628591,1,1,31,114
59,1622872874772,12,6,29,102
60,1622959848915,29,22,41,114
61,1623045820833,4,0,39,143
62,1623132239022,0,0,61,147
63,1623219220232,10,10,36,146
64,1623305621402,29,9,32,156
65,1623478130138,0,0,53,185
66,1623564227257,3,3,48,185
67,1623650511544,23,8,48,188
68,1623737327752,42,17,51,203
69,1623823205001,8,5,60,245
70,1623910031138,27,10,77,246
71,1623996228368,15,12,47,263
72,1624082627552,9,5,83,272
73,1624169028917,0,0,57,271
74,1624255427908,1,0,58,271
75,1624341670136,2,0,65,272
76,1624428169138,0,0,86,270
77,1624514539348,5,0,33,260
78,1624600801557,14,7,69,265
79,1624687369713,0,0,71,277
80,1624774069913,4,3,74,277
81,1624860769090,1,1,50,281
82,1624946674194,0,0,72,282
83,1625033073371,2,1,60,282
84,1625119312374,25,11,61,284
85,1625205602210,10,5,56,277
86,1625292415341,5,3,89,298
87,1625378562587,40,16,52,281
88,1625551429919,1,1,65,308
89,1625638430084,54,29,40,280
90,1625724503882,0,0,68,330
91,1625810784641,2,1,62,330
92,1625896884830,6,5,62,322
93,1625983285050,0,0,61,319
94,1626069685234,0,0,55,299
95,1626156084443,7,4,56,299
96,1626243084631,10,2,54,303
97,1626328884815,4,3,56,290
98,1626415287005,0,0,54,252
99,1626501984212,4,2,44,244
100,1626588385421,0,0,48,221
101,1626674784593,19,11,44,206
102,1626761184870,16,13,54,216
103,1626847585009,27,20,62,232
