_id,MCC,Country_Code,Country_Name,NDD,NANPS,GMT_Offset_Low,GMT_Offset_High,GMT_DST_Low,GMT_DST_High
1,202,30,Greece,0,0,2.0,2.0,3.0,3.0
2,204,31,Netherlands,0,0,1.0,1.0,2.0,2.0
3,206,32,Belgium,0,0,1.0,1.0,2.0,2.0
4,208,33,France,0,0,1.0,1.0,2.0,2.0
5,212,377,Monaco,,0,1.0,1.0,2.0,2.0
6,213,376,Andorra,,0,1.0,1.0,2.0,2.0
7,214,34,Spain,,0,1.0,1.0,2.0,2.0
8,216,36,Hungary,06,0,1.0,1.0,2.0,2.0
9,218,387,Bosnia and Herzegovina,0,0,1.0,1.0,2.0,2.0
10,219,385,Croatia,0,0,1.0,1.0,2.0,2.0
11,220,381,Serbia (Republic of),0,0,1.0,1.0,1.0,1.0
12,222,39,Italy,,0,1.0,1.0,2.0,2.0
13,225,39,Vatican City State,,0,1.0,1.0,2.0,2.0
14,226,40,Romania,0,0,2.0,2.0,3.0,3.0
15,228,41,Switzerland,0,0,1.0,1.0,2.0,2.0
16,230,420,Czechia,,0,1.0,1.0,2.0,2.0
17,231,421,Slovakia,0,0,1.0,1.0,2.0,2.0
18,232,43,Austria,0,0,1.0,1.0,2.0,2.0
19,234,44,United Kingdom,0,0,0.0,0.0,1.0,1.0
20,238,45,Denmark,,0,1.0,1.0,2.0,2.0
21,240,46,Sweden,0,0,1.0,1.0,2.0,2.0
22,242,47,Norway,,0,1.0,1.0,2.0,2.0
23,244,358,Finland,0,0,2.0,2.0,3.0,3.0
24,246,370,Lithuania,0,0,2.0,2.0,3.0,3.0
25,247,371,Latvia,,0,2.0,2.0,3.0,3.0
26,248,372,Estonia,,0,2.0,2.0,3.0,3.0
27,250,7,Russian Federation,8,0,2.0,12.0,3.0,13.0
28,255,380,Ukraine,0,0,2.0,2.0,3.0,3.0
29,257,375,Belarus,8,0,2.0,2.0,3.0,3.0
30,259,373,Moldova,0,0,2.0,2.0,3.0,3.0
31,260,48,Poland,0,0,1.0,1.0,2.0,2.0
32,262,49,Germany,0,0,1.0,1.0,2.0,2.0
33,266,350,Gibraltar (UK),,0,1.0,1.0,2.0,2.0
34,268,351,Portugal,,0,0.0,0.0,1.0,1.0
35,270,352,Luxembourg,,0,1.0,1.0,2.0,2.0
36,272,353,Ireland,0,0,0.0,0.0,1.0,1.0
37,274,354,Iceland,0,0,0.0,0.0,0.0,0.0
38,276,355,Albania,0,0,1.0,1.0,2.0,2.0
39,278,356,Malta,,0,1.0,1.0,2.0,2.0
40,280,357,Cyprus,,0,2.0,2.0,3.0,3.0
41,282,995,Georgia,8,0,4.0,4.0,4.0,4.0
42,283,374,Armenia,0,0,4.0,4.0,5.0,5.0
43,284,359,Bulgaria,0,0,2.0,2.0,3.0,3.0
44,286,90,Turkey,0,0,2.0,2.0,3.0,3.0
45,288,298,Faroe Islands (Denmark),,0,0.0,0.0,1.0,1.0
46,290,299,Greenland (Denmark),,0,0.0,-4.0,0.0,-4.0
47,292,378,San Marino,,0,1.0,1.0,2.0,2.0
48,293,386,Slovenia,0,0,1.0,1.0,2.0,2.0
49,294,389,Republic of Macedonia,0,0,1.0,1.0,2.0,2.0
50,295,423,Liechtenstein,,0,1.0,1.0,2.0,2.0
51,297,382,Montenegro (Republic of),0,0,1.0,1.0,1.0,1.0
52,302,1,Canada,1,0,-3.5,-8.0,-2.5,-8.0
53,308,508,Saint Pierre and Miquelon (France),,0,-3.0,-3.0,-2.0,-2.0
54,310,1,United States of America,1,0,-10.0,-5.0,-10.0,-4.0
55,311,1,United States of America,1,0,-10.0,-5.0,-10.0,-4.0
56,312,1,United States of America,1,0,-10.0,-5.0,-10.0,-4.0
57,313,1,United States of America,1,0,-10.0,-5.0,-10.0,-4.0
58,314,1,United States of America,1,0,-10.0,-5.0,-10.0,-4.0
59,315,1,United States of America,1,0,-10.0,-5.0,-10.0,-4.0
60,316,1,United States of America,1,0,-10.0,-5.0,-10.0,-4.0
61,330,1,Puerto Rico (US),1,0,-4.0,-4.0,-4.0,-4.0
62,332,1,United States Virgin Islands (US),1,0,-4.0,-4.0,-4.0,-4.0
63,334,52,Mexico,01,0,-8.0,-6.0,-8.0,-6.0
64,338,1,Jamaica,1,0,-5.0,-5.0,-5.0,-5.0
65,340,590,Guadeloupe (France),,0,-4.0,-4.0,-4.0,-4.0
66,342,1,Barbados,1,0,-4.0,-4.0,-4.0,-4.0
67,344,1,Antigua and Barbuda,1,0,-4.0,-4.0,-4.0,-4.0
68,346,1,Cayman Islands (UK),1,0,-5.0,-5.0,-5.0,-5.0
69,348,1,British Virgin Islands (UK),1,0,1.0,0.0,0.0,-4.0
70,350,1,Bermuda (UK),1,0,0.0,1.0,1.0,2.0
71,352,1,Grenada,1,0,-4.0,-4.0,-4.0,-4.0
72,354,1,Montserrat (UK),1,0,-4.0,-4.0,-4.0,-4.0
73,356,1,Saint Kitts and Nevis,1,0,-4.0,-4.0,-4.0,-4.0
74,358,1,Saint Lucia,1,0,-4.0,-4.0,-4.0,-4.0
75,360,1,Saint Vincent and the Grenadines,1,0,-4.0,-4.0,-4.0,-4.0
76,362,599,Netherlands Antilles (Netherlands),0,0,-4.0,-4.0,-4.0,-4.0
77,363,297,Aruba (Netherlands),,0,-4.0,-4.0,-4.0,-4.0
78,364,1,Bahamas,1,0,-5.0,-5.0,-4.0,-4.0
79,365,1,Anguilla,1,0,-4.0,-4.0,-4.0,-4.0
80,366,1,Dominica,1,0,-4.0,-4.0,-4.0,-4.0
81,368,53,Cuba,0,0,-5.0,-5.0,-4.0,-4.0
82,370,1,Dominican Republic,1,0,-4.0,-4.0,-4.0,-4.0
83,372,509,Haiti,,0,-5.0,-5.0,-5.0,-5.0
84,374,1,Trinidad and Tobago,1,0,-4.0,-4.0,-4.0,-4.0
85,376,1,Turks and Caicos Islands (UK),1,0,-5.0,-5.0,-4.0,-4.0
86,400,994,Azerbaijani Republic,0,0,4.0,4.0,5.0,5.0
