_id,MCC,SID_Range_Low,SID_Range_High
1,412,14976,15103
2,276,31456,31471
3,603,8288,8319
4,631,9504,9535
5,344,8144,8159
6,722,32128,32255
7,363,9648,9663
8,505,7680,7807
9,505,8320,8447
10,232,22912,23039
11,364,8080,8095
12,426,31408,31423
13,470,13472,13479
14,342,8160,8175
15,206,23936,24063
16,702,32640,32649
17,616,9088,9119
18,736,31232,31263
19,652,10176,10207
20,724,31872,32127
21,348,8112,8127
22,528,10880,10895
23,284,15584,15615
24,613,8992,9023
25,642,9952,9983
26,456,11104,11135
27,624,9344,9375
28,302,16384,18431
29,625,8848,8863
30,346,8128,8143
31,623,9312,9343
32,622,9280,9311
33,730,31744,31754
34,730,31809,31820
35,730,31841,31854
36,460,13568,14335
37,460,25600,26111
38,732,31616,31743
39,654,10208,10239
40,548,11136,11151
41,712,32544,32575
42,612,8960,8991
43,368,32256,32383
44,280,31200,31231
45,230,16128,16255
46,630,9440,9471
47,238,22528,22543
48,638,8912,8927
49,366,9616,9631
50,370,8832,8847
51,740,31296,31327
52,602,8224,8255
53,706,32704,32735
54,627,9376,9407
55,248,10872,10879
56,636,9760,9791
57,288,7936,7951
58,550,11040,11071
59,542,10960,10975
60,244,24448,24451
61,208,23680,23935
62,742,31328,31359
63,547,11248,11263
64,628,9408,9439
65,607,8544,8575
66,262,22016,22271
67,620,9216,9247
68,266,31440,31455
69,202,24192,24319
70,290,7952,7967
71,352,8064,8079
72,340,31360,31375
73,535,9696,9711
74,704,32672,32703
75,611,8800,8831
76,632,8800,8831
77,738,31264,31295
78,372,32608,32639
79,708,32736,32767
80,454,10640,10647
81,216,15744,15871
82,274,24416,24447
83,404,14464,14847
84,510,10496,10623
85,432,15616,15743
86,418,15456,15487
87,272,24384,24387
88,425,8448,8479
89,222,23168,23423
90,338,8176,8189
91,440,12288,13311
92,416,15392,15423
93,401,8928,8943
94,639,9856,9887
95,545,11200,11215
96,467,11072,11103
97,450,2176,2303
98,419,11312,11327
99,437,21550,21566
100,457,13440,13471
101,247,10784,10785
102,415,15360,15391
103,651,9600,9615
104,618,9152,9183
105,606,8512,8543
106,270,24352,24383
107,455,11296,11311
108,646,10048,10079
109,650,10144,10175
110,502,10368,10495
111,472,13536,13567
112,610,8768,8799
113,278,31472,31475
114,551,11280,11295
115,340,31376,31391
116,609,8736,8767
117,617,9120,9151
118,334,24576,25075
119,334,25100,25124
120,259,15922,15937
121,212,10752,10767
122,428,15520,15551
123,354,8048,8063
124,604,8256,8287
125,643,9984,10015
126,414,15232,15359
127,649,10112,10143
128,536,10896,10911
129,429,15552,15583
130,204,24064,24191
131,362,31392,31407
132,546,11216,11231
133,530,8576,8582
134,710,32512,32543
135,614,9024,9055
136,621,9248,9279
137,534,9680,9695
138,242,22272,22399
139,422,11344,11359
140,410,14848,14975
141,552,10976,10991
142,714,32576,32607
143,537,11008,11039
144,744,31104,31135
145,716,32384,32511
146,515,10624,10639
147,515,10656,10751
148,260,16256,16271
149,260,16272,16383
150,268,24320,24351
151,427,31424,31439
152,629,9440,9471
153,647,8944,8959
154,226,16000,16127
155,250,11392,11554
156,250,11556,11599
157,250,11601,12287
158,635,9728,9759
159,356,8032,8047
160,358,8016,8031
161,308,7984,7999
162,308,10816,10831
163,360,8000,8007
164,549,11184,11199
165,292,10768,10783
166,626,8864,8879
167,420,15488,15519
168,608,8704,8735
169,220,23424,23551
170,633,8896,8911
171,619,9184,9215
172,525,9664,9679
173,540,10928,10943
174,637,9792,9823
175,655,10240,10367
176,214,23552,23679
177,413,15104,15231
178,634,9568,9599
179,746,31136,31167
180,653,9632,9647
181,240,22400,22403
182,228,23040,23167
183,417,15424,15455
184,466,13504,13535
185,436,10856,10871
186,640,9888,9919
187,520,8192,8223
188,615,9056,9087
189,539,10912,10927
190,374,9824,9855
191,605,8480,8511
192,286,14336,14463
193,376,10800,10815
194,641,9920,9951
195,255,15906,15921
196,424,11376,11391
197,430,11376,11391
198,431,11376,11391
199,234,22656,22911
200,310,1,2175
201,310,2304,7679
202,310,21567,21630
203,748,31168,31199
204,434,10832,10855
205,434,11555,11555
206,434,11600,11600
207,541,10944,10959
208,734,31488,31615
209,452,13312,13439
210,543,10992,11007
211,421,11328,11343
212,421,11360,11375
213,645,10016,10047
214,648,10080,10111
215,544,11168,11183
216,283,15938,15945
217,400,15946,15953
218,257,15954,15961
219,350,8096,8111
220,438,15970,15977
221,470,13480,13480
222,470,12461,12461
223,470,12463,12464
224,454,10648,10648
225,454,10649,10655
226,405,14464,14847
227,338,8190,8190
228,338,8191,8191
229,530,8583,8583
230,530,8584,8703
231,235,22656,22911
232,310,6291,7679
233,311,1,2175
234,311,2304,6189
235,311,6191,7679
236,311,21567,21630
237,312,21567,21630
238,313,21567,21630
239,314,21567,21630
240,315,21567,21630
241,316,21567,21630
242,316,6191,7679
243,315,6191,7679
244,314,6191,7679
245,313,6191,7679
246,312,6191,7679
247,312,2304,6189
248,313,2304,6189
249,314,2304,6189
250,315,2304,6189
251,316,2304,6189
252,316,1,2175
253,315,1,2175
254,314,1,2175
255,313,1,2175
256,312,1,2175
257,348,6190,6190
258,470,13481,13503
259,310,22404,22527
