RecordId,concept_type,criteria_type
1,boolean,ExactMatch
2,decimal,Number
3,enum,ExactMatch
4,integer,Number
5,name,Catchall
6,qualified,Regex
7,text,Catchall
8,structure,PatternFor
9,PDSS,PDSS
10,viv.geo.Address,Geo
11,viv.geo.AdministrativeDivision,Geo
12,viv.geo.AdministrativeDivisionAlternateName,Geo
13,viv.geo.AdministrativeDivisionName,Geo
14,viv.geo.AdministrativeDivisionTypeName,Geo
15,viv.geo.Autosuggest,Geo
16,viv.geo.BuildDistance,Geo
17,viv.geo.BuildGeoMarker,Geo
18,viv.geo.BuildNamedPointAddressFromAdminDivision,Geo
19,viv.geo.BuildPointRadius,Geo
20,viv.geo.BuildPointRadiusSearchRegion,Geo
21,viv.geo.BuildPostalLocationSearchRegion,Geo
22,viv.geo.BuildSearchRadius,Geo
23,viv.geo.BuildSearchRegion,Geo
24,viv.geo.BuildStreet,Geo
25,viv.geo.Capital,Geo
26,viv.geo.CompassDirection,Geo
27,viv.geo.ConstructNamedPointFromAddress,Geo
28,viv.geo.ConstructNamedPointFromAdministrativeDivision,Geo
29,viv.geo.ConstructNamedPointFromPlace,Geo
30,viv.geo.ConstructNamedPointFromPoint,Geo
31,viv.geo.ConstructNamedPointFromRegion,Geo
32,viv.geo.ConstructStreetAddress,Geo
33,viv.geo.CountryDivision,Geo
34,viv.geo.CountryDivisionName,Geo
35,viv.geo.CurrentDistance,Geo
36,viv.geo.CurrentLocation,Geo
37,viv.geo.Density,Geo
38,viv.geo.DensityType,Geo
39,viv.geo.Distance,Geo
40,viv.geo.DistanceMagnitude,Geo
41,viv.geo.DistanceUnit,Geo
42,viv.geo.FindAdminShape,Geo
43,viv.geo.FindCountryDivision,Geo
44,viv.geo.FindCountryDivisionCapital,Geo
45,viv.geo.FindCountryDivisionCapitalOrCountryDivision,Geo
46,viv.geo.FindGeocodedAddress,Geo
47,viv.geo.FindIntersection,Geo
48,viv.geo.FindLevelFourDivision,Geo
49,viv.geo.FindLevelOneDivision,Geo
50,viv.geo.FindLevelOneDivisionCapital,Geo
51,viv.geo.FindLevelThreeDivision,Geo
52,viv.geo.FindLevelTwoDivision,Geo
53,viv.geo.FindLocality,Geo
54,viv.geo.FindNeighborhood,Geo
55,viv.geo.FindPointOfInterest,Geo
56,viv.geo.FindPopulation,Geo
57,viv.geo.FindPopulationDensity,Geo
58,viv.geo.FindPostalLocation,Geo
59,viv.geo.FindSubLocalityFour,Geo
60,viv.geo.FindSubLocalityOne,Geo
61,viv.geo.FindSubLocalityThree,Geo
62,viv.geo.FindSubLocalityTwo,Geo
63,viv.geo.FindUKPostalCode,Geo
64,viv.geo.FindUSZip,Geo
65,viv.geo.ForwardGeocode,Geo
66,viv.geo.GeoMarker,Geo
67,viv.geo.GeoMarkerIcon,Geo
68,viv.geo.GeoPoint,Geo
69,viv.geo.GeocodeAddress,Geo
70,viv.geo.GeocodedAddress,Geo
71,viv.geo.GeometryWKT,Geo
72,viv.geo.GetCurrentDistance,Geo
73,viv.geo.GetDistance,Geo
74,viv.geo.GetTimeZoneForLocation,Geo
