nHolidayId,nCalendarType,nMonth,nDdayOrOrdinal,nDayOfWeek,nOffset,flags,CultureId
1,1,1,1,0,0,0,10
2,1,1,6,0,0,0,10
3,1,2,5,0,0,0,10
4,1,2,24,0,0,0,10
4,1,6,14,0,0,0,21514
5,1,3,21,0,0,0,10
6,2,0,0,0,-3,0,10
7,2,0,0,0,-2,0,10
8,1,4,30,0,0,0,10
9,1,5,1,0,0,0,10
9,1,9,1,2,0,0,21514
10,1,5,5,0,0,0,10
11,1,5,2,1,0,0,10
11,1,5,10,0,0,0,2058
11,1,5,1,1,0,0,3082
12,1,6,3,1,0,0,10
12,1,3,19,0,0,0,3082
13,1,9,16,0,0,0,10
13,1,7,4,0,0,0,21514
14,1,11,2,0,0,0,10
15,1,11,20,0,0,0,10
16,1,12,1,0,0,0,10
17,1,12,12,0,0,0,10
18,1,12,24,0,0,0,10
19,1,12,25,0,0,0,10
20,1,11,1,0,0,0,10
21,1,2,28,0,0,0,10
22,1,4,23,0,0,0,10
23,2,0,0,0,-46,0,10
24,1,8,15,0,0,0,10
25,1,9,8,0,0,0,10
26,1,3,1,0,0,0,10
27,1,10,25,0,0,0,10
28,1,4,23,0,0,0,10
29,1,5,30,0,0,0,10
30,1,8,2,1,0,0,10
31,1,4,23,0,0,0,10
32,1,5,31,0,0,0,10
33,1,9,11,0,0,0,10
34,1,3,0,1,0,0,10
34,1,4,1,1,0,0,2058
34,1,3,2,1,0,0,21514
35,1,10,0,1,0,0,10
35,1,11,1,1,0,0,21514
36,1,4,22,0,0,0,10
37,2,0,0,0,0,0,10
38,1,9,8,0,0,0,10
39,1,10,31,0,0,0,10
40,1,12,8,0,0,0,10
41,1,3,8,0,0,0,10
42,1,5,2,0,0,0,10
43,1,12,28,0,0,0,10
44,1,6,9,0,0,0,10
45,1,12,3,0,0,0,10
46,1,12,31,0,0,0,10
47,1,10,12,0,0,0,10
48,1,6,9,0,0,0,10
49,1,3,19,0,0,0,10
50,1,7,25,0,0,0,10
51,1,10,9,0,0,0,10
52,1,2,14,0,0,0,10
53,1,3,18,0,0,0,10
54,1,2,2,0,0,0,10
55,1,11,4,5,0,0,10
56,1,10,12,0,0,0,10
57,1,5,8,0,0,0,10
58,1,7,3,4,0,0,10
59,1,8,28,0,0,0,10
60,2,0,0,0,-1,0,10
61,1,2,19,0,0,0,10
62,2,0,0,0,-7,0,10
63,1,9,1,0,0,0,10
64,1,9,15,0,0,0,10
65,1,5,23,0,0,0,10
66,1,5,20,0,0,0,10
67,1,9,13,0,0,0,10
68,1,3,21,0,0,0,10
69,1,4,1,0,0,0,10
70,1,10,2,2,0,0,10
71,1,11,1,2,1,0,10
72,1,2,2,0,0,0,10
73,1,5,29,0,0,0,10
74,1,2,12,0,0,0,10
75,1,1,3,2,0,0,10
76,1,5,0,2,0,0,10
77,1,9,11,0,0,0,10
78,1,3,17,0,0,0,10
79,1,4,15,0,0,24,10
80,1,11,4,5,0,0,10
81,1,11,11,0,0,0,10
82,1,2,3,2,0,0,10
83,1,2,4,0,0,0,10
84,2,0,0,0,15,32,10
84,2,0,0,0,20,64,10
85,1,8,0,4,0,0,10
86,1,8,2,0,0,0,10
87,1,5,1,0,0,0,10
201,1,11,4,6,0,0,10
55,6,0,0,0,0,544,9
110,6,0,0,0,0,576,9
100,100,0,0,0,0,0,0
