row_id,label_server_perm_id,unread_count,total_count,unseen_count
30253,^smartlabel_notification,60.0,70,
30254,^iim,0.0,1,
30255,^smartlabel_group,0.0,0,
30256,^b,0.0,0,
30257,^sq_ig_i_personal,60.0,70,0.0
30258,^sq_ig_i_social,218.0,218,218.0
30259,^f,0.0,0,
30260,^i,329.0,339,
30261,^cr,0.0,0,
30262,^p_cc,0.0,0,
30263,^io_f_iiim,329.0,339,
30264,^k,0.0,0,
30265,^sq_ig_i_promo,51.0,51,17.0
30266,^io_f_iim,0.0,1,
30267,^smartlabel_pure_notif,60.0,70,
30268,^smartlabel_finance,0.0,0,
30269,^smartlabel_promo,51.0,51,
30270,^r,0.0,0,
30271,^s,0.0,0,
30272,^t,0.0,0,
30273,^io_im,0.0,1,
30274,^scheduled,0.0,0,
30275,^smartlabel_social,218.0,218,
30276,^all,329.0,339,
30277,^assistive_travel,0.0,0,
30278,^assistive_purchase,0.0,0,
30279,^io_f_ti,0.0,0,
30280,^t_z,0.0,0,
30281,^smartlabel_travel,0.0,0,
30282,fake_outbox_label_for_label_counts,,0,
