_id,date,key,value1,value2,value3,value4,value5
667,2021-06-25 21:51:06,set_preferred_network_mode,"setPreferredNetworkType - networkType: 7, stack[4]: com.android.internal.telephony.SemServiceStateTracker.handleMessage(SemServiceStateTracker.java:1201)",,,,
668,2021-06-25 21:51:10,set_preferred_network_mode,"setPreferredNetworkType - networkType: 20, stack[4]: android.os.Handler.dispatchMessage(Handler.java:106)",,,,
682,2021-07-01 02:10:48,set_preferred_network_mode,"setPreferredNetworkType - networkType: 7, stack[4]: com.android.internal.telephony.SemServiceStateTracker.handleMessage(SemServiceStateTracker.java:1201)",,,,
683,2021-07-01 02:10:52,set_preferred_network_mode,"setPreferredNetworkType - networkType: 20, stack[4]: android.os.Handler.dispatchMessage(Handler.java:106)",,,,
698,2021-07-01 18:44:46,set_preferred_network_mode,"setPreferredNetworkType - networkType: 7, stack[4]: com.android.internal.telephony.SemServiceStateTracker.handleMessage(SemServiceStateTracker.java:1201)",,,,
699,2021-07-01 18:44:46,set_preferred_network_mode,"setPreferredNetworkType - networkType: 20, stack[4]: android.os.Handler.dispatchMessage(Handler.java:106)",,,,
714,2021-07-02 22:06:55,set_preferred_network_mode,"setPreferredNetworkType - networkType: 7, stack[4]: com.android.internal.telephony.SemServiceStateTracker.handleMessage(SemServiceStateTracker.java:1201)",,,,
715,2021-07-02 22:06:59,set_preferred_network_mode,"setPreferredNetworkType - networkType: 20, stack[4]: android.os.Handler.dispatchMessage(Handler.java:106)",,,,
725,2021-07-08 02:31:50,shutdown,Wait up to 10s for data to disconnect,,,,
726,2021-07-08 02:31:50,shutdown,hangupAndPowerOff,,,,
729,2021-07-09 02:19:54,set_preferred_network_mode,"setPreferredNetworkType - networkType: 7, stack[4]: com.android.internal.telephony.SemServiceStateTracker.handleMessage(SemServiceStateTracker.java:1201)",,,,
730,2021-07-09 02:19:58,set_preferred_network_mode,"setPreferredNetworkType - networkType: 20, stack[4]: android.os.Handler.dispatchMessage(Handler.java:106)",,,,
799,2021-07-21 16:10:16,nitz_status,"NITZ: 21/07/21,20:08:15-16,01,1092716766 start=1092716775 delay=9","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
800,2021-07-21 16:10:20,nitz_status,"NITZ: 21/07/21,20:08:19-16,01,1092720614 start=1092720627 delay=13","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
801,2021-07-21 19:35:37,nitz_status,"NITZ: 21/07/21,23:27:55-16,01,1104696305 start=1104696319 delay=14","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
802,2021-07-21 19:35:37,nitz_status,"NITZ: 21/07/21,23:27:55-16,01,1104696317 start=1104696333 delay=16","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
803,2021-07-21 19:36:18,nitz_status,"NITZ: 21/07/21,23:27:57-16,01,1104697787 start=1104697791 delay=4","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
804,2021-07-21 19:46:11,nitz_status,"NITZ: 21/07/21,23:30:19-16,01,1104839965 start=1104839975 delay=10","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
805,2021-07-21 21:44:20,nitz_status,"NITZ: 21/07/22,01:42:19-16,01,1112760017 start=1112760036 delay=19","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
806,2021-07-21 21:44:41,nitz_status,"NITZ: 21/07/22,01:42:41-16,01,1112781824 start=1112781847 delay=23","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
807,2021-07-21 21:45:13,nitz_status,"NITZ: 21/07/22,01:43:12-16,01,1112813680 start=1112813703 delay=23","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
808,2021-07-21 21:45:54,nitz_status,"NITZ: 21/07/22,01:43:54-16,01,1112854795 start=1112854801 delay=6","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
809,2021-07-21 21:50:05,nitz_status,"NITZ: 21/07/22,01:48:05-16,01,1113105917 start=1113105926 delay=9","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
810,2021-07-21 21:57:50,nitz_status,"NITZ: 21/07/22,01:55:49-16,01,1113570447 start=1113570457 delay=10","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
811,2021-07-21 21:58:23,nitz_status,"NITZ: 21/07/22,01:56:22-16,01,1113603291 start=1113603307 delay=16","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
812,2021-07-21 21:58:50,nitz_status,"NITZ: 21/07/22,01:56:49-16,01,1113630531 start=1113630563 delay=32","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
813,2021-07-21 22:01:09,nitz_status,"NITZ: 21/07/22,01:59:08-16,01,1113769743 start=1113769750 delay=7","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
814,2021-07-21 22:01:52,nitz_status,"NITZ: 21/07/22,01:59:51-16,01,1113812085 start=1113812109 delay=24","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
815,2021-07-21 22:02:37,nitz_status,"NITZ: 21/07/22,02:00:36-16,01,1113857414 start=1113857419 delay=5","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
