type,word,wordgroup,wordvalue,flags,CultureId,numericvalue
0,version,0,0,14,4,0
1,太阴,22,101,0,4,0
1,阴,22,101,0,4,0
2,太阴,22,101,0,4,0
2,阴,22,101,0,4,0
1,上午,4,37,0,4,0
1,am,4,37,0,4,0
1,AM,4,37,0,4,0
1,早上,4,37,0,4,0
1,下午,4,38,0,4,0
1,pm,4,38,0,4,0
1,PM,4,38,0,4,0
1,晚上,4,38,0,4,0
1,点,9,39,0,4,0
1,点整,9,39,0,4,0
1,点钟,9,39,0,4,0
1,时,9,39,0,4,0
1,之内,9,40,0,4,0
1,内,9,40,0,4,0
1,左右,9,40,0,4,0
1,的,9,40,37,4,0
1,上 昼,4,37,0,4,0
1,上昼,4,37,0,4,0
1,下昼,4,38,0,4,0
1,下 昼,4,38,0,4,0
1,晏昼,4,38,0,4,0
1,点 正,9,39,0,4,0
1,点正,9,39,0,4,0
1,点 整,9,39,0,4,0
1,朝早,4,37,0,4,0
1,上 晝,4,37,0,4,0
1,晏晝,4,38,0,4,0
1,晚黑,4,38,0,4,0
1,夜晚,4,38,0,4,0
1,點,9,39,0,4,0
1,點 正,9,39,0,4,0
1,點鐘,9,39,0,4,0
1,時,9,39,0,4,0
1,嘅,9,40,37,4,0
1,早晨,4,37,0,4,0
1,傍晚,4,38,0,4,0
1,黃昏,4,38,0,4,0
1,點 整,9,39,0,4,0
1,之內,9,40,0,4,0
1,內,9,40,0,4,0
1,差不多,9,40,0,4,0
1,大概,9,40,0,4,0
1,这个,1,3,0,4,0
1,这,1,3,0,4,0
1,这一,1,3,0,4,0
1,这 一,1,3,0,4,0
1,这一个,1,3,0,4,0
1,这 一个,1,3,0,4,0
1,本,1,3,0,4,0
1,下一个,1,2,0,4,0
1,下 一个,1,2,0,4,0
1,下 1,1,2,0,4,0
1,下一,1,2,0,4,0
1,下 一,1,2,0,4,0
1,下个,1,2,0,4,0
1,下 个,1,2,0,4,0
1,下,1,2,512,4,0
1,明,1,2,0,4,0
1,来,1,2,0,4,0
1,第二,1,2,512,4,0
1,次,1,2,512,4,0
1,接下来,1,2,512,4,0
1,上一个,1,1,0,4,0
1,上 一个,1,1,0,4,0
1,上个,1,1,0,4,0
1,上 个,1,1,0,4,0
1,上,1,1,0,4,0
1,昨,1,1,0,4,0
1,去,1,1,4,4,0
1,上一,1,1,0,4,0
1,上 一,1,1,0,4,0
1,下下,1,75,1024,4,0
1,下 下,1,75,1024,4,0
1,下下个,1,75,1024,4,0
1,下 下 个,1,75,1024,4,0
1,呢个,1,3,0,4,0
1,呢一,1,3,0,4,0
1,呢一个,1,3,0,4,0
1,呢 一个,1,3,0,4,0
1,今,1,3,0,4,0
1,今 个,1,3,0,4,0
1,之后 个,1,2,0,4,0
1,之后嘅,1,2,0,4,0
1,之后个,1,2,0,4,0
1,听,1,2,0,4,0
1,嚟,1,2,0,4,0
1,跟住,1,2,512,4,0
1,接落嚟,1,2,512,4,0
1,跟住落嚟,1,2,512,4,0
