_id,category_id,version,expiry_timestamp,last_update_timestamp,key,value,data_size_bytes
1,1,0,1628186832887,1626977232887,ntab,"b'I\x1d\x13!\x81F""\xd7\x00\x03j\x04ntab\x12\x14X'",19
2,1,0,1628186832886,1626977232886,launcher,"b'I\x1d\x13!\x81F""\xd7\x00\x03j\x08launcher\x12\x14X'",23
3,1,0,1628186832891,1626977232891,dm_tab,"b'I\x1d\x13!\x81F""\xd7\x00\x03j\x06dm_tab\x11X'",20
120,2,0,1628025210279,1620249210279,1380747846928896000,b'I1\t\x08\x02j\x131380948780253183980X',27
121,2,0,1628025210283,1620249210283,1380745280975425536,b'I1\t\x08\x02j\x131380948780253183979X',27
122,2,0,1628025210281,1620249210281,1380744580706959364,b'I1\t\x08\x02j\x131380948780253183979X',27
123,2,0,1628025210278,1620249210278,1366532604812357638,b'I1\t\x08\x02j\x131380948780253183978X',27
132,2,0,1628025210285,1620249210285,1380523522762625025,b'I1\t\x08\x02j\x131380948780253183972X',27
133,2,0,1628025210280,1620249210280,1380654243334475777,b'I1\t\x08\x02j\x131380948780253183972X',27
134,2,0,1628025210283,1620249210283,1380612020496662528,b'I1\t\x08\x02j\x131380948780253183973X',27
135,2,0,1628025210282,1620249210282,1380668198115110912,b'I1\t\x08\x02j\x131380948780253183972X',27
136,2,0,1628025210283,1620249210283,1380701480445939720,b'I1\t\x08\x02j\x131380948780253183972X',27
137,2,0,1629043412528,1621267412528,1382918795790979072,b'I1\t\x08\x02j\x131383093886854889472X',27
138,2,0,1629043412527,1621267412527,1356103976463155201,b'I1\t\x08\x02j\x131383093886854889471X',27
139,2,0,1629043412528,1621267412528,1383064490044923910,b'I1\t\x08\x02j\x131383093886854889470X',27
150,5,0,1629043387554,1621267387554,1394121773805834240,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137829250263048941567X',34
151,6,0,1629043387557,1621267387557,1394121773805834240,b'1',1
152,5,0,1629043406614,1621267406614,1394160673437978626,b'I0\t\x08\x02j\x137829250263048941557X',27
153,6,0,1629043406618,1621267406618,1394160673437978626,b'1',1
154,5,0,1629043410270,1621267410270,1394187960199880706,b'I0\t\x08\x02j\x137829250263048941547X',27
155,5,0,1629043410273,1621267410273,1394125639775670274,b'I0\t\x08\x02j\x137829250263048941537X',27
156,5,0,1629043410278,1621267410278,1394124433774714882,b'I0\t\x08\x02j\x137829250263048941527X',27
157,6,0,1629043410279,1621267410279,1394187960199880706,b'1',1
158,6,0,1629043410282,1621267410282,1394125639775670274,b'1',1
159,6,0,1629043410286,1621267410286,1394124433774714882,b'1',1
161,2,0,1629822613894,1622046613894,1394164621687197698,b'I1\t\x08\x02j\x131394322696401059839X',27
162,2,0,1629822613901,1622046613901,1393204954945314820,b'I1\t\x08\x02j\x131394322696401059838X',27
163,2,0,1629328320542,1621552320542,1392878352831193099,b'I1\t\x08\x02j\x131394322696401059837X',27
183,5,0,1629328305050,1621552305050,1395476381782450178,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137827895655072325629X',34
184,6,0,1629328305052,1621552305052,1395476381782450178,b'1',1
185,5,0,1629328305045,1621552305045,1395480272720728065,b'I0\t\x08\x02j\x137827895655072325619X',27
186,6,0,1629328305051,1621552305051,1395480272720728065,b'1',1
192,5,0,1629652183229,1621876183229,1396221766914117634,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137827150269940658173X',34
193,6,0,1629652183233,1621876183233,1396221766914117634,b'1',1
200,5,0,1629652205839,1621876205839,1395725943042453514,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137827646093812322293X',34
201,6,0,1629652205840,1621876205840,1395725943042453514,b'1',1
202,5,0,1629652222276,1621876222276,1395791142147526657,b'I0\t\x08\x02j\x137827646093812322283X',27
