nHolidayId,nCalendarType,nMonth,nDdayOrOrdinal,nDayOfWeek,nOffset,flags,CultureId
1,1,1,1,0,0,0,18
2,3,1,1,0,0,0,18
3,1,3,1,0,0,0,18
4,3,4,8,0,0,0,18
5,1,5,5,0,0,0,18
6,1,6,6,0,0,0,18
7,1,8,15,0,0,0,18
8,3,8,15,0,0,0,18
9,1,10,3,0,0,0,18
10,1,10,9,0,0,0,18
11,1,12,25,0,0,0,18
12,1,3,3,0,0,0,18
13,1,3,15,0,0,0,18
14,1,4,5,0,0,0,18
15,1,4,7,0,0,0,18
16,1,4,13,0,0,0,18
17,1,4,19,0,0,0,18
18,1,4,20,0,0,0,18
19,1,4,21,0,0,0,18
20,1,4,22,0,0,0,18
21,1,4,25,0,0,0,18
22,1,4,28,0,0,0,18
23,1,5,1,0,0,0,18
24,1,5,8,0,0,0,18
25,1,5,15,0,0,0,18
26,1,5,18,0,0,0,18
27,1,5,21,0,0,0,18
28,1,5,31,0,0,0,18
29,1,6,1,0,0,0,18
30,1,6,5,0,0,0,18
31,1,6,10,0,0,0,18
32,1,6,25,0,0,0,18
33,1,9,18,0,0,0,18
34,1,10,1,0,0,0,18
35,1,10,2,0,0,0,18
36,1,10,5,0,0,0,18
37,1,10,8,0,0,0,18
38,1,10,15,0,0,0,18
39,1,10,21,0,0,0,18
40,1,10,24,0,0,0,18
41,1,10,28,0,0,0,18
42,1,10,29,0,0,0,18
43,1,11,3,0,0,0,18
44,1,11,11,0,0,0,18
45,1,11,17,0,0,0,18
46,1,12,3,0,0,0,18
47,1,12,5,0,0,0,18
48,1,11,4,5,0,0,18
49,1,5,2,1,0,0,18
50,2,0,0,0,0,0,18
51,1,7,4,0,0,0,18
52,1,6,3,1,0,0,18
53,1,10,31,0,0,0,18
54,1,2,14,0,0,0,18
102,1,11,4,6,0,0,18
55,6,0,0,0,0,544,9
110,6,0,0,0,0,576,9
100,100,0,0,0,0,0,0
