_id,uuid,type,uniqueTag,groupTag,scheduledTimestamp,state,scope,config,metadata,attempt,individualWakeupEnabled
3508,9bda70c9-b02d-fa78-7f59-61b768e28c43,BG_PREFETCH,BG_PREFETCH:DF_NON_FRIEND_BG_PREFETCH:recurring,BG_PREFETCH:DF_NON_FRIEND_BG_PREFETCH,1625255704321,0,3,"b'{""numberOfRetries"":3,""constraints"":[2,8],""existingJobPolicy"":""replace"",""uniqueSubTag"":""DF_NON_FRIEND_BG_PREFETCH:recurring"",""initialDelayConfig"":{""initialDelay"":360,""timeUnit"":""MINUTES""},""useExponentialBackoff"":true,""isForegroundJob"":false,""isRecurring"":true,""individualWakeUps"":false,""jobGroupTag"":""DF_NON_FRIEND_BG_PREFETCH""}'","b'{""a"":""DF_NON_FRIEND_BG_PREFETCH"",""b"":""recurring"",""c"":""1e7ad2cf-05fd-6251-a275-7a33c706e15b"",""d"":true,""e"":false,""f"":1621393526178,""g"":360,""h"":10}'",0,0
3881,8a3af315-d756-a21c-7d8e-f6ecae81bf2a,SCPlugin,SCPlugin:,SCPlugin:,1626288052779,0,0,"b'{""numberOfRetries"":0,""constraints"":[1,64],""existingJobPolicy"":""replace"",""uniqueSubTag"":"""",""initialDelayConfig"":{""initialDelay"":37,""timeUnit"":""SECONDS""},""useExponentialBackoff"":true,""isForegroundJob"":false,""isRecurring"":true,""jobGroupTag"":""""}'",b'{}',0,0
3896,28224c3d-a9b2-c8ca-5ed1-b55adf6e9fc1,BG_PREFETCH,BG_PREFETCH:LENSES_PREFETCH:recurring,BG_PREFETCH:LENSES_PREFETCH,1626291628628,0,3,"b'{""numberOfRetries"":3,""constraints"":[2,8],""existingJobPolicy"":""replace"",""uniqueSubTag"":""LENSES_PREFETCH:recurring"",""initialDelayConfig"":{""initialDelay"":60,""timeUnit"":""MINUTES""},""useExponentialBackoff"":true,""isForegroundJob"":false,""isRecurring"":true,""individualWakeUps"":false,""jobGroupTag"":""LENSES_PREFETCH""}'","b'{""a"":""LENSES_PREFETCH"",""b"":""recurring"",""c"":""2a9a6572-7259-49a4-d431-396f829030a4"",""d"":true,""e"":false,""f"":1626288028601,""g"":60,""h"":30}'",0,0
3897,23b9c468-7efd-5cd8-41a4-04337a90a83a,BG_PREFETCH,BG_PREFETCH:MEMORIES_FEATURED_STORIES_RECURRING_PREFETCH:recurring,BG_PREFETCH:MEMORIES_FEATURED_STORIES_RECURRING_PREFETCH,1626302428631,0,3,"b'{""numberOfRetries"":3,""constraints"":[2,8],""existingJobPolicy"":""replace"",""uniqueSubTag"":""MEMORIES_FEATURED_STORIES_RECURRING_PREFETCH:recurring"",""initialDelayConfig"":{""initialDelay"":240,""timeUnit"":""MINUTES""},""useExponentialBackoff"":true,""isForegroundJob"":false,""isRecurring"":true,""individualWakeUps"":false,""jobGroupTag"":""MEMORIES_FEATURED_STORIES_RECURRING_PREFETCH""}'","b'{""a"":""MEMORIES_FEATURED_STORIES_RECURRING_PREFETCH"",""b"":""recurring"",""c"":""55873e4b-073f-3bf6-8382-8a780c54a7e4"",""d"":true,""e"":false,""f"":1626288028605,""g"":240,""h"":5}'",0,0
3898,566fa0e0-2ce1-91ab-81c3-c92702742f2b,BG_PREFETCH,BG_PREFETCH:SPECTACLES_DEPTH_MAPS:spectacles_depth_maps_preload_background,BG_PREFETCH:SPECTACLES_DEPTH_MAPS,1626291628634,0,3,"b'{""numberOfRetries"":3,""constraints"":[2,8],""existingJobPolicy"":""replace"",""uniqueSubTag"":""SPECTACLES_DEPTH_MAPS:spectacles_depth_maps_preload_background"",""initialDelayConfig"":{""initialDelay"":60,""timeUnit"":""MINUTES""},""useExponentialBackoff"":true,""isForegroundJob"":false,""isRecurring"":true,""individualWakeUps"":false,""jobGroupTag"":""SPECTACLES_DEPTH_MAPS""}'","b'{""a"":""SPECTACLES_DEPTH_MAPS"",""b"":""spectacles_depth_maps_preload_background"",""c"":""96b71fbd-00da-86f5-8953-162e21f19421"",""d"":true,""e"":false,""f"":1626288028608,""g"":60,""h"":5}'",0,0
3899,de320879-f741-f317-bbde-a912ba105031,BG_PREFETCH,BG_PREFETCH:DF_NON_FRIEND_MEDIA_BG_PREFETCH:recurring,BG_PREFETCH:DF_NON_FRIEND_MEDIA_BG_PREFETCH,1626291628644,0,3,"b'{""numberOfRetries"":3,""constraints"":[2,8],""existingJobPolicy"":""replace"",""uniqueSubTag"":""DF_NON_FRIEND_MEDIA_BG_PREFETCH:recurring"",""initialDelayConfig"":{""initialDelay"":60,""timeUnit"":""MINUTES""},""useExponentialBackoff"":true,""isForegroundJob"":false,""isRecurring"":true,""individualWakeUps"":false,""jobGroupTag"":""DF_NON_FRIEND_MEDIA_BG_PREFETCH""}'","b'{""a"":""DF_NON_FRIEND_MEDIA_BG_PREFETCH"",""b"":""recurring"",""c"":""6ea5f712-0a22-545d-baa6-51779d192a1d"",""d"":true,""e"":false,""f"":1626288028615,""g"":60,""h"":10}'",0,0
3900,1451983b-89de-6c41-1cda-c452b7b97624,BG_PREFETCH,BG_PREFETCH:DF_NON_FRIEND_METADATA_BG_PREFETCH:recurring,BG_PREFETCH:DF_NON_FRIEND_METADATA_BG_PREFETCH,1626309628653,0,3,"b'{""numberOfRetries"":3,""constraints"":[2,8],""existingJobPolicy"":""replace"",""uniqueSubTag"":""DF_NON_FRIEND_METADATA_BG_PREFETCH:recurring"",""initialDelayConfig"":{""initialDelay"":360,""timeUnit"":""MINUTES""},""useExponentialBackoff"":true,""isForegroundJob"":false,""isRecurring"":true,""individualWakeUps"":false,""jobGroupTag"":""DF_NON_FRIEND_METADATA_BG_PREFETCH""}'","b'{""a"":""DF_NON_FRIEND_METADATA_BG_PREFETCH"",""b"":""recurring"",""c"":""1aedbb98-e4f9-76b4-fc86-ba7deaf8189e"",""d"":true,""e"":false,""f"":1626288028613,""g"":360,""h"":10}'",0,0
3901,b114cb51-fa6c-c286-46db-e1e11b78aa9c,BG_PREFETCH,BG_PREFETCH:MUSHROOM_DF_BG_FRIEND_STORIES_4:recurring,BG_PREFETCH:MUSHROOM_DF_BG_FRIEND_STORIES_4,1626291628655,0,3,"b'{""numberOfRetries"":3,""constraints"":[2,8],""existingJobPolicy"":""replace"",""uniqueSubTag"":""MUSHROOM_DF_BG_FRIEND_STORIES_4:recurring"",""initialDelayConfig"":{""initialDelay"":60,""timeUnit"":""MINUTES""},""useExponentialBackoff"":true,""isForegroundJob"":false,""isRecurring"":true,""individualWakeUps"":false,""jobGroupTag"":""MUSHROOM_DF_BG_FRIEND_STORIES_4""}'","b'{""a"":""MUSHROOM_DF_BG_FRIEND_STORIES_4"",""b"":""recurring"",""c"":""59ed4a63-d29d-2b1d-9078-742bf539eec5"",""d"":true,""e"":false,""f"":1626288028612,""g"":60,""h"":10,""i"":{""num_snaps_per_story"":""10"",""num_stories"":""30"",""should_skip_donwloaded_stories"":""true""}}'",0,0
3993,d3cefcff-9c28-107d-44c8-7d4029e6694d,BlizzardV2Upload,BlizzardV2Upload:Periodic,BlizzardV2Upload:,1626441398143,0,0,"b'{""numberOfRetries"":0,""constraints"":[8,1],""existingJobPolicy"":""replace"",""uniqueSubTag"":""Periodic"",""initialDelayConfig"":{""initialDelay"":14400000,""timeUnit"":""MILLISECONDS""},""retryDelayConfig"":{""retryType"":""exponentialBackoff"",""useExponentialBackoff"":true,""retryDelaySeconds"":1,""maxBackoffExponent"":7},""useExponentialBackoff"":true,""isForegroundJob"":false,""isRecurring"":true,""individualWakeUps"":false,""jobGroupTag"":""""}'","b'{""a"":""PERIODIC""}'",0,0
4258,63ad2bdd-279c-e998-b5c5-ab650bf1f7e6,SC_MAP_STYLE_REFRESH,SC_MAP_STYLE_REFRESH:,SC_MAP_STYLE_REFRESH:,1626996005753,0,1,"b'{""numberOfRetries"":3,""constraints"":[8,1],""existingJobPolicy"":""replace"",""uniqueSubTag"":"""",""initialDelayConfig"":{""initialDelay"":24,""timeUnit"":""HOURS""},""useExponentialBackoff"":true,""isForegroundJob"":false,""isRecurring"":true,""jobGroupTag"":""""}'",b'{}',0,0
