_id,packagename,settingstate
1,com.telstra.android.afl,1
2,air.com.hongyoun.and.bikiniTV,1
3,air.com.hongyoun.and.popkonTV,1
4,air.com.nbcuni.com.nbcsports.liveextra,1
5,air.com.vudu.air.DownloaderTablet,1
6,air.jp.or.nhk.NODPlayer,1
7,air.uk.co.bbc.android.mediaplayer,1
8,appse.apk,1
9,artpass.apk,1
10,at.hutchison3g,1
11,au.com.cricket,1
12,au.com.foxtel.Go,1
13,au.com.mi9.jumpin.app,1
14,au.com.optustv,1
15,au.com.qantas.qstreaming,1
16,au.com.stan.and,1
17,au.com.tenplay,1
18,au.net.abc.iview,1
19,be.belgacom.mobile.adeleeverywhere,1
20,be.persgroep.android.news.mobilehln,1
21,be.rtl.info,1
22,be.stievie,1
23,be.telenet.yelo,1
24,be.vrt.mobile.android.deredactie,1
25,ch.srf.mobile,1
26,ch.srf.mobile.srfplayer,1
27,ch.sunrise.sunrisetv,1
28,ch.teleboy,1
29,Cinemagia,1
30,co.vine.android,1
31,com.a3.sgt,1
32,com.acessvip.tvoqpassa,1
33,com.adb.android.app.iti,1
34,com.adnstream.brb,1
35,com.aetn.aetv.watch,1
36,com.aetn.history.watch,1
37,com.aetn.lifetime.watch,1
38,com.ah.mindigtv,1
39,com.aimp.player,1
40,com.allocine.androidapp,1
41,com.amazon.avod.thirdpartyclient,1
42,com.amis.mobiatv,1
43,com.app.foxplay,1
44,com.app_esne2.layout,1
45,com.applicaster.il.ch1,1
46,com.applicaster.il.hotvod,1
47,com.applicaster.il.ten,1
48,com.applicaster.iReshet,1
49,com.archos.mediacenter.videofree,1
50,com.astro.astro,1
51,com.ayorhan.tvyo.android,1
52,com.baeble.www.baebleapp,1
53,com.bamnetworks.mobile.android.gameday.atbat,1
54,com.bamnetworks.mobile.android.sports120,1
55,com.barrydrillercom.android,1
56,com.basarimobile.android.startv,1
57,com.bauermedia.tvmovie,1
58,com.beatrix.realplayerforandroid,1
59,com.beinsports.andcontent,1
60,com.bet.shows,1
61,com.bhtelecom.mobiletv,1
62,com.bqreaders.reader.nubicoapp,1
63,com.brocelia.cgp,1
64,com.bsplayer.bspandroid.free,1
65,com.bydeluxe.d3.android.program.starz,1
66,com.canal.android.canal,1
67,com.canaldigital.go,1
68,com.canlimobiltv.app,1
69,com.cellcom.cellcomtv,1
70,com.cheerfulinc.flipgram,1
71,com.cme.newsreader.btvnews.bg,1
72,com.cosmote.recharge.app,1
73,com.crunchyroll.crunchyroid,1
74,com.curiosity.curiositystream,1
75,com.dailymotion.dailymotion,1
76,com.digiturk.iq.mobil,1
77,com.digiturkplay.mobil,1
78,com.directv.dvrscheduler,1
79,com.discovery.discoverygo,1
80,com.disney.dedisneychannel_goo,1
81,com.divermusic.cantajuego,1
82,com.dna.matkatv,1
83,com.dramafever.large,1
84,com.dsmart.blu.android,1
85,com.elisa.viihde,1
86,com.enerjiweb.hdfilm,1
87,com.epix.epix,1
88,com.erosnow,1
89,com.espn.score_center,1
90,com.eurosport.player,1
91,com.everyontv,1
92,com.fandor.android,1
93,com.fanseat,1
94,com.fic.foxsports,1
95,com.filmin.filmi,1
96,com.flimmit.ondemand,1
97,com.forshared,1
98,com.foxnews.android,1
99,com.foxsports.videogo,1
100,com.foxtv.android,1
101,com.google.android.apps.youtube.kids,1
102,com.google.android.videos,1
103,com.google.android.youtube,1
104,com.gotv.crackle.handset,1
105,com.greatbigstory.greatbigstory,1
106,com.gretech.gomplayerko,1
107,com.gretech.gomtv,1
108,com.guidasky.android,1
109,com.hbo.android.app,1
110,com.hbo.hbonow,1
111,com.hollystar,1
112,com.huawei.bulgaria,1
113,com.huawei.phone.nova,1
114,com.huawei.phone.tm,1
115,com.hulu.plus,1
116,com.hulu.plus.jp,1
117,com.hunantv.imgo.activity,1
118,com.i3television.violetta,1
119,com.ibm.events.android.ausopen,1
120,com.imdb.mobile,1
121,com.july.univision,1
122,com.justwatch.justwatch,1
123,com.keshet.mako.VOD,1
124,com.kidstv.app,1
125,com.kiswe.SportsTrekker,1
126,com.kmplayer,1
127,com.kpn.epg,1
128,com.kth.ollehtvguide,1
129,com.lego.legotv,1
130,com.letv.android.client,1
131,com.lgi.orionandroid,1
132,com.livestream.livestream,1
133,com.lullabieskids.videoslideshow,1
134,com.magine.aliceoid,1
135,com.mautilus.icflix,1
136,com.mecom.Sporten,1
137,com.megatv.player,1
138,com.megogo.application,1
139,com.mintmark.WallaVOD,1
140,com.mitelelite,1
141,com.mobilemotion.dubsmash,1
142,com.mobitv.client.tmobiletvhd,1
143,com.mtv.utt,1
144,com.multimedia.player,1
145,com.mvideo.app,1
146,com.mxtech.videoplayer.ad,1
147,com.mxtech.videoplayer.pro,1
148,com.mytv.telenor,1
149,com.naver.vapp,1
150,com.nbcuni.nbc,1
151,com.netflix.mediaclient,1
152,com.netflix.ninja,1
153,com.newsy,1
154,com.nhn.android.naverplayer,1
155,com.nhn.android.navertv,1
156,com.nick.noggin,1
157,com.nickonline.android.nickapp,1
158,com.nousguide.android.rbtv,1
159,com.novatv.novamobile,1
160,com.nttdocomo.android.danimeapp,1
161,com.nttdocomo.android.mediaplayer,1
162,com.omnitel.android.dmb,1
163,com.ondemandkorea.android,1
164,com.orange.es.orangetv,1
165,com.osn.go,1
166,com.ottclient.android.vip,1
167,com.ovguide,1
168,com.parsifal.starz,1
169,com.pccw.nowtvapp,1
170,com.phonegap.trv,1
171,com.playstation.video,1
172,com.plexapp.android,1
173,com.pplive.androidphone,1
174,com.pps.app,1
175,com.qello.handheld,1
176,com.qiyi.video,1
177,com.quickline.player,1
178,com.quvideo.xiaoying,1
179,com.rovio.Toons.tv,1
180,com.rtli.clipfish,1
181,com.rtve.actualidaddos,1
182,com.rtve.clan,1
183,com.samsungfunclub,1
184,com.sbs.ondemand.android,1
185,com.showtime.showtimeanytime,1
186,com.showtime.standalone,1
187,com.singtel.miotvgo,1
188,com.sioltvin.android,1
189,com.skb.btvmobile,1
190,com.skplanet.hotzil.product,1
191,com.sling,1
192,com.slingmedia.slingPlayerFreeApp,1
193,com.snaptube.premium,1
194,com.sohu.sohuvideo,1
195,com.sonyliv,1
196,com.starhub.itv,1
197,com.subsplash.thechurchapp.ligonier,1
198,com.swisscom.tv2,1
199,com.teliasonera.sonera.viihde,1
200,com.telstra.nrl,1
201,com.tencent.qqlive,1
202,com.tennischannel.tceverywhere,1
203,com.thirdpresence.ruutu,1
204,com.tidyweb.filecast,1
205,com.tinystone.klowdtv,1
206,com.toongoggle.videocontrol,1
207,com.ttnet.tivibucep,1
208,com.tubitv,1
209,com.tudou.android,1
210,com.turkcell.ott,1
211,com.tvplayer,1
212,com.twoergo.foxbusiness,1
213,com.undertap.watchlivetv,1
214,com.univision.android,1
215,com.univision.noticias,1
216,com.univision.univisionnow,1
217,com.uplus.onphone,1
218,com.vbox7,1
219,com.verizonmedia.go90.enterprise,1
220,com.vessel.android,1
221,com.vevo,1
222,com.viaplay.android,1
223,com.viewster.androidapp,1
224,com.viki.android,1
225,com.vimeo.android.videoapp,1
226,com.viu.phone,1
227,com.vkontakte.android,1
228,com.vme.watchever,1
229,com.vmn.android.spike,1
230,com.vmn.playplex.tvland,1
231,com.warcod.mvplex,1
232,com.wilmaa.tv,1
233,com.wTube4Kids,1
234,com.wwe.universe,1
235,com.xvideostudio.videoeditor,1
236,com.yahoo.mobile.client.android.plus7,1
237,com.yiptv.android.client3,1
238,com.yle.lastenareena,1
239,com.yle.webtv,1
240,com.youku.phone,1
241,com.zappware.twintv.d3,1
242,com.zattoo.player,1
243,com.zdf.android.mediathek,1
244,com.zgz.supervideo,1
245,com.zhiliaoapp.musically,1
246,com.zte.iptvclient.android.bgl,1
247,de.funke.hoerzu,1
248,de.maxdome.app.android,1
249,de.netzkino.android.ics,1
250,de.prosiebensat1digital.seventv,1
251,de.rtli.tvnow,1
252,de.sky.online,1
253,de.swr.avp.ard,1
254,de.tvspielfilm,1
255,de.vodafone.mobiletv,1
256,DiscountCards2.apk,1
257,divan.tv.DivanTV,1
258,dk.tv2.tv2play,1
259,dp.ws.popcorntime,1
260,es.addis.comedycentral,1
261,es.plus.yomvi,1
262,eu.smartxmedia.com.bulsat,1
263,fi.mtvkatsomo,1
264,flv.mobile.android,1
265,fr.m6.m6replay,1
266,fr.playsoft.teleloisirs,1
267,gr.ote.otetvgo.androidphone,1
268,hr.bulb.tcom.maxtv.ott,1
269,hr.bulb.tcom.maxtvhd.ott,1
270,hr.telekom.mediencenter,1
271,hr.vipnet.epg,1
272,hu.hbo.hbogo,1
273,hu.telekom.tvgo,1
274,ics.android.de.kixi,1
275,iflix.play,1
276,il.co.yes.yesgo,1
277,in.startv.hotstar,1
278,ioko.mediaservicesframework.osn.devices,1
279,it.rainet,1
280,it.sunsea.cartoonstv,1
281,jp.co.disney.apps.gm.watchdc,1
282,jp.co.nttdocomo.dtv,1
283,jp.co.tmediahd.android.tsutaya_tv,1
284,jp.co.tvtokyo.webapi,1
285,jp.hamitv.hamiand1,1
286,jp.ne.wowow.vod,1
287,jp.nicovideo.android,1
288,jp.txcom.vplayer.free,1
289,jp.unext.mediaplayer,1
290,kanald.view,1
291,kr.agworks.sedisk.play,1
292,kr.co.captv.pooqV2,1
293,kr.co.kbs.kplayer,1
294,kr.co.nowcom.mobile.afreeca,1
295,kr.co.sbs.videoplayer,1
296,net.cj.cjhv.gs.tving,1
297,net.cme.voyo.cmebg,1
298,net.daum.android.tvpot,1
299,net.mbc.shahid,1
300,net.sharewire.Pathe2,1
301,nl.nos.app,1
302,nl.rtl.rtlnieuws,1
303,nl.streamgroup.m7iptv,1
304,no.nrk.tv,1
305,no.tv2.sumo,1
306,no.vg.vgtv,1
307,com.bitdefender.security.orange,1
308,com.orange.cloud.android,1
309,com.orange.travel.orange,1
310,orange.at.em,1
311,org.lodi.mobi,1
312,org.videolan.vlc,1
313,org.xbmc.kodi,1
314,pl.hbo.hbogo,1
315,pl.one2one.tvp.pl,1
316,pl.redefine.ipla,1
317,pl.strefavod.strefavod,1
318,pl.tvn.player,1
319,pl.vod,1
320,pt.iol.tviplayer.android,1
321,pt.ptinovacao.rma.meomobile,1
322,pt.rtp.rtpplay,1
323,pt.sic.android.noticias,1
324,pt.vodafone.tvnetvoz,1
325,RadarMeCosmote,1
326,RoamingManager_COSMRO_PRODUCTION,1
327,ru.iptvremote.android.iptv,1
328,se.cmore.bonnier,1
329,se.kanal5play,1
330,se.mtg.freetv.nova_bg,1
331,se.mtg.freetv.tv3_se,1
332,se.svt.android.svtplay,1
333,se.tv4.tv4playtab,1
334,tr.atv,1
335,tr.vodafone.app,1
336,tv.acfundanmaku.video,1
337,tv.arte.plus7,1
338,tv.dailyme.android,1
339,tv.danmaku.bili,1
340,tv.fubo.mobile,1
341,tv.kidoodle.android,1
342,tv.oll.app,1
343,tv.perception.clients.mobile.android,1
344,tv.periscope.android,1
345,tv.planet,1
346,tv.platomedia.hopster,1
347,tv.twitch.android.app,1
348,tv.ustream.ustream,1
349,tv.wuaki,1
350,tv2.mobile.vote,1
351,tvdream.it,1
352,ua.vodafone.tv,1
353,v2.si.voyo.proplus.poponline24urcom,1
354,video.player.audio.player.music,1
355,videoplayer.mediaplayer.hdplayer,1
356,VirtualSportsBowling.apk,1
357,VirtualSportsDarts2.apk,1
358,com.lg.uplusbox,1
359,com.mnet.app,1
360,com.uplus.movielte,1
361,com.lguplus.ltealive,1
362,com.lguplus.homeiot,1
363,com.kddi.android.videopass,1
364,com.real.RealPlayerCloud,1
365,jp.co.plala.Dokodemo,1
366,jp.co.yahoo.gyao.android.app,1
367,jp.bonobojapan.bonobo,1
368,com.pv.twonkybeam,1
369,com.vrcruise,1
370,com.oculus.cinema,1
371,jp.co.disney.apps.dm.watchdc,1
372,jp.co.disney.apps.dm.watchjr,1
373,jp.co.disney.apps.dmd.dlife,1
374,jp.co.disney.apps.disneymobile.moviememories,1
375,com.pbs.video,1
376,org.pbskids.video,1
377,com.azubu.azubutv,1
378,com.dailymotion.games,1
379,com.google.android.apps.youtube.gaming,1
380,com.gotv.nflgamecenter.us.lite,1
381,com.disney.datg.videoplatforms.android.abc,1
382,com.samsung.android.video360,1
383,net.flixster.android,1
384,com.stevenschoen.putionew,1
385,com.yidio.androidapp,1
386,com.curiousbrain.popcornflix,1
387,air.com.snagfilms,1
388,com.hoopladigital.android,1
389,com.mobitv.client.sprinttvng,1
390,com.kt.otv,1
391,com.skt.skaf.A000VODBOX,1
392,com.dazn,1
393,air.tv.douyu.android,1
394,com.duowan.kiwi,1
395,com.tencent.qgame,1
396,com.kascend.chushou,1
397,com.panda.videoliveplatform,1
398,com.netease.cc,1
399,com.longzhu.tga,1
400,com.gameabc.zhanqiAndroid,1
401,com.duowan.mobile,1
402,com.meelive.ingkee,1
403,tv.xiaoka.live,1
404,com.huajiao,1
405,com.wali.live,1
406,com.tencent.now,1
407,com.dstvmobile.android,1
408,com.showmax.app,1
409,com.frograms.wplay,1
410,com.newin.nplayer.pro,1
411,com.globo.globotv,1
412,com.skb.smartrc,1
413,com.samsung.android.video,1
414,com.sec.android.app.dmb,1
415,com.samsung.android.app.dtv.dmb,1
416,com.samsung.android.app.dtv.sbtvd,1
