_id,sec_media_id,is_cloud,scene_name,parent_id,is_subscene,scene_region,scene_region_ratio,scene_score,scene_position,scene_qr_barcode_info,server_id,dirty,parent_name
1,2147483653,,toys,,0,228|883|819|1083,0.21111111|0.3872807|0.7583333|0.475,33.0,,,,,
2,2147483653,,toy_cars,,1,228|883|819|1083,0.21111111|0.3872807|0.7583333|0.475,0.685114324092865,,,,,toys
3,2147483652,,cars,,0,0|726|1079|1446,0.0|0.31842107|0.9990741|0.6342105,71.0,,,,,
4,2147483652,,sports_cars,,1,0|726|1079|1446,0.0|0.31842107|0.9990741|0.6342105,0.5038155913352966,,,,,cars
7,2147483659,,electronics,,0,300|288|2457|4005,0.09920635|0.071428575|0.8125|0.9933036,81.0,,,,,
8,2147483659,,phones_and_tablets,,1,300|288|2457|4005,0.09920635|0.071428575|0.8125|0.9933036,0.9799110293388367,,,,,electronics
9,2147483660,,glasses,,0,0|368|1720|2648,0.0|0.125|0.7789855|0.8994565,49.0,,,,,
10,2147483660,,people,,0,,,,,,,,
11,2147483662,,scenery,,0,,,100.0,,,,,
12,2147483662,,night_scenes,,1,,,0.7129201292991638,,,,,scenery
13,2147483661,,scenery,,0,,,100.0,,,,,
14,2147483661,,streets,,1,,,0.7645318508148193,,,,,scenery
15,2147483666,,scenery,,0,,,100.0,,,,,
16,2147483665,,scenery,,0,,,100.0,,,,,
17,2147483665,,mountains,,1,,,0.9674029350280762,,,,,scenery
18,2147483664,,scenery,,0,,,100.0,,,,,
19,2147483664,,mountains,,1,,,0.5923253297805786,,,,,scenery
20,2147483663,,scenery,,0,,,100.0,,,,,
21,2147483663,,mountains,,1,,,0.9948199987411499,,,,,scenery
22,2147483667,,scenery,,0,,,100.0,,,,,
23,2147483668,,cars,,0,242|1140|1079|1688,0.22407408|0.5|0.9990741|0.7403509,81.0,,,,,
24,2147483671,,scenery,,0,,,100.0,,,,,
25,2147483671,,streets,,1,,,0.6126875281333923,,,,,scenery
28,2147483678,,scenery,,0,,,100.0,,,,,
29,2147483677,,scenery,,0,,,100.0,,,,,
30,2147483685,,food,,0,2356|314|3502|742,0.5843254|0.16457023|0.8685516|0.3888889,36.0,,,,,
31,2147483685,,documents,,0,,,100.0,,,,,
32,2147483694,,scenery,,0,,,100.0,,,,,
33,2147483693,,cars,,0,2104|314|3968|868,0.5218254|0.16457023|0.984127|0.4549266,35.0,,,,,
34,2147483692,,scenery,,0,,,100.0,,,,,
35,2147483692,,streets,,1,,,0.6871980428695679,,,,,scenery
36,2147483691,,cars,,0,340|730|1688|1562,0.17819707|0.18105158|0.884696|0.3874008,56.0,,,,,
37,2147483690,,cars,,0,2734|478|3754|882,0.6780754|0.2505241|0.9310516|0.46226415,52.0,,,,,
38,2147483696,,documents,,0,,,100.0,,,,,
39,2147483700,,cars,,0,0|144|3828|2088,0.0|0.06593407|0.8307292|0.95604396,94.0,,,,,
40,2147483725,,cars,,0,390|0|1222|528,0.20440252|0.0|0.6404612|0.13095239,45.0,,,,,
41,2147483725,,trucks,,1,390|0|1222|528,0.20440252|0.0|0.6404612|0.13095239,0.7985677719116211,,,,,cars
42,2147483718,,cars,,0,0|847|1061|1396,0.0|0.37149122|0.9824074|0.6122807,62.0,,,,,
43,2147483717,,cars,,0,35|847|1061|1382,0.032407407|0.37149122|0.9824074|0.6061404,60.0,,,,,
44,2147483716,,cars,,0,0|833|1068|1396,0.0|0.36535087|0.98888886|0.6122807,67.0,,,,,
45,2147483715,,cars,,0,49|847|1061|1389,0.04537037|0.37149122|0.9824074|0.60921055,59.0,,,,,
46,2147483714,,cars,,0,42|847|1061|1382,0.03888889|0.37149122|0.9824074|0.6061404,66.0,,,,,
