_id,storyId,feedType,discoverFeedSectionSource,rankingPosition,lastUpdateTimestampMs
1811,16::5118067394478080#1999074021937152::1626267600000,3,1,0,1626288016015
1812,19::d7a7ebeb-0fe4-4035-bb72-01fc812b0e6c::846051218146196,3,1,1,1626288016015
1813,16::6066054247481360#626884102735872::1626256847000,3,1,2,1626288016015
1814,16::5400259508568080#2112325328404480::1626278459000,3,1,3,1626288016015
1815,16::5124150410346496#160692056616960::1626279060000,3,1,4,1626288016015
1816,16::5075335791771648#2221176656740352::1626170433000,3,1,5,1626288016015
1817,16::6315636286029840#1899019189516288::1625849110000,3,1,6,1626288016015
1818,16::6327647166267408#2374008248504320::1626044433000,3,1,7,1626288016015
1819,16::4884560968679440#2578498131068928::1616454014000,3,1,8,1626288016015
1820,18::5e06f70c-3a2c-46dc-b356-7e9596b9c9ed::1626222453011,3,1,9,1626288016015
1821,16::5297934188675088#2801718292934656::1625872508000,3,1,10,1626288016015
1822,16::6349131544789008#408082134949888::1626193548000,3,1,11,1626288016015
1823,16::5594144225099792#2112324671537152::1626274803000,3,1,12,1626288016015
1824,16::4918328776458256#3206333568020480::1623661221000,3,1,13,1626288016015
1825,16::6164636594077712#397086388410368::1625886196000,3,1,14,1626288016015
1826,16::5204207426338816#2801718809628672::1626170401000,3,1,15,1626288016015
1827,16::5069419474321408#2801718978697216::1626282000000,3,1,16,1626288016015
1828,18::d7dd171f-e4e1-4f90-a8ad-781e916f3562::1626233210538,3,1,17,1626288016015
1829,16::6660573905027088#2112324885723136::1626061171000,3,1,18,1626288016015
1830,16::5067512307515392#2801718988777472::1626256800000,3,1,19,1626288016015
1831,16::5695077541216256#2245365391589376::1626258658000,3,1,20,1626288016015
1832,16::6097805749518352#1899019636463616::1626282030000,3,1,21,1626288016015
1833,16::4742546136498192#2112325020450816::1626127644000,3,1,22,1626288016015
1834,16::4918328776458256#2736833847873536::1619431223000,3,1,23,1626288016015
1835,16::5863546155171856#2112324499914752::1625958014000,3,1,24,1626288016015
1836,18::20d053d2-90bf-431e-9bed-9a6d55614074::1626251484654,3,1,25,1626288016015
1837,35::874b9924832f83cc0857589fb46f90f7::1623088074446,240,5,0,1626288016961
1838,35::c7abd5929ba69f21bb56efe2a9616ff1::1625411963222,240,5,1,1626288016961
1839,35::997c153137938c1d58c1c46fc5bc4975::1624192264492,240,5,2,1626288016961
1840,35::2d5054cdd6508d24fd276a514a27c6bc::1624372947614,240,5,3,1626288016961
1841,35::abdc81ae94f41a5c64c6c30875ed52ae::1626228076157,240,5,4,1626288016961
1842,35::0651ac0f04426116a6f40fd4520472e2::1623983823347,240,5,5,1626288016961
1843,35::e6011c00bab4f99b8486c2833194df41::1623456380118,240,5,6,1626288016961
1845,35::0da4ceb46c68f603fa62da05e7e87676::1624112403960,240,5,8,1626288016961
1846,35::d52606abad024d7f1e4cb7d121d85ac5::1625790544646,240,5,9,1626288016961
1847,35::bc335e1dccaf5dc15c18b92159491d74::1623404801493,240,5,10,1626288016961
1848,35::e00f365d9acbd923b5dbb4aa0ca3bf19::1619821306468,240,5,11,1626288016961
1849,35::7c08095e534ef5fa9d3d6c701e35eacf::1625611503285,240,5,12,1626288016961
1850,35::8900be906c83d9bb47d9afe689275ca5::1624198232176,240,5,13,1626288016961
1851,35::d903b1b5a6d16059900fd673583afc24::1626043140219,240,5,14,1626288016961
1852,35::97f552ce33294e7c7f2cc7ed5d2a0e18::1623680922171,240,5,15,1626288016961
1853,35::e1e6774302fd82ffb4afc9e29138b5f0::1623091768402,240,5,16,1626288016961
1855,35::144fcbd737babdde291218c0ad579f29::1625871293835,240,5,18,1626288016961
1856,35::5bef1a18b78b8758865b36a4ac2f94aa::1624664167629,240,5,19,1626288016961
1857,35::bc5dd1ec7a261b83fea6bcde90463a64::1624412916218,240,5,20,1626288016961
1858,35::32b52e0e36aca8bb39f8dad0335976b5::1623668755010,240,5,21,1626288016961
1859,35::93f74049a27b4cae61d017d000edca87::1626006272753,240,5,22,1626288016961
1860,35::1da5fef73ac9b7bdb17bd6d82c70fa0c::1622811574818,240,5,23,1626288016961
1861,35::9c2a4ef94a6cac3be120023625cf0add::1623510984277,240,5,24,1626288016961
