_id,operatornumeric,provisioning_type,gid2,ui_type,salescode,networkcode,gid1,configure_elements
1,00101,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,2"
2,311028,3,0,3,3,0,0,"0,0,0,0,0,0,0,0,1,3"
3,999999,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
4,310410,1,0,1,0,0,DEFF,"0,0,0,0,0,0,0,0,0,4"
5,310950,1,0,1,0,0,0,"0,7,0,0,2,0,0,0,0,1"
6,310250,5,0,5,28,0,544D,"2,7,0,1,0,0,12,3,0,2"
7,310310,5,0,5,5,0,544D,"2,7,0,0,4,0,12,3,0,2"
8,311480,3,0,3,0,0,BA01460000000000,"0,0,0,0,0,0,0,0,1,2"
9,310090,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
10,310260,5,0,5,25,0,544D,"2,7,0,1,5,0,11,3,0,2"
11,311180,1,0,1,0,0,49FF,"0,0,0,0,0,0,0,0,0,4"
12,311180,1,0,1,0,0,49ff,"0,0,0,0,0,0,0,0,0,4"
13,310410,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
14,310660,5,0,5,28,0,544D,"2,7,0,1,0,0,12,3,0,2"
15,310160,5,0,5,0,0,4153,"2,7,0,0,8,0,12,3,0,2"
16,313140,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
17,00101,5,0,5,0,0,6D38,"2,7,0,0,4,0,12,3,0,2"
18,00101,5,0,5,0,0,544D,"2,7,0,0,4,0,12,3,0,2"
19,310160,5,0,5,28,0,544D,"2,7,0,1,0,0,12,3,0,2"
20,310310,5,0,5,28,0,544D,"2,7,0,1,0,0,12,3,0,2"
21,310490,5,0,5,0,0,544D,"2,7,0,0,4,0,12,3,0,2"
22,310380,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
23,310210,5,0,5,0,0,4153,"2,7,0,0,8,0,12,3,0,2"
24,310230,5,0,5,25,0,6D38,"2,7,0,0,5,0,11,3,0,2"
25,311480,3,0,3,21,0,BAE1000000000000,"0,0,0,0,0,0,0,0,1,2"
26,311225,27,0,0,0,0,FFFFFFFFFFFFFFFF,"1,0,0,0,0,0,0,2,0,4"
27,310230,5,0,5,0,0,4153,"2,7,0,0,8,0,12,3,0,2"
28,310250,5,0,5,0,0,4153,"2,7,0,0,8,0,12,3,0,2"
29,999999,3,0,3,3,0,0,"0,0,0,0,0,0,0,0,1,3"
30,311480,3,0,3,27,0,BA00130000000000,"0,0,0,0,0,0,0,0,1,2"
31,00101,5,0,5,6,0,0,"2,7,0,0,4,0,12,3,0,2"
32,312530,4,0,4,0,0,0,"0,0,0,0,10,0,0,0,0,2"
33,310280,1,0,1,0,0,0,"0,7,0,0,2,0,0,0,0,1"
34,310490,5,0,5,25,0,6D38,"2,7,0,0,5,0,11,3,0,2"
35,310200,5,0,5,0,0,6D38,"2,7,0,0,5,0,11,3,0,2"
36,310220,5,0,5,0,0,6D38,"2,7,0,0,5,0,11,3,0,2"
37,310240,5,0,5,0,0,6D38,"2,7,0,0,5,0,11,3,0,2"
38,310260,5,0,5,0,0,6D38,"2,7,0,0,5,0,11,3,0,2"
39,310000,4,0,4,15,0,0,"0,0,0,0,10,0,0,0,0,2"
40,312530,4,0,4,15,0,0,"0,0,0,0,10,0,0,0,0,2"
41,00101,5,0,5,0,0,DEFF,"2,7,0,0,4,0,12,3,0,2"
42,310240,5,0,5,5,0,544D,"2,7,0,0,4,0,12,3,0,2"
43,311480,3,0,3,23,0,BA01490000000000,"0,0,0,0,0,0,0,0,1,2"
44,310490,5,0,5,0,0,6D38,"2,7,0,0,5,0,11,3,0,2"
45,310070,1,0,1,0,0,FFFF,"0,7,0,0,2,0,0,0,0,1"
46,310660,5,0,5,0,0,4153,"2,7,0,0,8,0,12,3,0,2"
47,311370,20,0,0,0,0,0,"1,1,1,1,0,1,0,2,0,4"
48,310200,5,0,5,5,0,544D,"2,7,0,0,4,0,12,3,0,2"
49,310220,5,0,5,28,0,544D,"2,7,0,1,0,0,12,3,0,2"
50,310250,5,0,5,0,0,534D,"2,7,0,0,7,0,10,3,0,2"
51,311180,1,0,1,0,0,deff,"0,0,0,0,0,0,0,0,0,4"
52,310210,5,0,5,25,0,544D,"2,7,0,1,5,0,11,3,0,2"
53,310220,5,0,5,0,0,544D,"2,7,0,0,4,0,12,3,0,2"
54,313140,1,0,1,0,0,0,"0,7,0,0,0,0,0,0,0,4"
55,310410,1,0,1,0,0,deff,"0,0,0,0,0,0,0,0,0,4"
56,310560,1,0,1,0,0,0,"0,7,0,0,2,0,0,0,0,1"
57,312420,26,0,0,0,0,0,"1,7,0,0,0,0,0,2,0,4"
58,999999,5,0,5,28,0,0,"2,7,0,0,6,0,10,3,0,2"
59,313130,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
60,311480,3,0,3,29,0,BA01270000000000,"0,0,0,0,0,0,0,0,1,2"
61,312720,26,0,0,26,0,0,"1,7,0,0,0,0,0,2,0,4"
62,310800,5,0,5,0,0,544D,"2,7,0,0,4,0,12,3,0,2"
63,310260,5,0,5,0,0,4D4B,"2,7,0,0,6,0,10,3,0,2"
64,310410,1,0,1,0,0,DDFF,"0,0,0,0,0,0,0,0,0,4"
65,310070,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
66,310410,1,0,1,0,0,0,"0,7,0,0,2,0,0,0,0,1"
67,310260,5,0,5,28,0,534D,"2,7,0,0,7,0,10,3,0,2"
68,310260,5,0,5,0,0,544D,"2,7,0,0,4,0,12,3,0,2"
69,310490,5,0,5,25,0,544D,"2,7,0,1,5,0,11,3,0,2"
70,310260,5,0,5,0,0,756D,"2,7,0,0,8,0,12,3,0,2"
71,20404,3,0,3,0,0,BA01450000000000,"0,0,0,0,0,0,0,0,2,2"
72,00101,5,0,5,0,0,534D,"2,7,0,0,4,0,12,3,0,2"
73,310150,8,0,8,1,0,0,"0,0,0,0,2,0,0,0,0,1"
74,310280,1,0,1,22,0,DDFF,"0,0,0,0,0,0,0,0,0,4"
75,311480,3,0,3,0,0,BA00010000000000,"0,0,0,0,0,0,0,0,1,2"
76,20404,3,0,3,21,0,BAE1000000000000,"0,0,0,0,0,0,0,0,1,2"
77,310200,5,0,5,25,0,6D38,"2,7,0,0,5,0,11,3,0,2"
78,310280,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
79,20404,3,0,3,0,0,BAE1000000000000,"0,0,0,0,0,0,0,0,1,2"
80,00101,5,0,5,5,0,0,"2,7,0,0,4,0,12,3,0,2"
81,311480,3,0,3,27,0,BA00150000000000,"0,0,0,0,0,0,0,0,1,2"
82,310260,5,0,5,0,0,DEFF,"2,7,0,0,6,0,10,3,0,2"
83,310240,5,0,5,0,0,DEFF,"2,7,0,0,6,0,10,3,0,2"
84,310210,5,0,5,0,0,6135,"2,7,0,0,9,0,12,3,0,2"
85,310270,5,0,5,28,0,544D,"2,7,0,1,0,0,12,3,0,2"
86,310210,5,0,5,0,0,756D,"2,7,0,0,8,0,12,3,0,2"
87,310220,5,0,5,0,0,756D,"2,7,0,0,8,0,12,3,0,2"
