_id,mnoname,apntype,ratpreforder
1,TMobile_GR,ims,LTE:IWLAN
2,TMobile_GR,mms,LTE:IWLAN
3,TMobile_GR,xcap,LTE:IWLAN
4,TMobile_GR,cbs,LTE
5,TMobile_GR,emergency,LTE
6,TMobile_GR,default,LTE
7,TMobile_GR,hipri,LTE
8,TMobile_GR,supl,LTE
9,TMobile_GR,dun,LTE
10,MOBILY_SA,ims,IWLAN:LTE
11,MOBILY_SA,mms,LTE
12,MOBILY_SA,xcap,IWLAN:LTE
13,MOBILY_SA,cbs,LTE
14,MOBILY_SA,emergency,LTE
15,MOBILY_SA,default,LTE
16,MOBILY_SA,hipri,LTE
17,MOBILY_SA,supl,LTE
18,MOBILY_SA,dun,LTE
19,Tele2_NL,ims,LTE:IWLAN
20,Tele2_NL,mms,LTE
21,Tele2_NL,xcap,LTE:IWLAN
22,Tele2_NL,cbs,LTE
23,Tele2_NL,emergency,LTE:IWLAN
24,Tele2_NL,default,LTE
25,Tele2_NL,hipri,LTE
26,Tele2_NL,supl,LTE
27,Tele2_NL,dun,LTE
28,Vodafone_GR,ims,LTE:IWLAN
29,Vodafone_GR,mms,LTE:IWLAN
30,Vodafone_GR,xcap,LTE:IWLAN
31,Vodafone_GR,cbs,LTE
32,Vodafone_GR,emergency,LTE
33,Vodafone_GR,default,LTE
34,Vodafone_GR,hipri,LTE
35,Vodafone_GR,supl,LTE
36,Vodafone_GR,dun,LTE
37,Vodafone_NL,ims,LTE:IWLAN
38,Vodafone_NL,mms,LTE
39,Vodafone_NL,xcap,LTE
40,Vodafone_NL,cbs,LTE
41,Vodafone_NL,emergency,LTE
42,Vodafone_NL,default,LTE
43,Vodafone_NL,hipri,LTE
44,Vodafone_NL,supl,LTE
45,Vodafone_NL,dun,LTE
46,Vodafone_QA,ims,IWLAN:LTE
47,Vodafone_QA,mms,LTE
48,Vodafone_QA,xcap,IWLAN:LTE
49,Vodafone_QA,cbs,LTE
50,Vodafone_QA,emergency,LTE
51,Vodafone_QA,default,LTE
52,Vodafone_QA,hipri,LTE
53,Vodafone_QA,supl,LTE
54,Vodafone_QA,dun,LTE
55,MOI_QA,ims,LTE:IWLAN
56,MOI_QA,mms,LTE:IWLAN
57,MOI_QA,xcap,LTE:IWLAN
58,MOI_QA,cbs,LTE
59,MOI_QA,emergency,LTE:IWLAN
60,MOI_QA,default,LTE
61,MOI_QA,hipri,LTE
62,MOI_QA,supl,LTE
63,MOI_QA,dun,LTE
64,Ooredoo_QA,ims,IWLAN:LTE
65,Ooredoo_QA,mms,LTE
66,Ooredoo_QA,xcap,IWLAN:LTE
67,Ooredoo_QA,cbs,LTE
68,Ooredoo_QA,emergency,LTE
69,Ooredoo_QA,default,LTE
70,Ooredoo_QA,hipri,LTE
71,Ooredoo_QA,supl,LTE
72,Ooredoo_QA,dun,LTE
73,TMobile_NL,ims,LTE:IWLAN
74,TMobile_NL,mms,LTE:IWLAN
75,TMobile_NL,xcap,LTE:IWLAN
76,TMobile_NL,cbs,LTE
77,TMobile_NL,emergency,LTE
78,TMobile_NL,default,LTE
79,TMobile_NL,hipri,LTE
80,TMobile_NL,supl,LTE
81,TMobile_NL,dun,LTE
82,KPN_NL,ims,LTE:IWLAN
83,KPN_NL,mms,LTE
84,KPN_NL,xcap,LTE:IWLAN
85,KPN_NL,cbs,LTE
86,KPN_NL,emergency,LTE
87,KPN_NL,default,LTE
88,KPN_NL,hipri,LTE
89,KPN_NL,supl,LTE
90,KPN_NL,dun,LTE
91,Telenet_BE,ims,LTE:IWLAN
92,Telenet_BE,mms,LTE
93,Telenet_BE,xcap,LTE:IWLAN
94,Telenet_BE,cbs,LTE
95,Telenet_BE,emergency,LTE
96,Telenet_BE,default,LTE
97,Telenet_BE,hipri,LTE
98,Telenet_BE,supl,LTE
99,Telenet_BE,dun,LTE
100,Orange_BE,ims,LTE:IWLAN
101,Orange_BE,mms,LTE:IWLAN
102,Orange_BE,xcap,LTE:IWLAN
103,Orange_BE,cbs,LTE
104,Orange_BE,emergency,LTE
105,Orange_BE,default,LTE
106,Orange_BE,hipri,LTE
107,Orange_BE,supl,LTE
108,Orange_BE,dun,LTE
109,Orange_LU,ims,LTE:IWLAN
110,Orange_LU,mms,LTE:IWLAN
111,Orange_LU,xcap,LTE:IWLAN
112,Orange_LU,cbs,LTE
113,Orange_LU,emergency,LTE
114,Orange_LU,default,LTE
115,Orange_LU,hipri,LTE
116,Orange_LU,supl,LTE
117,Orange_LU,dun,LTE
118,Proximus_BE,ims,LTE:IWLAN
119,Proximus_BE,mms,LTE
120,Proximus_BE,xcap,LTE:IWLAN
121,Proximus_BE,cbs,LTE
122,Proximus_BE,emergency,LTE
123,Proximus_BE,default,LTE
124,Proximus_BE,hipri,LTE
125,Proximus_BE,supl,LTE
126,Proximus_BE,dun,LTE
127,Etisalat_EG,ims,IWLAN:LTE
128,Etisalat_EG,mms,LTE
129,Etisalat_EG,xcap,LTE
130,Etisalat_EG,cbs,LTE
131,Etisalat_EG,emergency,LTE
132,Etisalat_EG,default,LTE
133,Etisalat_EG,hipri,LTE
134,Etisalat_EG,supl,LTE
135,Etisalat_EG,dun,LTE
136,Orange_FR,ims,IWLAN:LTE
137,Orange_FR,mms,IWLAN:LTE
138,Orange_FR,xcap,IWLAN:LTE
139,Orange_FR,cbs,IWLAN:LTE
140,Orange_FR,emergency,LTE
141,Orange_FR,default,LTE
142,Orange_FR,hipri,LTE
143,Orange_FR,supl,LTE
144,Orange_FR,dun,LTE
145,Orange_FR:Reunion,ims,IWLAN:LTE
146,Orange_FR:Reunion,mms,IWLAN:LTE
147,Orange_FR:Reunion,xcap,IWLAN:LTE
148,Orange_FR:Reunion,cbs,IWLAN:LTE
149,Orange_FR:Reunion,emergency,LTE
150,Orange_FR:Reunion,default,LTE
151,Orange_FR:Reunion,hipri,LTE
152,Orange_FR:Reunion,supl,LTE
